email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Australia,Canberra,,,https://www.canberra.mfa.af/,http://www.wikidata.org/entity/Q106450319
,embassy,Austria,Vienna,,,http://www.afghanistan-vienna.org,http://www.wikidata.org/entity/Q104602592
,embassy,Azerbaijan,Baku,,,https://www.baku.mfa.af,http://www.wikidata.org/entity/Q122953599
,embassy,Bangladesh,Dhaka,,,http://dhaka.mfa.af,http://www.wikidata.org/entity/Q122953964
,embassy,Belgium,Uccle - Ukkel,,,,http://www.wikidata.org/entity/Q68189173
,embassy,Bulgaria,Sofia,,,,http://www.wikidata.org/entity/Q108886456
,embassy,Canada,Ottawa,,+1-613-563-4223,http://www.afghanemb-canada.net/,http://www.wikidata.org/entity/Q13634268
,embassy,Czech Republic,Prague,,,,http://www.wikidata.org/entity/Q107104178
cairo@mfa.af,embassy,Egypt,Heliopolis,,+20 2 2417 7236,https://afghanembassy-egypt.com/,http://www.wikidata.org/entity/Q5369532
,embassy,France,,,,https://www.amb-afg.fr/,http://www.wikidata.org/entity/Q1854450
,embassy,Germany,Berlin,,,http://botschaft-afghanistan.de,http://www.wikidata.org/entity/Q22344398
,embassy,Greece,Psychiko,,,,http://www.wikidata.org/entity/Q109530837
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107557497
,consulate general,Iran,Mashhad,,,,http://www.wikidata.org/entity/Q61064773
,embassy,Iran,Tehran,,,https://afghanembassy.ir,http://www.wikidata.org/entity/Q5705599
,consulate general,Iran,Zahedan,,,,http://www.wikidata.org/entity/Q56370206
,embassy,Iraq,Baghdad,,,,http://www.wikidata.org/entity/Q122954896
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q102865195
,embassy,Japan,Tokyo,,,,http://www.wikidata.org/entity/Q61924232
,embassy,Jordan,Amman,,,,http://www.wikidata.org/entity/Q122954914
af.generalconsulate.almaty@gmail.com,consulate general,Kazakhstan,Almaty,,+7-7272-69-63-06,,http://www.wikidata.org/entity/Q79841170
,embassy,Kazakhstan,Astana,,,,http://www.wikidata.org/entity/Q122954937
,embassy,Kuwait,Kuwait City,,,,http://www.wikidata.org/entity/Q122955405
,embassy,Kyrgyzstan,Bishkek,,,,http://www.wikidata.org/entity/Q79834180
,embassy,Malaysia,Kuala Lumpur,,,,http://www.wikidata.org/entity/Q122955454
,embassy,Netherlands,The Hague,,,https://www.afghanistanembassy.nl/,http://www.wikidata.org/entity/Q100532332
,embassy,Norway,Oslo Municipality,,,https://www.afghanistanembassy.no,http://www.wikidata.org/entity/Q16031520
,embassy,Oman,Muscat,,,,http://www.wikidata.org/entity/Q122955496
,embassy,Pakistan,Islamabad,,,,http://www.wikidata.org/entity/Q5369533
,consulate,Pakistan,Karachi,,+92-21-35821264,,http://www.wikidata.org/entity/Q27867659
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q97850343
,embassy,Poland,Warsaw,,+48-22-885-54-10,http://www.afghanembassy.com.pl,http://www.wikidata.org/entity/Q9149445
,embassy,Qatar,Doha,,,,http://www.wikidata.org/entity/Q122955566
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q86660050
,consulate general,Saudi Arabia,Jeddah,,,,http://www.wikidata.org/entity/Q5164559
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68169921
embassy@afghanistan.or.kr,embassy,South Korea,Seoul,,+82 (2) 793-3535,https://www.seoul.mfa.af/,http://www.wikidata.org/entity/Q122956611
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105161136
,embassy,Sri Lanka,Colombo,,+94 (11) 267 5386,https://www.colombo.mfa.af/,http://www.wikidata.org/entity/Q122956744
,embassy,Sweden,Nacka Municipality,,,,http://www.wikidata.org/entity/Q60969153
,embassy,Switzerland,Geneva,,,https://www.geneva.mfa.af,http://www.wikidata.org/entity/Q101027507
,embassy,Tajikistan,Dushanbe,,,,http://www.wikidata.org/entity/Q122956786
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q65219238
,embassy,Turkmenistan,Ashgabat,,,,http://www.wikidata.org/entity/Q122959219
afembkiev@yahoo.com,embassy,Ukraine,Kyiv,,+380-44-275-5893,http://www.afghanembassy.com.ua/,http://www.wikidata.org/entity/Q12142654
,embassy,United Arab Emirates,Abu Dhabi,,,,http://www.wikidata.org/entity/Q122959270
,embassy,United Kingdom,London,,,http://afghanistanembassy.org.uk/,http://www.wikidata.org/entity/Q93835633
,embassy,Uzbekistan,Tashkent,,,,http://www.wikidata.org/entity/Q122959341
