email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,,http://www.wikidata.org/entity/Q126485331
,embassy,Angola,Luanda,,,,http://www.wikidata.org/entity/Q100268055
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q100269328
,embassy,Australia,Canberra,,,http://www.algeriaemb.org.au/,http://www.wikidata.org/entity/Q100269329
,embassy,Austria,Vienna,,,http://www.algerische-botschaft.at/,http://www.wikidata.org/entity/Q100151623
,embassy,Azerbaijan,Baku,,,,http://www.wikidata.org/entity/Q100269330
,embassy,Bahrain,Manama,,,,http://www.wikidata.org/entity/Q68170363
,embassy,Belgium,Ixelles - Elsene,,,http://algerian-embassy.be/,http://www.wikidata.org/entity/Q68190676
,embassy,Benin,Cotonou,,,,http://www.wikidata.org/entity/Q117472549
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q100269331
,embassy,Bulgaria,Sofia,,,,http://www.wikidata.org/entity/Q100268056
,embassy,Burkina Faso,Ouagadougou,,,http://www.ambalgbf.net,http://www.wikidata.org/entity/Q100268057
,embassy,Cameroon,Yaoundé,,,,http://www.wikidata.org/entity/Q100268059
,embassy,Canada,Ottawa,,,http://www.ambalgott.com/,http://www.wikidata.org/entity/Q2841568
,embassy,Chad,N'Djamena,,,,http://www.wikidata.org/entity/Q100268090
,embassy,Chile,Las Condes,,,https://embajadadeargelia.cl/,http://www.wikidata.org/entity/Q100269332
,embassy,Colombia,Bogotá,,,,http://www.wikidata.org/entity/Q100269333
,embassy,Croatia,Zagreb,,,http://www.ambalgzagreb.com/,http://www.wikidata.org/entity/Q100268064
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q100269334
,embassy,Czech Republic,Prague,,,http://www.algerie.cz/,http://www.wikidata.org/entity/Q100268088
,embassy,Democratic Republic of the Congo,Kinshasa,,,,http://www.wikidata.org/entity/Q100268086
,embassy,Ecuador,Quito,,,,http://www.wikidata.org/entity/Q110738479
nov54@link.net,embassy,Egypt,Cairo,,+20 2 2738 0363,https://algerianembassyincairo.org/,http://www.wikidata.org/entity/Q72757191
,embassy,Equatorial Guinea,Malabo,,,,http://www.wikidata.org/entity/Q120550723
,embassy,Ethiopia,Addis Ababa,,,,http://www.wikidata.org/entity/Q72247713
,embassy,Finland,Helsinki,,,https://www.algerianembassy.fi,http://www.wikidata.org/entity/Q100269335
,embassy,France,,,,https://amb-algerie.fr/,http://www.wikidata.org/entity/Q2841572
,consulate general,France,,,,http://www.consulatalgerie-paris.org,http://www.wikidata.org/entity/Q16507562
info@consulat-algerie-besancon.org,consulate,France,,,,http://consulat-besancon-algerie.fr/,http://www.wikidata.org/entity/Q123657456
,consulate general,France,6th arrondissement of Lyon,,,http://www.consulatalgerie-lyon.org,http://www.wikidata.org/entity/Q16507561
,consulate general,France,Lille,,,http://www.consulatalgerielille.org,http://www.wikidata.org/entity/Q16010659
,consulate general,France,Marseille,,,,http://www.wikidata.org/entity/Q16010660
,consulate,France,Metz,,,http://www.consulat-metz-algerie.fr/,http://www.wikidata.org/entity/Q26257932
contact@consulat-bordeaux-algerie.fr,consulate,France,Nouvelle-Aquitaine,,,https://consulat-bordeaux-algerie.fr/,http://www.wikidata.org/entity/Q123997657
,consulate,France,Rouen,,,https://www.orientalement.com/78-consulat-a-grenoble.html,http://www.wikidata.org/entity/Q108772353
,consulate general,France,Strasbourg,,,https://consulat-strasbourg-algerie.fr/,http://www.wikidata.org/entity/Q16010254
,embassy,Gabon,Libreville,,,http://www.ambalglibreville.com/,http://www.wikidata.org/entity/Q100268069
,embassy,Germany,Berlin,,,http://www.algerische-botschaft.de,http://www.wikidata.org/entity/Q2841578
,embassy,Ghana,Accra,,,,http://www.wikidata.org/entity/Q100268070
,embassy,Greece,Athens,,,,http://www.wikidata.org/entity/Q100268072
,embassy,Guinea,Conakry,,,http://www.ambassadealgerieconakry.info/,http://www.wikidata.org/entity/Q99373482
,embassy,Hungary,Budapest,,,http://algerianembassy.hu/,http://www.wikidata.org/entity/Q100268073
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q100269162
,embassy,Indonesia,Jakarta,,,http://emb-algeria.org/,http://www.wikidata.org/entity/Q100269337
,embassy,Iran,Tehran,,,,http://www.wikidata.org/entity/Q100269338
,embassy,Iraq,Baghdad,,,,http://www.wikidata.org/entity/Q72253450
,embassy,Ireland,Dublin,,,,http://www.wikidata.org/entity/Q104761687
,embassy,Italy,Rome,,,http://www.algerianembassy.it,http://www.wikidata.org/entity/Q72256120
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q100268063
,embassy,Jamaica,Kingston,,,,http://www.wikidata.org/entity/Q100269339
,embassy,Japan,Mita 2-chōme,,,https://algerianembassy-japan.jp/,http://www.wikidata.org/entity/Q30403250
,embassy,Jordan,Amman,,,,http://www.wikidata.org/entity/Q100269340
,embassy,Kenya,Nairobi,,,,http://www.wikidata.org/entity/Q100268074
,embassy,Kingdom of Denmark,Gentofte Municipality,,,,http://www.wikidata.org/entity/Q100268065
,embassy,Kuwait,Kuwait City,,,,http://www.wikidata.org/entity/Q100269341
,embassy,Lebanon,Beirut,,,,http://www.wikidata.org/entity/Q100269342
,embassy,Libya,Tripoli,,,,http://www.wikidata.org/entity/Q100268075
,embassy,Madagascar,Antananarivo,,,,http://www.wikidata.org/entity/Q100268077
,embassy,Malaysia,Kuala Lumpur,,,,http://www.wikidata.org/entity/Q100269343
,embassy,Mali,Bamako,,,,http://www.wikidata.org/entity/Q100268078
,embassy,Mauritania,Nouakchott,,,,http://www.wikidata.org/entity/Q100268079
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q100269344
,embassy,Mozambique,Maputo,,,,http://www.wikidata.org/entity/Q100268080
,embassy,Namibia,Windhoek,,,,http://www.wikidata.org/entity/Q100268081
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100268085
,embassy,Niger,Niamey,,,,http://www.wikidata.org/entity/Q100268082
,embassy,Nigeria,Abuja,,,,http://www.wikidata.org/entity/Q100268083
,embassy,Norway,Oslo Municipality,,,https://algerianembassy.no/,http://www.wikidata.org/entity/Q17748401
,embassy,Oman,Muscat,,,,http://www.wikidata.org/entity/Q100269345
,embassy,Pakistan,Islamabad,,,,http://www.wikidata.org/entity/Q30592878
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100268060
,embassy,Peru,Lima,,,,http://www.wikidata.org/entity/Q100269347
,embassy,Poland,Warsaw,,+48-22-617-58-55,http://www.algerianembassy.pl,http://www.wikidata.org/entity/Q9149450
,embassy,Portugal,Lisbon,,,https://www.emb-argelia.pt/,http://www.wikidata.org/entity/Q100146805
info@embalgdoha.com.qa,embassy,Qatar,Doha,,+974-4483-5880,,http://www.wikidata.org/entity/Q72252232
,embassy,Republic of the Congo,Brazzaville,,,,http://www.wikidata.org/entity/Q100268087
,embassy,Romania,Bucharest,,,,http://www.wikidata.org/entity/Q100146802
,embassy,Russia,Moscow,,,http://www.algerianembassy.ru,http://www.wikidata.org/entity/Q2841581
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68169924
,embassy,Senegal,Dakar,,,,http://www.wikidata.org/entity/Q100269348
,embassy,Serbia,Belgrade,,,https://www.ambalgserbia.rs/,http://www.wikidata.org/entity/Q100268089
,embassy,South Africa,Pretoria,,,https://www.embassyofalgeria-rsa.org,http://www.wikidata.org/entity/Q86058115
,embassy,South Korea,Yongsan District,,,http://www.algerianemb.or.kr/,http://www.wikidata.org/entity/Q12617463
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q100268067
,consulate general,Spain,Sant Gervasi-la Bonanova,,,,http://www.wikidata.org/entity/Q108783698
,embassy,Sudan,Khartoum,,,,http://www.wikidata.org/entity/Q100269350
,embassy,Sweden,Stockholm,,,,http://www.wikidata.org/entity/Q10405148
ambalg.berne@bluewin.ch,embassy,Switzerland,Bern,,+41-31-350-10-50,https://ambassade-algerie.ch/,http://www.wikidata.org/entity/Q26979962
,embassy,Syria,Damascus,,,,http://www.wikidata.org/entity/Q100269351
,embassy,Tanzania,Dar es Salaam,,,,http://www.wikidata.org/entity/Q100269352
,embassy,The Gambia,Banjul,,,,http://www.wikidata.org/entity/Q120550693
,embassy,Tunisia,Tunis,,,http://www.ambdz.tn/,http://www.wikidata.org/entity/Q2841582
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q72249980
,embassy,Uganda,Kampala,,,,http://www.wikidata.org/entity/Q100268084
ambalgukraine@gmail.com,embassy,Ukraine,Kyiv,,+380-44-286-7688,http://www.algerianembassy.kiev.ua/,http://www.wikidata.org/entity/Q154663
,embassy,United Arab Emirates,Abu Dhabi,,,http://www.embassy-algeria-uae.com/,http://www.wikidata.org/entity/Q72846414
info@algerianembassy.org.uk,embassy,United Kingdom,City of Westminster,,,http://algerianembassy.org.uk/,http://www.wikidata.org/entity/Q16208157
,embassy,United States of America,"Washington, D.C.",,,http://www.algeria-us.org/,http://www.wikidata.org/entity/Q1770892
,embassy,Uzbekistan,Tashkent,,,,http://www.wikidata.org/entity/Q100269346
,embassy,Venezuela,Caracas,,,,http://www.wikidata.org/entity/Q100269353
,embassy,Vietnam,Hanoi,,,,http://www.wikidata.org/entity/Q100269354
,embassy,Yemen,Sanaa,,,,http://www.wikidata.org/entity/Q100269355
,embassy,Zambia,Lusaka,,,,http://www.wikidata.org/entity/Q100269356
,embassy,Zimbabwe,Harare,,,,http://www.wikidata.org/entity/Q100269357
