email,mission_type,host_country,city,address,phone,website,wikidata_qid
ngolamd@amb-angola.gov.dz,embassy,Algeria,Algiers Province,,,,http://www.wikidata.org/entity/Q123997643
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q106301184
,embassy,Austria,Vienna,,,http://www.embangola.at/,http://www.wikidata.org/entity/Q104602780
,embassy,Belgium,Ixelles - Elsene,,,,http://www.wikidata.org/entity/Q68191110
,embassy,Brazil,Brasília,,,http://www.embaixadadeangola.com.br,http://www.wikidata.org/entity/Q105668244
,embassy,Cape Verde,Praia,,,,http://www.wikidata.org/entity/Q106301455
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q106029422
,embassy,France,,,,https://www.ambassade-angola.org/,http://www.wikidata.org/entity/Q15118539
,embassy,Germany,Mitte,,,http://www.botschaftangola.de,http://www.wikidata.org/entity/Q542028
embaixada.guineconacri@mirex.gov.ao,embassy,Guinea,Conakry,,+224-621 223 17,,http://www.wikidata.org/entity/Q110855491
,embassy,Hungary,Budapest District XII,,,,http://www.wikidata.org/entity/Q107485913
,embassy,India,New Delhi,,,http://www.angolaembassyindia.com/,http://www.wikidata.org/entity/Q106301491
secretary@angolaembassy.org.il,embassy,Israel,Tel Aviv,,,,http://www.wikidata.org/entity/Q106301182
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q56326676
,embassy,Italy,Rome,,,http://www.ambasciatangolana.com,http://www.wikidata.org/entity/Q102875420
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q112899239
,embassy,Japan,Setagaya-ku,,+81-3-5430-7879,https://www.angola.or.jp/,http://www.wikidata.org/entity/Q30403436
,embassy,Kenya,Nairobi,,,,http://www.wikidata.org/entity/Q106301186
,embassy,Namibia,Windhoek,,,,http://www.wikidata.org/entity/Q106301388
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100536770
,embassy,Nigeria,Abuja,,,,http://www.wikidata.org/entity/Q105140377
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q106303324
,embassy,Poland,Warsaw,,,http://embangola.pl,http://www.wikidata.org/entity/Q9149452
,embassy,Portugal,Lisbon,,,http://www.embaixadadeangola.pt/,http://www.wikidata.org/entity/Q105368218
,embassy,Russia,Moscow,,,https://angolarussia.ru/,http://www.wikidata.org/entity/Q4373964
,embassy,Serbia,Belgrade,,,https://www.angolaembassy.org.rs/,http://www.wikidata.org/entity/Q106029254
,embassy,Singapore,Singapore,,,http://www.angolaembassy.sg,http://www.wikidata.org/entity/Q106450850
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106303206
,embassy,Spain,Madrid,,,http://www.embajadadeangola.com,http://www.wikidata.org/entity/Q25430840
,embassy,Sweden,Stockholm,,,,http://www.wikidata.org/entity/Q10411814
berna@ambassadeangola.ch,embassy,Switzerland,Bern,,+41-31-351-85-85,,http://www.wikidata.org/entity/Q26979963
,embassy,Togo,,,,,http://www.wikidata.org/entity/Q119295874
,embassy,Turkey,Ankara,,,https://www.embassyangolatr.org,http://www.wikidata.org/entity/Q110966388
,embassy,United Arab Emirates,Abu Dhabi,,,https://angolaembassy.ae,http://www.wikidata.org/entity/Q111539840
embassy@angola.org.uk,embassy,United Kingdom,City of Westminster,,,http://www.angola.org.uk/,http://www.wikidata.org/entity/Q16251282
,embassy,United States of America,"Washington, D.C.",,,http://www.angola.org,http://www.wikidata.org/entity/Q5369542
,consulate general,Uruguay,Montevideo,,,https://www.consuladoangolaenuruguay.com/,http://www.wikidata.org/entity/Q106313183
,embassy,Vietnam,Hanoi,,,,http://www.wikidata.org/entity/Q106303327
,embassy,Zimbabwe,Harare,,,,http://www.wikidata.org/entity/Q106307250
