email,mission_type,host_country,city,address,phone,website,wikidata_qid
earge@cancilleria.gob.ar,embassy,Algeria,Ben Aknoun,,,https://earge.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110205279
,embassy,Angola,Luanda,,,https://eango.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110205115
,embassy,Armenia,Yerevan,,,https://earme.cancilleria.gob.ar,http://www.wikidata.org/entity/Q31194205
,embassy,Australia,Canberra,,,https://eaust.cancilleria.gob.ar,http://www.wikidata.org/entity/Q106451137
,embassy,Austria,,,,https://etria.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q15216555
,embassy,Azerbaijan,Baku,,,https://eazer.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110206258
,embassy,Bangladesh,,,,,http://www.wikidata.org/entity/Q122422315
,embassy,Barbados,Christ Church,,,https://ebarb.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110206455
,embassy,Belgium,City of Brussels,,,https://ebelg.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q68192668
,embassy,Bolivia,La Paz,,,https://ebolv.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110206790
,embassy,Brazil,Brasília,,,https://ebras.cancilleria.gob.ar,http://www.wikidata.org/entity/Q105668704
,embassy,Bulgaria,Stolichna Municipality,,,https://ebulg.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q41588555
,embassy,Canada,Ottawa,,,https://ecana.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q5369546
,embassy,Chile,,,,https://ehile.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q16561578
ecolo@cancilleria.gov.ar,embassy,Colombia,Bogotá,,+57 601 288 0900,https://ecolo.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q79604096
,embassy,Costa Rica,Curridabat,,,https://erica.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110219728
,embassy,Cuba,Havana,,,https://ecuba.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110219742
,embassy,Czech Republic,Prague,,,https://eches.cancilleria.gob.ar,http://www.wikidata.org/entity/Q107104620
,embassy,Dominican Republic,Santo Domingo,,,https://edomi.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110253692
,embassy,Ecuador,Quito,,,https://eecua.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110219843
,embassy,Egypt,Cairo,,,https://eegip.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110219885
,embassy,El Salvador,San Salvador,,,https://esalv.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110254282
,embassy,Ethiopia,Addis Ababa,,,https://eetio.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110219816
,embassy,Finland,,,,https://efinl.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q5369545
,embassy,France,,,,https://efran.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q5830346
,embassy,Germany,Berlin,,,https://ealem.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q72619932
egrec@mrecic.gov.ar,embassy,Greece,Athens,,,https://egrec.cancilleria.gob.ar,http://www.wikidata.org/entity/Q16891012
,embassy,Guatemala,Guatemala City,,,https://eguat.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110254406
,embassy,Guyana,Georgetown,,,https://eguya.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110243187
,embassy,Haiti,Pétion-Ville,,,https://ehait.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110243345
,embassy,Honduras,Tegucigalpa,,,https://ehond.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110243429
,embassy,Hungary,Budapest District II,,+36 1 326 1391,https://eungr.cancilleria.gob.ar,http://www.wikidata.org/entity/Q107400974
,embassy,India,New Delhi,,,https://eindi.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110206338
,embassy,Indonesia,Jakarta,,,https://eisia.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q107557649
,embassy,Iran,Tehran,,,https://eiran.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110227970
,embassy,Ireland,Dublin,,,,http://www.wikidata.org/entity/Q104761726
eisra@mrecic.gov.ar,embassy,Israel,Herzliya,,,https://eisra.cancilleria.gob.ar,http://www.wikidata.org/entity/Q109691543
,embassy,Italy,Rome,,,https://essed.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q56326457
,embassy,Italy,Rome,,,https://eital.cancilleria.gob.ar,http://www.wikidata.org/entity/Q102877212
,embassy,Jamaica,Kingston,,,https://ejama.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110205154
,embassy,Japan,Minato,,,https://ejapo.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q61877352
,consulate general,Japan,Tokyo,,,,http://www.wikidata.org/entity/Q66432022
,embassy,Kenya,Nairobi,,,https://ekeny.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110218506
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://edina.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q105979273
,embassy,Kuwait,Kuwait City,,,https://ekuwa.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110243097
,embassy,Lebanon,Beirut,,,https://elbno.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110243134
,embassy,Malaysia,Kuala Lumpur,,,https://emsia.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110206810
,embassy,Mexico,Mexico City,,,https://emexi.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110206592
,embassy,Morocco,Rabat,,,https://emarr.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110249256
,embassy,Mozambique,Maputo,,,https://emoza.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110249591
,embassy,Netherlands,The Hague,,,https://epbaj.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q100556207
,embassy,New Zealand,Wellington,,,https://enzel.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110249753
,embassy,Nicaragua,Managua,,,https://enica.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110249712
,embassy,Nigeria,Abuja,,,https://enige.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110206617
,embassy,Norway,Oslo Municipality,,,,http://www.wikidata.org/entity/Q17749141
,embassy,Pakistan,Islamabad,,,https://epaki.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q30593061
,de facto embassy,Palestine,Ramallah,,,https://repal.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q101441782
,embassy,Panama,Panama City,,,https://epnma.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110253406
,embassy,Paraguay,Asunción,,,https://epara.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110253558
,embassy,People's Republic of China,Beijing,,,https://echin.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q5369544
,embassy,Peru,Lima,,,https://eperu.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q5638425
,consulate general,Peru,Lima District,,,,http://www.wikidata.org/entity/Q124094506
,embassy,Philippines,Makati,,,https://efili.cancilleria.gob.ar,http://www.wikidata.org/entity/Q110243457
,embassy,Poland,Warsaw,,+48-22-617-60-28,http://epolo.cancilleria.gov.ar/pl,http://www.wikidata.org/entity/Q9149456
,embassy,Portugal,Lisbon,,,https://eport.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q105369121
,embassy,Qatar,Doha,,,https://eqatr.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q110253588
,embassy,Romania,Bucharest,,,https://eruma.cancilleria.gob.ar,http://www.wikidata.org/entity/Q106887561
,embassy,Russia,Yakimanka District,,,https://efrus.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q4373969
,embassy,Saudi Arabia,Riyadh,,,https://earab.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q68169927
secon_esene@mrecic.gov.ar,embassy,Senegal,Dakar,,,https://esene.cancilleria.gob.ar/,http://www.wikidata.org/entity/Q127693096
