email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Afghanistan,Kabul,,+61-2-6261-3305,http://afghanistan.embassy.gov.au/,http://www.wikidata.org/entity/Q23891470
,consulate,Angola,Luanda,,+244-222-395-890,http://dfat.gov.au/about-us/our-locations/missions/pages/australian-consulate-in-luanda-angola.aspx,http://www.wikidata.org/entity/Q23891474
,consulate,Antigua and Barbuda,Saint John's,,,,http://www.wikidata.org/entity/Q23891476
,embassy,Argentina,Buenos Aires,,+54 11 4779 3500,http://argentina.embassy.gov.au/,http://www.wikidata.org/entity/Q23891477
,embassy,Austria,Vienna,,,http://austria.embassy.gov.au/,http://www.wikidata.org/entity/Q23891480
ahc.dhaka@dfat.gov.au,Australian High Commission,Bangladesh,Dhaka,,,http://bangladesh.embassy.gov.au/,http://www.wikidata.org/entity/Q23891496
,consulate,Barbados,Saint Michael,,,,http://www.wikidata.org/entity/Q23891511
,embassy,Belgium,City of Brussels,,,http://eu.mission.gov.au/,http://www.wikidata.org/entity/Q23891513
,consulate,Bolivia,La Paz,,,,http://www.wikidata.org/entity/Q23891518
,honorary consulate,Bosnia and Herzegovina,Sarajevo,,,,http://www.wikidata.org/entity/Q23891521
,consulate,Botswana,Gaborone,,,,http://www.wikidata.org/entity/Q23891531
,embassy,Brazil,Brasília,,,https://brazil.embassy.gov.au,http://www.wikidata.org/entity/Q105668890
austhicom.brunei@dfat.gov.au,Australian High Commission,Brunei,Bandar Seri Begawan,,+673-222-9435,http://bruneidarussalam.embassy.gov.au/,http://www.wikidata.org/entity/Q23891536
,honorary consulate,Bulgaria,Stolichna Municipality,,,,http://www.wikidata.org/entity/Q23891546
,embassy,Cambodia,Phnom Penh,,,https://cambodia.embassy.gov.au/,http://www.wikidata.org/entity/Q23891558
,Australian High Commission,Canada,Ottawa,,,https://canada.embassy.gov.au,http://www.wikidata.org/entity/Q106525226
,consulate general,Canada,Toronto,,,,http://www.wikidata.org/entity/Q112043084
,consulate,Canada,Vancouver,,,,http://www.wikidata.org/entity/Q112043101
,embassy,Chile,Las Condes,,,http://chile.embassy.gov.au/,http://www.wikidata.org/entity/Q5575245
,embassy,Colombia,Bogotá,,,https://colombia.embassy.gov.au/,http://www.wikidata.org/entity/Q106529499
,consulate general,Colombia,Bogotá,,,,http://www.wikidata.org/entity/Q23891582
