email,mission_type,host_country,city,address,phone,website,wikidata_qid
gjergjleqejza@shkodra-honorarkonsulat.com,honorary consulate,Albania,,,+355-68-205-0267,https://www.bmeia.gv.at/oeb-tirana/oesterreich-in-albanien/oesterreichische-stellen/,http://www.wikidata.org/entity/Q79842061
,embassy,Albania,Tirana,,,https://www.bmeia.gv.at/oeb-tirana/,http://www.wikidata.org/entity/Q104666033
,embassy,Algeria,Hydra,,,https://www.bmeia.gv.at/oeb-algier/,http://www.wikidata.org/entity/Q104666067
,embassy,Argentina,Buenos Aires,,,https://www.bmeia.gv.at/oeb-buenos-aires/,http://www.wikidata.org/entity/Q104666638
,embassy,Australia,Canberra,,,https://www.bmeia.gv.at/oeb-canberra/,http://www.wikidata.org/entity/Q104692679
,embassy,Azerbaijan,Baku,,,https://www.bmeia.gv.at/oeb-baku/,http://www.wikidata.org/entity/Q104666713
,embassy,Belarus,Minsk,,,https://www.bmeia.gv.at/oeb-minsk/,http://www.wikidata.org/entity/Q104694350
,embassy,Belgium,City of Brussels,,,https://www.bmeia.gv.at/oeb-bruessel/,http://www.wikidata.org/entity/Q67206818
,embassy,Bosnia and Herzegovina,Sarajevo,,,https://www.bmeia.gv.at/oeb-sarajewo/,http://www.wikidata.org/entity/Q23689741
,embassy,Brazil,Brasília,,,https://www.bmeia.gv.at/oeb-brasilia/,http://www.wikidata.org/entity/Q104704767
,embassy,Bulgaria,Sofia,,,https://www.bmeia.gv.at/oeb-sofia/,http://www.wikidata.org/entity/Q104707707
,embassy,Canada,Ottawa,,,https://www.bmeia.gv.at/oeb-ottawa/,http://www.wikidata.org/entity/Q104718351
,embassy,Chile,Providencia,,,https://www.bmeia.gv.at/oeb-santiago-de-chile,http://www.wikidata.org/entity/Q104708067
,embassy,Colombia,Bogotá,,,https://www.bmeia.gv.at/oeb-bogota/,http://www.wikidata.org/entity/Q104694076
,embassy,Croatia,Zagreb,,,https://www.bmeia.gv.at/oeb-agram/,http://www.wikidata.org/entity/Q104740641
,embassy,Cuba,Havana,,,https://www.bmeia.gv.at/oeb-havanna/,http://www.wikidata.org/entity/Q104666416
,consulate,Czech Republic,Brno,,,https://atkonsulat-brno.cz/,http://www.wikidata.org/entity/Q126684717
,embassy,Czech Republic,Prague,,,https://www.bmeia.gv.at/oeb-prag/,http://www.wikidata.org/entity/Q24706394
target07@hotmail.com,honorary consulate,Egypt,Alexandria,,+20 3 480 88 88,,http://www.wikidata.org/entity/Q112049956
kairo-ob@bmeia.gv.at,embassy,Egypt,Giza,,+20-2-35702975,https://www.bmeia.gv.at/oeb-kairo/,http://www.wikidata.org/entity/Q104665973
,embassy,Estonia,Tallinn City,,,https://www.bmeia.gv.at/oeb-tallinn/,http://www.wikidata.org/entity/Q23689738
,embassy,Ethiopia,Addis Ababa,,,https://www.bmeia.gv.at/oeb-addis-abeba/,http://www.wikidata.org/entity/Q104692487
,embassy,Finland,Helsinki,,,https://www.bmeia.gv.at/oeb-helsinki/,http://www.wikidata.org/entity/Q104717180
,embassy,France,,,,https://www.bmeia.gv.at/fr/ambassade-dautriche-a-paris/,http://www.wikidata.org/entity/Q15732665
,consulate general,France,Strasbourg,,,http://www.bmeia.gv.at/fr/ambassade/paris/conseils-pratiques/representations-consulaires-de-lautriche/konsulate-mit-passbefugnis/consulat-general-dautriche-a-strasbourg.html,http://www.wikidata.org/entity/Q16010846
,embassy,Georgia,Tbilisi,,,https://www.bmeia.gv.at/oeb-tiflis/,http://www.wikidata.org/entity/Q104717283
,embassy,Germany,Mitte,,,https://www.bmeia.gv.at/oeb-berlin/,http://www.wikidata.org/entity/Q301401
,consulate general,Germany,Munich,,,https://www.bmeia.gv.at/gk-muenchen/,http://www.wikidata.org/entity/Q25239331
,embassy,Greece,Athens,,,https://www.bmeia.gv.at/oeb-athen/,http://www.wikidata.org/entity/Q104717380
,embassy,Hungary,Budapest District VI,,,https://www.bmeia.gv.at/hu/osztrak-nagykoevetseg-budapest/,http://www.wikidata.org/entity/Q66294915
,embassy,India,New Delhi,,,https://www.bmeia.gv.at/oeb-new-delhi/,http://www.wikidata.org/entity/Q104693910
,embassy,Indonesia,Jakarta,,,https://www.bmeia.gv.at/oeb-jakarta/,http://www.wikidata.org/entity/Q104717403
,embassy,Iran,Tehran,,,https://www.bmeia.gv.at/oeb-teheran/,http://www.wikidata.org/entity/Q104717522
,embassy,Ireland,Dublin,,,https://www.bmeia.gv.at/oeb-dublin/,http://www.wikidata.org/entity/Q104717552
,embassy,Israel,Ramat Gan,,,https://www.bmeia.gv.at/oeb-tel-aviv/,http://www.wikidata.org/entity/Q104718040
,embassy,Italy,Rome,,,https://www.bmeia.gv.at/oeb-heiliger-stuhl/,http://www.wikidata.org/entity/Q56326679
,embassy,Italy,Rome,,,https://www.bmeia.gv.at/oeb-rom/,http://www.wikidata.org/entity/Q102885577
,embassy,Japan,Minato,,,https://www.bmeia.gv.at/en/austrian-embassy-tokyo,http://www.wikidata.org/entity/Q61786527
,embassy,Jordan,Amman,,+962 6 460 11 01,https://www.bmeia.gv.at/oeb-amman/,http://www.wikidata.org/entity/Q104717422
,embassy,Kazakhstan,Astana,,,https://www.bmeia.gv.at/oeb-nur-sultan/,http://www.wikidata.org/entity/Q104739187
,embassy,Kenya,Nairobi,,,https://www.bmeia.gv.at/oeb-nairobi/,http://www.wikidata.org/entity/Q104707851
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://www.bmeia.gv.at/oeb-kopenhagen/,http://www.wikidata.org/entity/Q104708127
,embassy,Kuwait,Kuwait City,,,https://www.bmeia.gv.at/oeb-kuwait/,http://www.wikidata.org/entity/Q104693736
,embassy,Lebanon,Beirut,,,https://www.bmeia.gv.at/oeb-beirut/,http://www.wikidata.org/entity/Q31886726
,embassy,Libya,Tripoli,,,https://www.bmeia.gv.at/oeb-tripolis/,http://www.wikidata.org/entity/Q104742408
,embassy,Luxembourg,Luxembourg,,,,http://www.wikidata.org/entity/Q100781453
,embassy,Malaysia,Kuala Lumpur,,,https://www.bmeia.gv.at/oeb-kuala-lumpur/,http://www.wikidata.org/entity/Q104707468
,embassy,Mexico,Mexico City,,,https://www.bmeia.gv.at/oeb-mexiko/,http://www.wikidata.org/entity/Q104704549
,embassy,Moldova,Chișinău,,,https://www.bmeia.gv.at/oeb-chisinau/,http://www.wikidata.org/entity/Q5369555
,embassy,Montenegro,Podgorica,,,https://www.bmeia.gv.at/oeb-podgorica/,http://www.wikidata.org/entity/Q104742913
,embassy,Morocco,Rabat,,,https://www.bmeia.gv.at/oeb-rabat/,http://www.wikidata.org/entity/Q104742687
,embassy,Netherlands,The Hague,,,https://www.bmeia.gv.at/oeb-den-haag/,http://www.wikidata.org/entity/Q100700968
,embassy,Nigeria,Abuja,,,https://www.bmeia.gv.at/oeb-abuja/,http://www.wikidata.org/entity/Q104666474
,consulate,North Macedonia,Bitola,,,,http://www.wikidata.org/entity/Q107556758
,embassy,North Macedonia,Skopje,,,http://www.bmeia.gv.at/botschaft/skopje/,http://www.wikidata.org/entity/Q23689736
,embassy,Northern Cyprus,Nicosia,,,https://www.bmeia.gv.at/oeb-nikosia/,http://www.wikidata.org/entity/Q104760937
,embassy,Norway,Oslo Municipality,,,,http://www.wikidata.org/entity/Q17195232
,embassy,Oman,Muscat,,,https://www.bmeia.gv.at/oeb-maskat/,http://www.wikidata.org/entity/Q104737487
,embassy,Pakistan,Islamabad,,,https://www.bmeia.gv.at/oeb-islamabad/,http://www.wikidata.org/entity/Q30594578
,embassy,People's Republic of China,Beijing,,,https://www.bmeia.gv.at/oeb-peking/,http://www.wikidata.org/entity/Q104708113
,embassy,Peru,Lima,,,https://www.bmeia.gv.at/oeb-lima/,http://www.wikidata.org/entity/Q104704716
,embassy,Philippines,Makati,,,https://www.bmeia.gv.at/oeb-manila/,http://www.wikidata.org/entity/Q104743702
,embassy,Poland,Warsaw,,+48-22-841-00-81,http://www.bmeia.gv.at/pl/ambasada/warszawa.html,http://www.wikidata.org/entity/Q9149461
,embassy,Portugal,Lisbon,,,https://www.bmeia.gv.at/oeb-lissabon,http://www.wikidata.org/entity/Q102429675
,embassy,Qatar,Doha,,,https://www.bmeia.gv.at/oeb-doha/,http://www.wikidata.org/entity/Q104739889
,embassy,Romania,Bucharest,,,https://www.bmeia.gv.at/oeb-bukarest/,http://www.wikidata.org/entity/Q2606545
,embassy,Russia,Khamovniki District,,,https://www.bmeia.gv.at/oeb-moskau/,http://www.wikidata.org/entity/Q4373963
,embassy,Saudi Arabia,Riyadh,,,https://www.bmeia.gv.at/oeb-riyadh/,http://www.wikidata.org/entity/Q68169934
,embassy,Senegal,Dakar,,,https://www.bmeia.gv.at/oeb-dakar/,http://www.wikidata.org/entity/Q104707810
,embassy,Serbia,Belgrade,,,https://www.bmeia.gv.at/oeb-belgrad/,http://www.wikidata.org/entity/Q104744268
,embassy,Serbia,Pristina,,,,http://www.wikidata.org/entity/Q13036976
,embassy,Singapore,Singapore,,,https://www.bmeia.gv.at/oeb-singapur/,http://www.wikidata.org/entity/Q104744413
,embassy,Slovakia,Bratislava,,,https://www.bmeia.gv.at/oeb-pressburg/,http://www.wikidata.org/entity/Q53205319
,embassy,Slovenia,Ljubljana City Municipality,,,https://www.bmeia.gv.at/oeb-laibach/,http://www.wikidata.org/entity/Q91726073
,embassy,South Africa,Pretoria,,+27-12-4529155,https://www.bmeia.gv.at/oeb-pretoria/,http://www.wikidata.org/entity/Q104666203
,embassy,South Korea,Seoul,,,https://www.bmeia.gv.at/oeb-seoul/,http://www.wikidata.org/entity/Q104740302
,embassy,Spain,Madrid,,,https://www.bmeia.gv.at/oeb-madrid/,http://www.wikidata.org/entity/Q104666098
,embassy,Sweden,Stockholm,,,,http://www.wikidata.org/entity/Q10728089
bern-ob@bmeia.gv.at,embassy,Switzerland,Bern,,+41-31-356-52-52,,http://www.wikidata.org/entity/Q26980150
,embassy,Syria,Damascus,,,https://www.bmeia.gv.at/oeb-damaskus/,http://www.wikidata.org/entity/Q104760578
,embassy,Thailand,Bangkok,,,http://www.bmeia.gv.at/botschaft/bangkok.html,http://www.wikidata.org/entity/Q104738240
,embassy,Tunisia,Tunis,,,https://www.bmeia.gv.at/oeb-tunis/,http://www.wikidata.org/entity/Q104760720
,embassy,Turkey,Ankara,,,https://www.bmeia.gv.at/oeb-ankara/,http://www.wikidata.org/entity/Q20476561
,consulate general,Turkey,Istanbul,,,,http://www.wikidata.org/entity/Q111584946
,embassy,Ukraine,Kyiv,,+380-44-277-2790,http://www.bmeia.gv.at/ua/posolstvo/kijevi.html,http://www.wikidata.org/entity/Q866015
,embassy,United Arab Emirates,Abu Dhabi,,,https://www.bmeia.gv.at/oeb-abu-dhabi/,http://www.wikidata.org/entity/Q104760800
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q9149648
,embassy,United States of America,"Washington, D.C.",,,https://www.austria.org/,http://www.wikidata.org/entity/Q5369558
,embassy,Vietnam,Hanoi,,,https://www.bmeia.gv.at/oeb-hanoi/,http://www.wikidata.org/entity/Q104760859
