email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Algeria,Algiers,,,,http://www.wikidata.org/entity/Q68170714
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q67382276
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q68170729
,embassy,Egypt,Cairo,,,https://www.mofa.gov.bh/Default.aspx?tabid=8637,http://www.wikidata.org/entity/Q68170734
,embassy,France,,,,http://www.mofa.gov.bh/paris,http://www.wikidata.org/entity/Q2841598
,embassy,Germany,Berlin,,,https://www.mofa.gov.bh/Default.aspx?tabid=4355&language=en-US,http://www.wikidata.org/entity/Q56338700
,embassy,India,New Delhi,,,https://www.mofa.gov.bh/Default.aspx?tabid=5870,http://www.wikidata.org/entity/Q68170751
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q68170741
,embassy,Iraq,Baghdad,,,,http://www.wikidata.org/entity/Q68170721
,embassy,Israel,Tel Aviv,,,,http://www.wikidata.org/entity/Q102071580
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q68170760
,embassy,Japan,Tokyo,,,,http://www.wikidata.org/entity/Q61925022
,embassy,Jordan,Amman,,,,http://www.wikidata.org/entity/Q68170716
,embassy,Kuwait,Kuwait City,,,,http://www.wikidata.org/entity/Q68170747
,embassy,Morocco,Rabat,,,,http://www.wikidata.org/entity/Q68170759
,embassy,Oman,Muscat,,,,http://www.wikidata.org/entity/Q68170754
,embassy,Pakistan,Islamabad,,,http://www.mofa.gov.bh/islamabad,http://www.wikidata.org/entity/Q30594665
,embassy,People's Republic of China,Beijing,,,https://www.mofa.gov.bh/Default.aspx?tabid=11601&language=ar-BH,http://www.wikidata.org/entity/Q68170725
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4373967
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68169936
,embassy,Thailand,Bangkok,,,,http://www.wikidata.org/entity/Q68170723
,embassy,Tunisia,Tunis,,,,http://www.wikidata.org/entity/Q68170766
,embassy,Turkey,Ankara,,,https://www.mofa.gov.bh/Default.aspx?tabid=3866&language=en-US,http://www.wikidata.org/entity/Q68170719
,embassy,United Arab Emirates,Abu Dhabi,,,,http://www.wikidata.org/entity/Q68170711
,embassy,United Kingdom,London,,,http://www.bahrainembassy.co.uk/,http://www.wikidata.org/entity/Q68170749
,embassy,United States of America,"Washington, D.C.",,,http://www.bahrainembassy.org/,http://www.wikidata.org/entity/Q5369564
