email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Algeria,Algiers,,,,http://www.wikidata.org/entity/Q83584109
,high commission,Australia,Canberra,,,https://www.bhcanberra.com/,http://www.wikidata.org/entity/Q83584111
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q65063736
,embassy,Bahrain,Manama,,,,http://www.wikidata.org/entity/Q68170372
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q68194718
,embassy,Bhutan,Thimphu,,,https://thimphu.mofa.gov.bd,http://www.wikidata.org/entity/Q83584114
,embassy,Brazil,Brasília,,,https://brasilia.mofa.gov.bd,http://www.wikidata.org/entity/Q83584116
,high commission,Brunei,,,,,http://www.wikidata.org/entity/Q83584118
,high commission,Canada,Ottawa,,,https://www.bdhcottawa.ca,http://www.wikidata.org/entity/Q83584119
sultan20042005@yahoo.com,honorary consulate,Egypt,,,+20 3 450 0455,,http://www.wikidata.org/entity/Q112052156
,embassy,Egypt,,,,,http://www.wikidata.org/entity/Q83584126
,embassy,Ethiopia,,,,,http://www.wikidata.org/entity/Q83584127
,embassy,France,Paris,,,https://bangladoot-paris.org/,http://www.wikidata.org/entity/Q20669714
,embassy,Germany,Mitte,,,http://www.bangladeshembassy.de/,http://www.wikidata.org/entity/Q73149317
,embassy,Greece,Filothei-Psychiko Municipality,,,https://bdembassy.gr/,http://www.wikidata.org/entity/Q83584129
,high commission,India,New Delhi,,,http://bdhcdelhi.org/,http://www.wikidata.org/entity/Q83584131
,embassy,Indonesia,Jakarta,,,http://www.bdembassyjakarta.org,http://www.wikidata.org/entity/Q83584132
,embassy,Iran,,,,,http://www.wikidata.org/entity/Q83584134
,embassy,Iraq,,,,,http://www.wikidata.org/entity/Q83584137
,embassy,Italy,Rome,,,https://www.bdembassyrome.it,http://www.wikidata.org/entity/Q83584138
,embassy,Japan,Kioichō,,,,http://www.wikidata.org/entity/Q52213274
,embassy,Jordan,,,,,http://www.wikidata.org/entity/Q83584140
,high commission,Kenya,Nairobi,,,,http://www.wikidata.org/entity/Q83584142
,embassy,Kingdom of Denmark,Gentofte Municipality,,,https://bangladeshembassy.dk/,http://www.wikidata.org/entity/Q83584124
,embassy,Kuwait,,,,,http://www.wikidata.org/entity/Q83584146
beirutmission@gmail.com,embassy,Lebanon,Beirut,,+961-1-842-586,http://bangladeshembassybeirut.org/,http://www.wikidata.org/entity/Q80115601
,embassy,Libya,,,,,http://www.wikidata.org/entity/Q83584238
,high commission,Malaysia,,,,,http://www.wikidata.org/entity/Q83584241
,embassy,Maldives,,,,,http://www.wikidata.org/entity/Q83584242
,high commission,Maldives,Malé,,,,http://www.wikidata.org/entity/Q102106022
,high commission,Mauritius,Port Louis,,,,http://www.wikidata.org/entity/Q83584244
,embassy,Mexico,Mexico City,,,https://mexico.mofa.gov.bd,http://www.wikidata.org/entity/Q83584248
,embassy,Morocco,,,,,http://www.wikidata.org/entity/Q83584249
,embassy,Myanmar,,,,,http://www.wikidata.org/entity/Q83584251
,embassy,Nepal,,,,,http://www.wikidata.org/entity/Q83584255
,embassy,Netherlands,The Hague,,,http://bangladeshembassy.nl/,http://www.wikidata.org/entity/Q83584256
,embassy,Oman,Muscat,,,,http://www.wikidata.org/entity/Q83584258
,high commission,Pakistan,,,,,http://www.wikidata.org/entity/Q83584260
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q83584122
,embassy,Philippines,,,,,http://www.wikidata.org/entity/Q83584261
,embassy,Poland,Warsaw,,,,http://www.wikidata.org/entity/Q24944139
,embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q83584263
,embassy,Qatar,Doha,,,,http://www.wikidata.org/entity/Q83584265
,embassy,Romania,Bucharest,,,http://bdoot-bucharest.mofa.gov.bd,http://www.wikidata.org/entity/Q106948448
,embassy,Russia,Moscow,,,https://bangladeshembassy.ru/,http://www.wikidata.org/entity/Q4373971
,embassy,Saudi Arabia,Riyadh,,,http://www.bangladeshembassy.org.sa,http://www.wikidata.org/entity/Q68169939
,high commission,Singapore,Singapore,,,http://www.bdhc.sg/,http://www.wikidata.org/entity/Q83584269
,high commission,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q83584271
,embassy,South Korea,,,,,http://www.wikidata.org/entity/Q83584144
,embassy,Spain,Madrid,,,http://www.bangladeshembassy.es/,http://www.wikidata.org/entity/Q83584276
,high commission,Sri Lanka,,,,,http://www.wikidata.org/entity/Q83584278
,embassy,Sweden,Solna Municipality,,+46-8-730-58-50,http://bangladoot.se/,http://www.wikidata.org/entity/Q16498144
,embassy,Switzerland,Geneva,,,https://www.genevamission.mofa.gov.bd/,http://www.wikidata.org/entity/Q101027748
mission.bangkok@mofa.gov.bd,embassy,Thailand,,,,https://bangkok.mofa.gov.bd/,http://www.wikidata.org/entity/Q83584280
,embassy,Turkey,Ankara,,,https://www.bangladootankara.org.tr,http://www.wikidata.org/entity/Q83584284
,embassy,United Arab Emirates,,,,,http://www.wikidata.org/entity/Q83584286
,high commission,United Kingdom,,,,,http://www.wikidata.org/entity/Q115772452
,high commission,United Kingdom,London,,,,http://www.wikidata.org/entity/Q83584288
,embassy,United States of America,"Washington, D.C.",,,http://www.bdembassyusa.org/,http://www.wikidata.org/entity/Q4373968
,embassy,Uzbekistan,,,,,http://www.wikidata.org/entity/Q83584291
,embassy,Vietnam,Hanoi,,,,http://www.wikidata.org/entity/Q83584294
