email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,https://argentina.mfa.gov.by,http://www.wikidata.org/entity/Q110255487
,embassy,Armenia,Yerevan,,,https://armenia.mfa.gov.by,http://www.wikidata.org/entity/Q111630548
,embassy,Austria,Vienna,,,https://austria.mfa.gov.by,http://www.wikidata.org/entity/Q85213112
,embassy,Azerbaijan,Baku,,,http://azerbaijan.mfa.gov.by,http://www.wikidata.org/entity/Q111636821
,embassy,Belgium,Ixelles - Elsene,,,,http://www.wikidata.org/entity/Q67206827
,embassy,Brazil,Brasília,,,http://brazil.mfa.gov.by,http://www.wikidata.org/entity/Q105682078
,embassy,Bulgaria,Stolichna Municipality,,,https://bulgaria.mfa.gov.by,http://www.wikidata.org/entity/Q41589291
,embassy,Colombia,Bogotá,,,https://colombia.mfa.gov.by,http://www.wikidata.org/entity/Q111635576
,embassy,Cuba,Havana,,,http://cuba.mfa.gov.by,http://www.wikidata.org/entity/Q111635490
,embassy,Czech Republic,Prague,,,https://czech.mfa.gov.by,http://www.wikidata.org/entity/Q107105241
,embassy,Egypt,Giza,,,http://egypt.mfa.gov.by,http://www.wikidata.org/entity/Q111635288
,embassy,Estonia,Tallinn City,,,https://estonia.mfa.gov.by,http://www.wikidata.org/entity/Q65262724
,embassy,Finland,Helsinki,,,https://finland.mfa.gov.by,http://www.wikidata.org/entity/Q105979669
,honorary consulate,France,2nd arrondissement of Lyon,,,,http://www.wikidata.org/entity/Q61023914
,embassy,France,Paris,,,https://france.mfa.gov.by/fr/,http://www.wikidata.org/entity/Q20669701
,embassy,Georgia,Tbilisi,,,http://georgia.mfa.gov.by,http://www.wikidata.org/entity/Q100325343
,embassy,Germany,Berlin,,,http://germany.mfa.gov.by/be/,http://www.wikidata.org/entity/Q22250207
,embassy,Hungary,Budapest District III,,,http://hungary.mfa.gov.by/,http://www.wikidata.org/entity/Q100325415
,embassy,India,New Delhi,,,http://india.mfa.gov.by,http://www.wikidata.org/entity/Q111630489
,embassy,Indonesia,Jakarta,,,https://indonesia.mfa.gov.by,http://www.wikidata.org/entity/Q107559333
,embassy,Iran,Tehran,,,https://iran.mfa.gov.by,http://www.wikidata.org/entity/Q111630509
,embassy,Israel,Tel Aviv,,,http://israel.mfa.gov.by,http://www.wikidata.org/entity/Q111630460
,embassy,Italy,Rome,,,http://italy.mfa.gov.by,http://www.wikidata.org/entity/Q103218661
,embassy,Japan,Tokyo,,,https://japan.mfa.gov.by,http://www.wikidata.org/entity/Q99600347
kazakhstan@mfa.gov.by,embassy,Kazakhstan,Astana,,+7-7172-98-98-96,http://kazakhstan.mfa.gov.by,http://www.wikidata.org/entity/Q80166335
,embassy,Kenya,Nairobi,,,http://kenya.mfa.gov.by,http://www.wikidata.org/entity/Q111635325
,embassy,Kyrgyzstan,Bishkek,,,http://kyrgyzstan.mfa.gov.by,http://www.wikidata.org/entity/Q111630837
,consulate,Latvia,,,,http://latvia.mfa.gov.by/ru/daugavpils/,http://www.wikidata.org/entity/Q63215966
