email,mission_type,host_country,city,address,phone,website,wikidata_qid
algiers@diplobel.fed.be,embassy,Algeria,El Biar,,+213 23 052 412,https://algeria.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104518652
luanda@diplobel.fed.be,embassy,Angola,Luanda,,+244-222-449-396,https://angola.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104518847
BuenosAires@diplobel.fed.be,embassy,Argentina,Buenos Aires,,+54 11 431 372 72,https://argentina.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104523127
canberra@diplobel.fed.be,embassy,Australia,Canberra,,+61-493-137-141,https://australia.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104523186
Vienna@diplobel.fed.be,embassy,Austria,Vienna,,+43 1 502 070,https://austria.diplomatie.belgium.be,http://www.wikidata.org/entity/Q54168790
embassy.baku@diplobel.fed.be,embassy,Azerbaijan,Baku,,+994 12 437 37 70,https://azerbaijan.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104525019
cotonou@diplobel.fed.be,embassy,Benin,Cotonou,,+229 21 30 18 75,https://benin.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104528471
brasilia@diplobel.fed.be,embassy,Brazil,Brasília,,+55-61-344-311-33,https://brazil.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104528572
riodejaneiro@diplobel.fed.be,Consulate General of Belgium,Brazil,Rio de Janeiro,,+55 21 254 388 78,https://brazil.diplomatie.belgium.be/fr/ambassade-et-consulats/consulat-general-rio-de-janeiro,http://www.wikidata.org/entity/Q113015727
saopaulo@diplobel.fed.be,Consulate General of Belgium,Brazil,São Paulo,,+55-11-3145-7500,https://brazil.diplomatie.belgium.be/pt-br/embaixada-e-consulados/consulado-geral-em-sao-paulo,http://www.wikidata.org/entity/Q121701046
sofia@diplobel.fed.be,embassy,Bulgaria,Stolichna Municipality,,+359-2-988-72-90,https://bulgaria.diplomatie.belgium.be,http://www.wikidata.org/entity/Q41589107
ouagadougou@diplobel.fed.be,embassy,Burkina Faso,Ouagadougou,,+226 25 312 165,https://burkinafaso.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104529271
bujumbura@diplobel.fed.be,embassy,Burundi,Bujumbura,,+257-22-22-61-76,https://burundi.diplomatie.belgium.be,http://www.wikidata.org/entity/Q74692634
Yaounde@diplobel.fed.be,embassy,Cameroon,Yaoundé,,+237 222 21 52 91,https://cameroon.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104529594
ottawa@diplobel.fed.be,embassy,Canada,Ottawa,,+1-613-236-72-67,https://canada.diplomatie.belgium.be/,http://www.wikidata.org/entity/Q5369568
montreal@diplobel.fed.be,Consulate General of Belgium,Canada,Quebec,,+1-514-849-73-94,https://canada.diplomatie.belgium.be/en/embassy-and-consulates/consulate-general-montreal,http://www.wikidata.org/entity/Q121746849
Santiago@diplobel.fed.be,embassy,Chile,Santiago province,,+56 2 269 404 00,https://chile.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104530670
Bogota@diplobel.fed.be,embassy,Colombia,Bogotá,,+57 601-328-71-80,https://colombia.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104530761
zagreb@diplobel.fed.be,embassy,Croatia,Zagreb,,+385 1 457 89 01,http://croatia.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104549737
Havana@diplobel.fed.be,embassy,Cuba,Havana,,+53 7-204-24-10,https://cuba.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104549794
prague@diplobel.fed.be,embassy,Czech Republic,Malá Strana,,+420-257-533-525,https://czechrepublic.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104160214
kinshasa@diplobel.fed.be,embassy,Democratic Republic of the Congo,Kinshasa,,+243 996-022-100,https://rdcongo.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104531041
lubumbashi@diplobel.fed.be,Consulate General of Belgium,Democratic Republic of the Congo,Lubumbashi,,+243-830-546-770,https://rdcongo.diplomatie.belgium.be/fr/ambassade-et-consulats/consulat-general-lubumbashi,http://www.wikidata.org/entity/Q121779858
,honorary consulate,Egypt,Alexandria,,+20 3 495 40 00,https://egypt.diplomatie.belgium.be/nl/ambassade-en-consulaten/ereconsulaten/alexandrie,http://www.wikidata.org/entity/Q112052200
cairo@diplobel.fed.be,embassy,Egypt,Cairo,,+20 2 279 491 89,http://egypt.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104550267
AddisAbaba@diplobel.fed.be,embassy,Ethiopia,Addis Ababa,,+251 11 662 34 20,https://ethiopia.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104550030
Helsinki@diplobel.fed.be,embassy,Finland,Helsinki,,+358 9 170 412,https://finland.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104551345
paris@diplobel.fed.be,embassy,France,,,+33 1-44-09-39-39,https://france.diplomatie.belgium.be,http://www.wikidata.org/entity/Q15149872
marseille@diplobel.fed.be,Consulate General of Belgium,France,Marseille,,+33-4-96-11-69-55,https://france.diplomatie.belgium.be/fr/ambassade-et-consulats/consulat-general-marseille,http://www.wikidata.org/entity/Q16507555
berlin@diplobel.fed.be,embassy,Germany,Mitte,,+49-30-206-420,https://germany.diplomatie.belgium.be/,http://www.wikidata.org/entity/Q815502
Athens@diplobel.fed.be,embassy,Greece,Athens,,+30-210-338-85-40,https://greece.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104530699
Conakry@diplobel.fed.be,embassy,Guinea,Conakry,,+224 625-256-444,https://guinea.diplomatie.belgium.be/,http://www.wikidata.org/entity/Q104551573
Budapest@diplobel.fed.be,embassy,Hungary,Budapest District I,,+36 1 457 99 60,http://hungary.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104551621
Mumbai@diplobel.fed.be,Consulate General of Belgium,India,Mumbai,,+91 22 265 210 17,https://india.diplomatie.belgium.be/fr/ambassade-et-consulats/consulat-general-mumbai,http://www.wikidata.org/entity/Q121834816
newdelhi@diplobel.fed.be,embassy,India,New Delhi,,+91 11-424-280-00,https://india.diplomatie.belgium.be,http://www.wikidata.org/entity/Q15216557
jakarta@diplobel.fed.be,embassy,Indonesia,Jakarta,,+62 21 316 20 30,http://indonesia.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104551751
tehran@diplobel.fed.be,embassy,Iran,Tehran,,,http://iran.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104551906
Dublin@diplobel.fed.be,embassy,Ireland,Dublin,,+353 1 660 08 80,http://ireland.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104583877
telaviv@diplobel.fed.be,embassy,Israel,Ramat Gan,,+972 3 613 81 30,http://israel.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104584533
rome@diplobel.fed.be,embassy,Italy,Rome,,+39 06-360-95-11,https://italy.diplomatie.belgium.be/,http://www.wikidata.org/entity/Q18654798
RomeHolySee@diplobel.fed.be,embassy,Italy,Rome,,+39 06-322-47-57,https://vaticancity.diplomatie.belgium.be,http://www.wikidata.org/entity/Q103227221
abidjan@diplobel.fed.be,embassy,Ivory Coast,Abidjan,,+225 27 22 48 33 60,https://cotedivoire.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104546209
kingston@diplobel.fed.be,embassy,Jamaica,Kingston,,+1-876-754-79-03,https://jamaica.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104518875
tokyo@diplobel.fed.be,embassy,Japan,Tokyo,,+81-3-3262-0191,https://diplomatie.belgium.be/en/japan,http://www.wikidata.org/entity/Q20664366
amman@diplobel.fed.be,embassy,Jordan,Amman,,+962-6-465-5730,https://jordan.diplomatie.belgium.be,http://www.wikidata.org/entity/Q85086702
nur-sultan@diplobel.fed.be,embassy,Kazakhstan,Astana,,+7 7172 974 486,https://kazakhstan.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104585785
nairobi@diplobel.fed.be,embassy,Kenya,Nairobi,,+254 730 842 000,https://kenya.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104530977
Copenhagen@diplobel.fed.be,embassy,Kingdom of Denmark,Copenhagen Municipality,,+45 35 250 200,https://denmark.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104549934
kuwait@diplobel.fed.be,embassy,Kuwait,Kuwait City,,+965 253 845 82,https://kuwait.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104525105
beirut@diplobel.fed.be,embassy,Lebanon,Beirut,,+961-1-976-001,https://lebanon.diplomatie.belgium.be,http://www.wikidata.org/entity/Q80118024
luxembourg@diplobel.fed.be,embassy,Luxembourg,Luxembourg,,+352 44-27-46-1,https://luxembourg.diplomatie.belgium.be,http://www.wikidata.org/entity/Q28064757
kualalumpur@diplobel.fed.be,embassy,Malaysia,Kuala Lumpur,,+60 3 216 200 25,http://malaysia.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104586118
bamako@diplobel.fed.be,embassy,Mali,Bamako,,+223 202 196 22,http://mali.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104586273
Mexico@diplobel.fed.be,embassy,Mexico,Mexico City,,+52-55-52-80-07-58,https://mexico.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104528429
Rabat@diplobel.fed.be,embassy,Morocco,Rabat,,+212 537 26 80 60,http://morocco.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104586311
TheHague@diplobel.fed.be,embassy,Netherlands,The Hague,,+31-70-312-34-56,https://netherlands.diplomatie.belgium.be/,http://www.wikidata.org/entity/Q100605519
niamey@diplobel.fed.be,embassy,Niger,Niamey,,+227-20-73-94-18,http://niger.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104586837
abuja@diplobel.fed.be,embassy,Nigeria,Abuja,,+234 803 301 68 22,http://nigeria.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104586860
Oslo@diplobel.fed.be,embassy,Norway,Oslo Municipality,,+47-23-23-92-20,https://norway.diplomatie.belgium.be,http://www.wikidata.org/entity/Q17750083
islamabad@diplobel.fed.be,embassy,Pakistan,Islamabad,,+92 51 265 41 04,https://pakistan.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104518488
jerusalem@diplobel.fed.be,Consulate General of Belgium,Palestine,Jerusalem,,+972-2-582-82-63,https://jerusalem.diplomatie.belgium.be/,http://www.wikidata.org/entity/Q100325261
panama@diplobel.fed.be,embassy,Panama,Panama City,,+507 301 14 38,https://panama.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104545660
beijing@diplobel.fed.be,embassy,People's Republic of China,Beijing,,+86 10 653 217 36,https://china.diplomatie.belgium.be,http://www.wikidata.org/entity/Q100272639
guangzhou@diplobel.fed.be,Consulate General of Belgium,People's Republic of China,Guangzhou,,+86-20-387-723-51,https://china.diplomatie.belgium.be/en/embassy-and-consulates/consulate-general-guangzhou,http://www.wikidata.org/entity/Q121763029
hongkong@diplobel.fed.be,Consulate General of Belgium,People's Republic of China,Hong Kong,,+852-2524-3111,https://hongkongmacau.diplomatie.belgium.be/,http://www.wikidata.org/entity/Q121767961
Shanghai@diplobel.fed.be,Consulate General of Belgium,People's Republic of China,Shanghai,,+86-21-643-767-72,https://china.diplomatie.belgium.be/en/embassy-and-consulates/consulate-general-shanghai,http://www.wikidata.org/entity/Q121767305
lima@diplobel.fed.be,embassy,Peru,Miraflores,,+51 1 241 75 66,https://peru.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104528502
Manila@diplobel.fed.be,embassy,Philippines,Makati,,+63 2 884 518 69,http://philippines.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104586522
warsaw@diplobel.fed.be,embassy,Poland,Warsaw,,+48-22-551-28-00,https://poland.diplomatie.belgium.be,http://www.wikidata.org/entity/Q9149462
Lisbon@diplobel.fed.be,embassy,Portugal,Lisbon,,+351 213-170-510,http://portugal.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104586981
doha@diplobel.fed.be,embassy,Qatar,Doha,,+974-449-315-42,http://qatar.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104587570
brazzaville@diplobel.fed.be,embassy,Republic of the Congo,Brazzaville,,+242 05 200 1313,https://congo-brazzaville.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104531072
bucharest@diplobel.fed.be,embassy,Romania,Bucharest,,+40 21 212 36 80,http://romania.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104586657
moscow@diplobel.fed.be,embassy,Russia,Moscow,,+7-495-780-03-31,https://russia.diplomatie.belgium.be,http://www.wikidata.org/entity/Q4373974
kigali@diplobel.fed.be,embassy,Rwanda,Kigali,,+250 252-575-551,http://rwanda.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104587650
riyadh@diplobel.fed.be,embassy,Saudi Arabia,Riyadh,,+966 11 488 91 74,https://saudiarabia.diplomatie.belgium.be,http://www.wikidata.org/entity/Q68169940
dakar@diplobel.fed.be,embassy,Senegal,Dakar,,+221 33 889 43 90,https://senegal.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104530367
belgrade@diplobel.fed.be,embassy,Serbia,Belgrade,,+381 11 324 75 87,http://serbia.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104586769
singapore@diplobel.fed.be,embassy,Singapore,Singapore,,+65 6220 7677,https://singapore.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104528649
Capetown@diplobel.fed.be,Consulate General of Belgium,South Africa,Cape Town,,+27-21-419-46-90,https://southafrica.diplomatie.belgium.be/en/embassy-and-consulates/consulate-general-cape-town,http://www.wikidata.org/entity/Q121840831
pretoria@diplobel.fed.be,embassy,South Africa,Pretoria,,+27-12-440-3201,https://southafrica.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104518605
seoul@diplobel.fed.be,embassy,South Korea,Seoul,,,https://republicofkorea.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104544419
,consulate,South Korea,Ulsan,,,,http://www.wikidata.org/entity/Q94696579
madrid@diplobel.fed.be,embassy,Spain,Madrid,,+34 91 577 63 00,https://spain.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104518694
stockholm@diplobel.fed.be,embassy,Sweden,Stockholm,,+46-8-534-802-00,http://sweden.diplomatie.belgium.be/,http://www.wikidata.org/entity/Q10427834
Bernconsular@diplobel.fed.be,embassy,Switzerland,Bern,,+41-31-350-01-50,https://switzerland.diplomatie.belgium.be,http://www.wikidata.org/entity/Q26980102
taipei@diplobel.fed.be,de facto embassy,Taiwan,Taipei,,+886-2-2715-1215,https://taipei.diplomatie.belgium.be/,http://www.wikidata.org/entity/Q23043487
DarEsSalaam@diplobel.fed.be,embassy,Tanzania,Dar es Salaam,,+255 22 211 40 25,http://tanzania.diplomatie.belgium.be,http://www.wikidata.org/entity/Q104586228
