email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105682142
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q111083765
,honorary consulate,France,3rd arrondissement of Lyon,,,,http://www.wikidata.org/entity/Q60035853
,embassy,France,Paris,,,https://www.benin-ambassade.fr/,http://www.wikidata.org/entity/Q16303681
,embassy,Italy,,,,,http://www.wikidata.org/entity/Q60855296
,embassy,Japan,Kasuga,,+81-3-5229-7232,http://www.beninembassy.jp,http://www.wikidata.org/entity/Q30403674
consulbeninm@yahoo.com,honorary consulate,Mauritania,,,+222-36-30-12-45,,http://www.wikidata.org/entity/Q80084011
ambaben@yahoo.fr,embassy,Niger,Niamey,,+227-20-72-28-60,,http://www.wikidata.org/entity/Q28473782
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4373975
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68169942
,embassy,South Africa,Pretoria,,,http://www.embbeninsa.org.za,http://www.wikidata.org/entity/Q106644517
,embassy,United States of America,"Washington, D.C.",,,http://www.beninembassy.us/,http://www.wikidata.org/entity/Q5369573
