email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q110255671
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168797
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q68564872
,embassy,Brazil,Brasília,,,http://www.embolivia.org.br,http://www.wikidata.org/entity/Q105682264
,embassy,Canada,Ottawa,,,http://bolivianembassy.ca/,http://www.wikidata.org/entity/Q106452531
,embassy,Colombia,Bogotá,,,https://embajadaboliviacolombia.org,http://www.wikidata.org/entity/Q110605095
,embassy,Costa Rica,San José,,,https://embocr.com/,http://www.wikidata.org/entity/Q110606866
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q110606971
,embassy,Ecuador,Quito,,,,http://www.wikidata.org/entity/Q110607067
,embassy,Egypt,Giza,,,,http://www.wikidata.org/entity/Q110613959
,embassy,France,Paris,,,https://www.emboliviafrancia.fr,http://www.wikidata.org/entity/Q110614042
info@bolivia.de,embassy,Germany,Berlin,,,http://www.bolivia.de/,http://www.wikidata.org/entity/Q55773772
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q110614624
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q65168008
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103233064
,embassy,Japan,Minato,,,https://ebja.jp,http://www.wikidata.org/entity/Q61877357
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q56318671
,embassy,Netherlands,The Hague,,,http://www.embassyofbolivia.nl/,http://www.wikidata.org/entity/Q100563952
,embassy,Panama,Panama City,,,https://embajadabolpan.com,http://www.wikidata.org/entity/Q110615326
,embassy,Paraguay,Asunción,,,,http://www.wikidata.org/entity/Q110527379
,embassy,People's Republic of China,Beijing,,,http://www.embolchina.cn,http://www.wikidata.org/entity/Q107559393
,embassy,Peru,San Isidro,,,http://www.embajadadeboliviaenperu.com,http://www.wikidata.org/entity/Q110615587
,embassy,Russia,Moscow,,,http://bolivia-rusia.ru,http://www.wikidata.org/entity/Q4373972
,embassy,South Korea,Seoul,,,,http://www.wikidata.org/entity/Q110606775
,embassy,Spain,Madrid,,,https://www.embajadadebolivia.es,http://www.wikidata.org/entity/Q105170240
,embassy,Sweden,Lidingö Municipality,,,http://www.embolivia.se/,http://www.wikidata.org/entity/Q16503803
,embassy,United Kingdom,City of Westminster,,,,http://www.wikidata.org/entity/Q16966285
,embassy,United States of America,"Washington, D.C.",,,http://www.boliviawdc.org/,http://www.wikidata.org/entity/Q5369575
,embassy,Uruguay,Montevideo,,,,http://www.wikidata.org/entity/Q110489417
,embassy,Venezuela,Caracas,,,,http://www.wikidata.org/entity/Q110616110
