email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,,http://www.wikidata.org/entity/Q126485290
,embassy,Australia,Canberra,,,http://www.bihembassy.org,http://www.wikidata.org/entity/Q17997370
,embassy,Austria,Vienna,,,http://bh-botschaft.at/,http://www.wikidata.org/entity/Q17997187
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q67206836
,embassy,Bulgaria,Stolichna Municipality,,,,http://www.wikidata.org/entity/Q108000967
,embassy,Canada,Ottawa,,,http://www.ambasadabih.ca,http://www.wikidata.org/entity/Q106768355
,embassy,Croatia,Zagreb,,,,http://www.wikidata.org/entity/Q107407425
,embassy,Czech Republic,Prague,,,http://bhembassy.cz/,http://www.wikidata.org/entity/Q65303097
,embassy,Egypt,Giza,,,,http://www.wikidata.org/entity/Q107985181
,embassy,France,Paris,,,,http://www.wikidata.org/entity/Q17997188
,embassy,Germany,Berlin,,,http://www.botschaftbh.de/,http://www.wikidata.org/entity/Q22572870
,embassy,Greece,Athens,,,,http://www.wikidata.org/entity/Q108000981
,embassy,Hungary,Budapest,,,,http://www.wikidata.org/entity/Q95199927
,embassy,India,New Delhi,,,http://bihembassyin.com/,http://www.wikidata.org/entity/Q108000989
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107559463
,embassy,Iran,Tehran,,,,http://www.wikidata.org/entity/Q107998425
,embassy,Israel,Tel Aviv,,,,http://www.wikidata.org/entity/Q107984151
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q56338309
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103238069
,embassy,Japan,Tokyo,,,https://www.bhembassy.jp/,http://www.wikidata.org/entity/Q61877417
,embassy,Jordan,Amman,,,,http://www.wikidata.org/entity/Q107984710
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,http://www.bihambasada.dk,http://www.wikidata.org/entity/Q105979834
,embassy,Kuwait,Kuwait City,,,,http://www.wikidata.org/entity/Q108001000
,embassy,Libya,Tripoli,,,,http://www.wikidata.org/entity/Q107998481
,embassy,Malaysia,Kuala Lumpur,,,,http://www.wikidata.org/entity/Q107983615
,embassy,Montenegro,Podgorica,,,http://www.ambasadabih.me,http://www.wikidata.org/entity/Q108001060
,embassy,Netherlands,The Hague,,,http://www.bhembassy.nl,http://www.wikidata.org/entity/Q100605669
,embassy,North Macedonia,Skopje,,,http://ambasadabih.org.mk/,http://www.wikidata.org/entity/Q108001136
,embassy,Norway,Oslo Municipality,,,,http://www.wikidata.org/entity/Q17750790
,embassy,Pakistan,Islamabad,,,http://www.bembassy.org,http://www.wikidata.org/entity/Q107958525
,embassy,People's Republic of China,Beijing,,,http://www.bhembassychina.com,http://www.wikidata.org/entity/Q107998351
,embassy,Poland,Warsaw,,,http://pl.ambasadabih.pl/,http://www.wikidata.org/entity/Q9149466
,embassy,Qatar,Doha,,,http://bhembassyqatar.com,http://www.wikidata.org/entity/Q108001223
,embassy,Romania,Bucharest,,,,http://www.wikidata.org/entity/Q106848053
,embassy,Russia,Moscow,,,https://rf-bih.ru,http://www.wikidata.org/entity/Q4373973
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68169943
,embassy,Serbia,Belgrade,,,,http://www.wikidata.org/entity/Q108001470
,embassy,Slovenia,Ljubljana,,,https://www.ambasadabih.si,http://www.wikidata.org/entity/Q107332628
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105171431
,embassy,Sweden,Stockholm,,,https://www.bihambasada.se/,http://www.wikidata.org/entity/Q10433467
emb-ch-brn@vtxmail.ch,embassy,Switzerland,Muri bei Bern,,+41-31-351-10-51,,http://www.wikidata.org/entity/Q26980106
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q17997185
,consulate general,Turkey,Istanbul,,,,http://www.wikidata.org/entity/Q111584948
,embassy,United Arab Emirates,Abu Dhabi,,,https://bhmc.ae,http://www.wikidata.org/entity/Q107960992
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16864364
,embassy,United States of America,"Washington, D.C.",,,http://www.bhembassy.org/,http://www.wikidata.org/entity/Q5369578
