email,mission_type,host_country,city,address,phone,website,wikidata_qid
,high commission,Australia,Canberra,,,,http://www.wikidata.org/entity/Q106452968
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,,http://www.wikidata.org/entity/Q16303683
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105682363
,embassy,France,Neuilly-sur-Seine,,+33 1 47.20.08.23,,http://www.wikidata.org/entity/Q104189016
,embassy,Germany,Berlin,,,http://embassyofbotswana.de,http://www.wikidata.org/entity/Q73150790
,high commission,India,New Delhi,,,http://www.botswanahighcom.in,http://www.wikidata.org/entity/Q112110747
,embassy,Japan,,,,,http://www.wikidata.org/entity/Q48280900
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100275357
,high commission,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106644532
,embassy,Sweden,Stockholm,,,http://www.botswana.se/,http://www.wikidata.org/entity/Q10433907
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q104623487
,high commission,United Kingdom,London,,,,http://www.wikidata.org/entity/Q104762369
,embassy,United States of America,"Washington, D.C.",,,http://www.botswanaembassy.org/,http://www.wikidata.org/entity/Q5369579
