email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,http://tirana.itamaraty.gov.br,http://www.wikidata.org/entity/Q105749123
,embassy,Algeria,El Biar,,,http://argel.itamaraty.gov.br,http://www.wikidata.org/entity/Q105749668
,embassy,Angola,Luanda,,,http://luanda.itamaraty.gov.br,http://www.wikidata.org/entity/Q10272258
,embassy,Antigua and Barbuda,Saint John's,,,,http://www.wikidata.org/entity/Q105749479
,embassy,Argentina,Buenos Aires,,,http://buenosaires.itamaraty.gov.br,http://www.wikidata.org/entity/Q3817562
,embassy,Armenia,Yerevan,,,http://ierevan.itamaraty.gov.br,http://www.wikidata.org/entity/Q10272251
,embassy,Australia,Canberra,,,http://camberra.itamaraty.gov.br,http://www.wikidata.org/entity/Q105756543
,embassy,Austria,Vienna,,,http://viena.itamaraty.gov.br,http://www.wikidata.org/entity/Q10272282
,embassy,Azerbaijan,Baku,,,http://baku.itamaraty.gov.br,http://www.wikidata.org/entity/Q105756861
,embassy,Bangladesh,Dhaka,,,http://daca.itamaraty.gov.br,http://www.wikidata.org/entity/Q105756994
,embassy,Barbados,Christ Church,,,http://bridgetown.itamaraty.gov.br,http://www.wikidata.org/entity/Q10272243
,embassy,Belarus,Minsk,,,http://minsk.itamaraty.gov.br,http://www.wikidata.org/entity/Q105757427
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q25447453
,embassy,Belize,Belmopan,,,http://belmopan.itamaraty.gov.br,http://www.wikidata.org/entity/Q10272240
,embassy,Benin,Cotonou,,,http://cotonou.itamaraty.gov.br,http://www.wikidata.org/entity/Q105757628
,embassy,Bolivia,La Paz,,,http://lapaz.itamaraty.gov.br,http://www.wikidata.org/entity/Q105757689
,embassy,Bosnia and Herzegovina,Sarajevo,,,http://sarajevo.itamaraty.gov.br/,http://www.wikidata.org/entity/Q95487177
,embassy,Botswana,Gaborone,,,http://gaborone.itamaraty.gov.br,http://www.wikidata.org/entity/Q105764579
,embassy,Bulgaria,Sofia,,,http://sofia.itamaraty.gov.br,http://www.wikidata.org/entity/Q10272274
,embassy,Burkina Faso,Ouagadougou,,,http://uagadugu.itamaraty.gov.br,http://www.wikidata.org/entity/Q105768322
,embassy,Cameroon,Yaoundé,,,http://iaunde.itamaraty.gov.br,http://www.wikidata.org/entity/Q10272284
,consulate general,Canada,Montreal,,,https://www.gov.br/mre/pt-br/consulado-montreal,http://www.wikidata.org/entity/Q101756803
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q5369581
,embassy,Cape Verde,Praia,,,http://praia.itamaraty.gov.br,http://www.wikidata.org/entity/Q105769988
,embassy,Chile,Las Condes,,,http://santiago.itamaraty.gov.br,http://www.wikidata.org/entity/Q105791722
,embassy,Colombia,Bogotá,,,http://bogota.itamaraty.gov.br,http://www.wikidata.org/entity/Q105796852
,embassy,Costa Rica,San José,,,http://saojose.itamaraty.gov.br,http://www.wikidata.org/entity/Q105799610
,embassy,Croatia,Zagreb,,,http://zagreb.itamaraty.gov.br,http://www.wikidata.org/entity/Q105799756
,embassy,Cuba,Havana,,,http://havana.itamaraty.gov.br,http://www.wikidata.org/entity/Q105799927
,embassy,Czech Republic,Prague,,,http://praga.itamaraty.gov.br,http://www.wikidata.org/entity/Q10272267
,embassy,Democratic Republic of the Congo,Kinshasa,,,http://kinshasa.itamaraty.gov.br,http://www.wikidata.org/entity/Q105798448
,embassy,Dominican Republic,Santo Domingo,,,http://saodomingos.itamaraty.gov.br,http://www.wikidata.org/entity/Q105894774
,embassy,East Timor,Dili,,,http://dili.itamaraty.gov.br,http://www.wikidata.org/entity/Q105925689
,embassy,Ecuador,Quito,,,http://quito.itamaraty.gov.br,http://www.wikidata.org/entity/Q105810351
,embassy,Egypt,Cairo,,,https://www.gov.br/mre/pt-br/embaixada-cairo,http://www.wikidata.org/entity/Q105809391
,embassy,El Salvador,San Salvador,,,http://saosalvador.itamaraty.gov.br,http://www.wikidata.org/entity/Q105809677
,embassy,Equatorial Guinea,Malabo,,,http://malabo.itamaraty.gov.br,http://www.wikidata.org/entity/Q105944658
,embassy,Estonia,Tallinn City,,,http://talin.itamaraty.gov.br,http://www.wikidata.org/entity/Q65261628
,embassy,Ethiopia,Addis Ababa,,,http://adisabeba.itamaraty.gov.br,http://www.wikidata.org/entity/Q105808750
,embassy,Finland,Helsinki,,,http://helsinque.itamaraty.gov.br,http://www.wikidata.org/entity/Q105811652
,embassy,France,,,,https://www.gov.br/mre/pt-br/embaixada-paris,http://www.wikidata.org/entity/Q10272264
,consulate general,France,,,,http://www.cgbresil.org,http://www.wikidata.org/entity/Q16507610
