email,mission_type,host_country,city,address,phone,website,wikidata_qid
,high commission,Australia,Canberra,,,http://www.brunei.org.au/,http://www.wikidata.org/entity/Q106453055
,embassy,Bahrain,Manama,,,,http://www.wikidata.org/entity/Q68170701
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q68565176
,high commission,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q5755064
,embassy,France,,,,http://www.mfa.gov.bn/france-paris/,http://www.wikidata.org/entity/Q2387776
,embassy,Germany,Berlin,,,http://www.mfa.gov.bn/germany-berlin/SitePages/Home.aspx,http://www.wikidata.org/entity/Q56339722
,high commission,India,New Delhi,,,,http://www.wikidata.org/entity/Q112110979
,embassy,Indonesia,Jakarta,,,http://www.mfa.gov.bn/indonesia-jakarta,http://www.wikidata.org/entity/Q107559517
,embassy,Japan,Kita-Shinagawa,,,,http://www.wikidata.org/entity/Q52215631
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100278793
,embassy,Russia,Dorogomilovo District,,,,http://www.wikidata.org/entity/Q4373977
,embassy,Saudi Arabia,Riyadh,,,http://www.mfa.gov.bn/saudiarabia-riyadh,http://www.wikidata.org/entity/Q68169945
,high commission,Singapore,Singapore,,,http://www.mfa.gov.bn/singapore/,http://www.wikidata.org/entity/Q106644547
,embassy,Turkey,Ankara,,,http://www.mfa.gov.bn/turkey-ankara,http://www.wikidata.org/entity/Q108028249
,high commission,United Kingdom,London,,,,http://www.wikidata.org/entity/Q104762497
,embassy,United States of America,"Washington, D.C.",,,http://www.bruneiembassy.org/,http://www.wikidata.org/entity/Q5369582
