email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Afghanistan,Kabul,,,https://www.mfa.bg/embassies/afghanistan,http://www.wikidata.org/entity/Q109331491
,embassy,Albania,Tirana,,,https://www.mfa.bg/embassies/albania,http://www.wikidata.org/entity/Q109341965
,embassy,Algeria,El Biar,,,https://www.mfa.bg/embassies/algeria,http://www.wikidata.org/entity/Q109327917
,embassy,Argentina,Buenos Aires,,,https://www.mfa.bg/embassies/argentina,http://www.wikidata.org/entity/Q109346282
,embassy,Armenia,Yerevan,,,https://www.mfa.bg/embassies/armenia,http://www.wikidata.org/entity/Q109342009
,embassy,Australia,Canberra,,,https://www.mfa.bg/embassies/australia,http://www.wikidata.org/entity/Q106453185
,embassy,Austria,Vienna,,,https://www.mfa.bg/embassies/austria,http://www.wikidata.org/entity/Q54168801
,embassy,Azerbaijan,Baku,,,,http://www.wikidata.org/entity/Q16414649
,embassy,Belarus,Minsk,,,https://www.mfa.bg/embassies/belarus,http://www.wikidata.org/entity/Q33117143
,embassy,Belgium,Uccle - Ukkel,,,,http://www.wikidata.org/entity/Q67206958
,embassy,Bosnia and Herzegovina,Sarajevo,,,https://www.mfa.bg/embassies/bosniaherzegovina,http://www.wikidata.org/entity/Q95490501
,embassy,Brazil,Brasília,,,https://www.mfa.bg/embassies/brazil,http://www.wikidata.org/entity/Q105682405
,embassy,Canada,Ottawa,,,https://www.mfa.bg/embassies/canada,http://www.wikidata.org/entity/Q5369585
,embassy,Croatia,Zagreb,,,https://www.mfa.bg/embassies/croatia,http://www.wikidata.org/entity/Q107407444
,embassy,Cuba,Havana,,,https://www.mfa.bg/embassies/kuba,http://www.wikidata.org/entity/Q109345407
,embassy,Cyprus,Egkomi Lefkosias,,,https://www.mfa.bg/embassies/cyprus,http://www.wikidata.org/entity/Q109342067
,embassy,Czech Republic,Prague,,,https://www.mfa.bg/embassies/czech,http://www.wikidata.org/entity/Q107110897
,embassy,Egypt,Cairo,,,https://www.mfa.bg/embassies/egypt,http://www.wikidata.org/entity/Q109328425
,embassy,Ethiopia,Addis Ababa,,,https://www.mfa.bg/embassies/ethiopia,http://www.wikidata.org/entity/Q109328372
,embassy,Finland,Helsinki,,,https://www.mfa.bg/embassies/finland/,http://www.wikidata.org/entity/Q12291123
,embassy,France,,,,https://www.ambbulgarie.fr/,http://www.wikidata.org/entity/Q20127462
,embassy,Georgia,Tbilisi,,,https://www.mfa.bg/embassies/georgia,http://www.wikidata.org/entity/Q109342092
,embassy,Germany,Mitte,,,https://www.mfa.bg/embassies/germany,http://www.wikidata.org/entity/Q1003714
,embassy,Greece,Psychiko,,,https://www.mfa.bg/embassies/greece,http://www.wikidata.org/entity/Q12291119
,consulate,Greece,Thessaloniki,,,,http://www.wikidata.org/entity/Q26959033
,embassy,Hungary,Budapest District VI,,,https://www.mfa.bg/en/embassies/hungary,http://www.wikidata.org/entity/Q108716062
,embassy,India,New Delhi,,,https://www.mfa.bg/embassies/india,http://www.wikidata.org/entity/Q109332075
,embassy,Indonesia,Jakarta,,,https://www.mfa.bg/embassies/indonesia,http://www.wikidata.org/entity/Q107559743
,embassy,Iran,Tehran,,,https://www.mfa.bg/embassies/iran,http://www.wikidata.org/entity/Q109332421
,embassy,Ireland,Dublin,,,https://www.mfa.bg/embassies/ireland,http://www.wikidata.org/entity/Q104762585
,embassy,Israel,Tel Aviv,,,https://www.mfa.bg/embassies/israel,http://www.wikidata.org/entity/Q109332471
,embassy,Italy,Rome,,,https://www.mfa.bg/embassies/vatican,http://www.wikidata.org/entity/Q56340036
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103247730
,embassy,Japan,Tokyo,,,https://www.mfa.bg/embassies/japan,http://www.wikidata.org/entity/Q61877428
,embassy,Jordan,Amman,,,https://www.mfa.bg/embassies/jordan,http://www.wikidata.org/entity/Q109332680
,embassy,Kazakhstan,Astana,,,https://www.mfa.bg/embassies/kazakhstan,http://www.wikidata.org/entity/Q109332983
,embassy,Kingdom of Denmark,Gentofte Municipality,,,,http://www.wikidata.org/entity/Q12291122
,embassy,Kuwait,Jabriya,,,https://www.mfa.bg/embassies/kuwait,http://www.wikidata.org/entity/Q109331803
,embassy,Lebanon,Hazmiyeh,,,https://www.mfa.bg/embassies/lebanon,http://www.wikidata.org/entity/Q109334453
,embassy,Mexico,Mexico City,,,https://www.mfa.bg/embassies/mexico,http://www.wikidata.org/entity/Q109345585
,embassy,Moldova,Chișinău,,,https://www.mfa.bg/embassies/moldova,http://www.wikidata.org/entity/Q5369584
,embassy,Mongolia,Ulaanbaatar,,,https://www.mfa.bg/embassies/mongolia,http://www.wikidata.org/entity/Q109334605
,embassy,Montenegro,Podgorica,,,https://www.mfa.bg/embassies/montenegro,http://www.wikidata.org/entity/Q108910026
,embassy,Morocco,Rabat,,,https://www.mfa.bg/embassies/morocco,http://www.wikidata.org/entity/Q109330496
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100498630
