email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Algeria,El Biar,,,,http://www.wikidata.org/entity/Q111547138
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104625256
,embassy,Belgium,Uccle - Ukkel,,,https://www.ambassadeduburkinafaso.be,http://www.wikidata.org/entity/Q68565963
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105687654
,embassy,Canada,Ottawa,,,https://ambabf-ca.org/home-en/,http://www.wikidata.org/entity/Q106768541
,embassy,Chad,N'Djamena,,+235 93 28 03 10,,http://www.wikidata.org/entity/Q111544567
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q111083833
,embassy,Egypt,Cairo,,,,http://www.wikidata.org/entity/Q111546586
,embassy,Ethiopia,Addis Ababa,,,,http://www.wikidata.org/entity/Q106614855
,embassy,France,,,,,http://www.wikidata.org/entity/Q15149889
,embassy,Gabon,Libreville,,,https://ambaburkina-ga.org,http://www.wikidata.org/entity/Q111546174
,embassy,Germany,Berlin,,,http://www.embassy-bf.org/,http://www.wikidata.org/entity/Q56339762
,embassy,Ghana,Accra,,,,http://www.wikidata.org/entity/Q111547289
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q107559879
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q65168011
,embassy,Italy,Rome,,,https://www.ambaburkinaitalie.it/,http://www.wikidata.org/entity/Q103250543
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q111547196
,embassy,Japan,Shibuya-ku,,,https://sites.google.com/site/burukinafasotaishikan/,http://www.wikidata.org/entity/Q61877075
,embassy,Kenya,Nairobi,,,,http://www.wikidata.org/entity/Q111544575
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,http://www.ambaburkina.dk,http://www.wikidata.org/entity/Q101820830
,embassy,Kuwait,Kuwait City,,,,http://www.wikidata.org/entity/Q111544705
,embassy,Libya,Tripoli,,,,http://www.wikidata.org/entity/Q107720770
,embassy,Mali,Bamako,,,https://ambassadeburkina-ml.org,http://www.wikidata.org/entity/Q111547293
,embassy,Morocco,Rabat,,,,http://www.wikidata.org/entity/Q111544504
,embassy,Nigeria,Abuja,,,http://ambaburkina-ng.org,http://www.wikidata.org/entity/Q111547213
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q111544412
,embassy,Qatar,Doha,,,,http://www.wikidata.org/entity/Q111546204
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q110073206
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68169948
,embassy,Senegal,Dakar,,,https://www.ambaburkina-sn.org/,http://www.wikidata.org/entity/Q111546211
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106650661
,embassy,Switzerland,Geneva,,,http://www.ambaburkinafaso-ch.org/,http://www.wikidata.org/entity/Q100956605
,embassy,Tunisia,Tunis,,,,http://www.wikidata.org/entity/Q111543497
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q106954392
,embassy,United States of America,"Washington, D.C.",,,https://burkina-usa.org/,http://www.wikidata.org/entity/Q5369588
