email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q68566669
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105687720
,embassy,Egypt,Giza,,,http://burundi-embassyinegypt.info/,http://www.wikidata.org/entity/Q112035326
,embassy,France,Paris,,,https://www.ambassade-du-burundi.fr/,http://www.wikidata.org/entity/Q15149890
,embassy,Germany,Berlin,,,http://www.burundiembassy-germany.de/,http://www.wikidata.org/entity/Q16913559
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112111002
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103253842
burundiembassythehague@gmail.com,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100552730
,embassy,Nigeria,Abuja,,,,http://www.wikidata.org/entity/Q106240819
,embassy,Norway,Oslo Municipality,,,,http://www.wikidata.org/entity/Q17194526
,embassy,Russia,Moscow,,,http://burundiemb.ru/,http://www.wikidata.org/entity/Q4373978
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106650680
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q100956829
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q110966953
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q15216559
,embassy,United States of America,"Washington, D.C.",,,http://www.burundiembassydc-usa.org/,http://www.wikidata.org/entity/Q30592731
