email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Australia,Canberra,,,https://www.embassyofcambodia.org.au/,http://www.wikidata.org/entity/Q106453298
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,,http://www.wikidata.org/entity/Q68667609
,embassy,Bulgaria,Stolichna Municipality,,,,http://www.wikidata.org/entity/Q108937992
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q111129107
,embassy,France,,,,https://www.ambcambodgeparis.info/,http://www.wikidata.org/entity/Q20051104
,embassy,Germany,Berlin,,,http://www.kambodscha-botschaft.de,http://www.wikidata.org/entity/Q28672946
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112111660
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107560073
,embassy,Japan,Tokyo,,,,http://www.wikidata.org/entity/Q52175898
,embassy,Myanmar,,,,,http://www.wikidata.org/entity/Q79835292
,embassy,North Korea,Pyongyang,,,,http://www.wikidata.org/entity/Q118918833
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100272742
,embassy,Russia,Khamovniki District,,,,http://www.wikidata.org/entity/Q5369591
,embassy,Serbia,Belgrade,,,,http://www.wikidata.org/entity/Q108106553
,embassy,Switzerland,Le Grand-Saconnex,,,http://cambodiaembassy.ch,http://www.wikidata.org/entity/Q101029029
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q110966969
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16972141
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369592
