email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Forest,,,,http://www.wikidata.org/entity/Q68667738
,embassy,Brazil,Brasília,,,http://www.embcameroun.org.br,http://www.wikidata.org/entity/Q105687779
,high commission,Canada,Ottawa,,,https://www.hc-cameroon-ottawa.org,http://www.wikidata.org/entity/Q106768585
,embassy,France,Paris,,,http://www.ambacamparis.org/,http://www.wikidata.org/entity/Q16303685
,embassy,Germany,Berlin,,,http://www.ambacam.de/,http://www.wikidata.org/entity/Q16744697
,embassy,Israel,Ramat Gan,,,,http://www.wikidata.org/entity/Q112035374
,embassy,Italy,Rome,,,https://www.ambacam.it/,http://www.wikidata.org/entity/Q86677277
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q104040588
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q112877475
,embassy,Japan,Setagaya-ku,,,http://cameroon-embassy-jp.org/,http://www.wikidata.org/entity/Q106453445
,embassy,Netherlands,The Hague,,,http://www.cameroon-embassy.nl/,http://www.wikidata.org/entity/Q100532512
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q19840353
,embassy,Russia,Moscow,,,http://ambacam.ru,http://www.wikidata.org/entity/Q4374009
,embassy,Saudi Arabia,Riyadh,,,http://www.ambacamsaudi.org/,http://www.wikidata.org/entity/Q68169949
,embassy,Senegal,Dakar,,,,http://www.wikidata.org/entity/Q102299548
,high commission,South Africa,Pretoria,,,http://www.camhicom.co.za,http://www.wikidata.org/entity/Q106650732
,embassy,Spain,Madrid,,,http://ambacammadrid.es,http://www.wikidata.org/entity/Q105176272
info@ambacamberne.ch,embassy,Switzerland,Bern,,+41-31-352-47-37,http://www.ambacamberne.ch,http://www.wikidata.org/entity/Q26995197
,embassy,Turkey,Ankara,,,https://ambacamturquie.com,http://www.wikidata.org/entity/Q110967017
,high commission,United Kingdom,London,,,https://cameroonhighcommission.co.uk/,http://www.wikidata.org/entity/Q16842969
,embassy,United States of America,"Washington, D.C.",,,https://www.cameroonembassyusa.org,http://www.wikidata.org/entity/Q5369594
