email,mission_type,host_country,city,address,phone,website,wikidata_qid
kabulcs@international.gc.ca,embassy,Afghanistan,Kabul,,+93-70-110-8800,http://www.international.gc.ca/afghanistan/,http://www.wikidata.org/entity/Q5369597
,embassy,Algeria,Algiers,,,https://www.canadainternational.gc.ca/algeria-algerie/index.aspx,http://www.wikidata.org/entity/Q30744436
,embassy,Argentina,Buenos Aires,,,https://www.canadainternational.gc.ca/argentina-argentine,http://www.wikidata.org/entity/Q104353895
,embassy,Armenia,Yerevan,,,,http://www.wikidata.org/entity/Q123183631
,high commission,Australia,Canberra,,,https://www.canadainternational.gc.ca/australia-australie/index.aspx,http://www.wikidata.org/entity/Q5030091
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168853
,high commission,Bangladesh,Dhaka District,,,https://www.international.gc.ca/country-pays/bangladesh/dhaka-dacca.aspx,http://www.wikidata.org/entity/Q104363866
,high commission,Barbados,Saint Michael,,,https://www.international.gc.ca/country-pays/barbados-barbade/bridgetown.aspx,http://www.wikidata.org/entity/Q104351823
,embassy,Belgium,City of Brussels,,,https://www.canadainternational.gc.ca/belgium-belgique/,http://www.wikidata.org/entity/Q68667953
,embassy,Brazil,Brasília,,,https://www.international.gc.ca/world-monde/country-pays/brazil-bresil/brasilia.aspx,http://www.wikidata.org/entity/Q104369257
,high commission,Brunei,Bandar Seri Begawan,,,https://www.canadainternational.gc.ca/brunei_darussalam/index.aspx,http://www.wikidata.org/entity/Q104369043
,embassy,Burkina Faso,Ouagadougou,,,https://www.canadainternational.gc.ca/burkinafaso,http://www.wikidata.org/entity/Q104368703
,high commission,Cameroon,Yaoundé,,,https://www.canadainternational.gc.ca/cameroon-cameroun/contact-contactez.aspx,http://www.wikidata.org/entity/Q101095972
,embassy,Chile,Las Condes,,,https://www.canadainternational.gc.ca/chile-chili/index.aspx,http://www.wikidata.org/entity/Q104370486
,embassy,Colombia,Bogotá,,,https://www.canadainternational.gc.ca/colombia-colombie,http://www.wikidata.org/entity/Q104370635
,embassy,Costa Rica,San José,,,https://www.canadainternational.gc.ca/costa_rica,http://www.wikidata.org/entity/Q104371135
,embassy,Croatia,Donji grad,,,http://www.canadainternational.gc.ca/croatia-croatie/index.aspx?lang=eng,http://www.wikidata.org/entity/Q5369601
,embassy,Cuba,Havana,,,https://www.canadainternational.gc.ca/cuba,http://www.wikidata.org/entity/Q104371388
varadero@international.gc.ca,consulate,Cuba,Varadero,,+53-45-612078,https://travel.gc.ca/assistance/embassies-consulates/cuba,http://www.wikidata.org/entity/Q79973980
,embassy,Czech Republic,Prague,,,https://www.canadainternational.gc.ca/czech-tcheque,http://www.wikidata.org/entity/Q104425409
