email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Schaerbeek,,,,http://www.wikidata.org/entity/Q69978953
,embassy,Canada,Ottawa,,,https://chadembassy.ca,http://www.wikidata.org/entity/Q106777295
,embassy,Egypt,,,,,http://www.wikidata.org/entity/Q125496177
,embassy,France,16th arrondissement of Paris,,,https://www.ambtchad-paris.org/,http://www.wikidata.org/entity/Q16303714
,embassy,Germany,Berlin,,,http://www.ambatchadberlin.com/,http://www.wikidata.org/entity/Q16623406
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112111710
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q112876350
minaffec@intnet.te,embassy,Niger,Niamey,,+227-20-75-34-64,,http://www.wikidata.org/entity/Q28477726
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374081
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68169954
,embassy,South Africa,Pretoria,,,https://www.chadembassy.co.za,http://www.wikidata.org/entity/Q106650874
,embassy,Switzerland,Geneva,,,http://www.ambassade-mission-tchad.ch,http://www.wikidata.org/entity/Q101019292
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q109327410
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369604
