email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Algeria,Hydra,,,https://chile.gob.cl/argelia/,http://www.wikidata.org/entity/Q110302846
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q21059671
,embassy,Australia,Canberra,,,https://chile.gob.cl/australia,http://www.wikidata.org/entity/Q106453537
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104630142
,embassy,Azerbaijan,Baku,,,https://chile.gob.cl/chile/azerbaiyan/,http://www.wikidata.org/entity/Q110303068
,embassy,Belgium,Etterbeek,,,,http://www.wikidata.org/entity/Q68668613
,embassy,Brazil,Brasília,,,https://chile.gob.cl/brasil/,http://www.wikidata.org/entity/Q105688703
,embassy,Canada,Ottawa,,,https://chile.gob.cl/canada,http://www.wikidata.org/entity/Q5369605
,embassy,Colombia,Bogotá,,,https://chile.gob.cl/colombia/,http://www.wikidata.org/entity/Q110305038
,embassy,Costa Rica,San José,,,https://chile.gob.cl/costa-rica/,http://www.wikidata.org/entity/Q110313072
,embassy,Croatia,Zagreb,,,https://chile.gob.cl/croacia,http://www.wikidata.org/entity/Q107410933
,embassy,Cuba,Havana,,,https://chile.gob.cl/cuba,http://www.wikidata.org/entity/Q110313128
,embassy,Czech Republic,Prague,,,https://chile.gob.cl/republica-checa/,http://www.wikidata.org/entity/Q107115732
,embassy,Dominican Republic,Santo Domingo,,,https://chile.gob.cl/republica-dominicana,http://www.wikidata.org/entity/Q110402771
,embassy,Ecuador,Quito,,,https://chile.gob.cl/ecuador,http://www.wikidata.org/entity/Q110314637
hisham.eldib@eldib.com.eg,honorary consulate,Egypt,,,+20 3 495 0000,,http://www.wikidata.org/entity/Q115136266
,embassy,Egypt,Cairo,,,https://chile.gob.cl/egipto,http://www.wikidata.org/entity/Q110314835
,embassy,El Salvador,San Salvador,,,https://chile.gob.cl/el-salvador/,http://www.wikidata.org/entity/Q110304863
,embassy,Ethiopia,Addis Ababa,,,https://chile.gob.cl/etiopia,http://www.wikidata.org/entity/Q110388287
,embassy,Finland,Helsinki,,,https://chile.gob.cl/finlandia,http://www.wikidata.org/entity/Q106167677
,embassy,France,,,,https://chile.gob.cl/francia,http://www.wikidata.org/entity/Q20669715
,embassy,Germany,Mitte,,,https://chile.gob.cl/alemania/,http://www.wikidata.org/entity/Q21041981
,embassy,Ghana,Accra,,,https://chile.gob.cl/ghana/,http://www.wikidata.org/entity/Q110389886
,embassy,Greece,Athens,,,https://chile.gob.cl/grecia/,http://www.wikidata.org/entity/Q108862486
,embassy,Guatemala,Guatemala City,,,https://chile.gob.cl/guatemala,http://www.wikidata.org/entity/Q110389916
,embassy,Guyana,Georgetown,,,https://chile.gob.cl/guyana/,http://www.wikidata.org/entity/Q110243327
,embassy,Haiti,Port-au-Prince,,,https://chile.gob.cl/haiti,http://www.wikidata.org/entity/Q110390688
,embassy,Honduras,Tegucigalpa,,,https://chile.gob.cl/honduras,http://www.wikidata.org/entity/Q110390923
,embassy,Hungary,Budapest,,,https://chile.gob.cl/hungria,http://www.wikidata.org/entity/Q108028303
,embassy,India,New Delhi,,,https://chile.gob.cl/india/,http://www.wikidata.org/entity/Q110303236
,embassy,Indonesia,Jakarta,,,https://chile.gob.cl/indonesia,http://www.wikidata.org/entity/Q107560121
,embassy,Iran,Tehran,,,https://chile.gob.cl/iran/,http://www.wikidata.org/entity/Q110391023
,embassy,Ireland,Dublin,,,https://chile.gob.cl/irlanda/,http://www.wikidata.org/entity/Q104762972
,embassy,Israel,Tel Aviv,,,https://chile.gob.cl/israel,http://www.wikidata.org/entity/Q110391060
,embassy,Italy,Rome,,,https://chile.gob.cl/santa-sede/,http://www.wikidata.org/entity/Q56326418
,embassy,Italy,Rome,,,https://chile.gob.cl/italia/,http://www.wikidata.org/entity/Q103272398
,embassy,Jamaica,Kingston,,,https://chile.gob.cl/jamaica/,http://www.wikidata.org/entity/Q110302612
,embassy,Japan,Minato,,,https://chile.gob.cl/japon/,http://www.wikidata.org/entity/Q56151305
amman@consulado.gob.cl,embassy,Jordan,Amman,,+962-6-592-3360,https://chile.gob.cl/jordania/,http://www.wikidata.org/entity/Q80118826
,embassy,Kenya,Nairobi,,,https://chile.gob.cl/kenya,http://www.wikidata.org/entity/Q110391214
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://chile.gob.cl/dinamarca/,http://www.wikidata.org/entity/Q105980356
,embassy,Lebanon,Beirut,,,https://chile.gob.cl/libano,http://www.wikidata.org/entity/Q110386678
,embassy,Malaysia,Kuala Lumpur,,,https://chile.gob.cl/malasia/,http://www.wikidata.org/entity/Q110304887
,embassy,Mexico,Mexico City,,,https://chile.gob.cl/mexico,http://www.wikidata.org/entity/Q110391428
,embassy,Morocco,Rabat,,,https://chile.gob.cl/marruecos,http://www.wikidata.org/entity/Q110391307
,embassy,Netherlands,The Hague,,,https://chile.gob.cl/paises-bajos,http://www.wikidata.org/entity/Q100534814
,embassy,New Zealand,Wellington,,,https://chile.gob.cl/nueva-zelandia,http://www.wikidata.org/entity/Q110388651
,embassy,Nicaragua,Managua,,,https://chile.gob.cl/nicaragua,http://www.wikidata.org/entity/Q110391556
,embassy,Norway,Oslo Municipality,,,http://chileabroad.gov.cl/oslo/,http://www.wikidata.org/entity/Q19372278
,embassy,Panama,Panama City,,,https://chile.gob.cl/panama,http://www.wikidata.org/entity/Q110400957
