email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Algeria,Hydra,,,https://argelia.embajada.gov.co/,http://www.wikidata.org/entity/Q110821558
,embassy,Argentina,,,,https://argentina.embajada.gov.co/,http://www.wikidata.org/entity/Q5369617
,embassy,Australia,Canberra,,,http://australia.embajada.gov.co/,http://www.wikidata.org/entity/Q106454427
,embassy,Austria,,,,http://austria.embajada.gov.co/,http://www.wikidata.org/entity/Q5369655
,embassy,Azerbaijan,Baku,,,http://azerbaiyan.embajada.gov.co/,http://www.wikidata.org/entity/Q103561353
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69313292
,embassy,Bolivia,La Paz,,,https://bolivia.embajada.gov.co,http://www.wikidata.org/entity/Q110576984
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q5369615
,embassy,Canada,Ottawa,,,http://canada.embajada.gov.co/,http://www.wikidata.org/entity/Q5369637
,embassy,Chile,Las Condes,,,https://chile.embajada.gov.co/,http://www.wikidata.org/entity/Q5369647
,embassy,Costa Rica,San José,,,https://costarica.embajada.gov.co,http://www.wikidata.org/entity/Q110822357
,embassy,Cuba,Havana,,,https://cuba.embajada.gov.co,http://www.wikidata.org/entity/Q110822388
,embassy,Dominican Republic,Santo Domingo,,,https://republicadominicana.embajada.gov.co,http://www.wikidata.org/entity/Q110829714
,embassy,Ecuador,Quito,,,https://ecuador.embajada.gov.co/,http://www.wikidata.org/entity/Q5369643
,embassy,Egypt,Cairo,,,https://egipto.embajada.gov.co,http://www.wikidata.org/entity/Q110822400
,embassy,El Salvador,San Salvador,,,https://elsalvador.embajada.gov.co,http://www.wikidata.org/entity/Q5369645
,embassy,Finland,Helsinki,,,http://finlandia.embajada.gov.co/,http://www.wikidata.org/entity/Q103552161
,embassy,France,,,,https://francia.embajada.gov.co/,http://www.wikidata.org/entity/Q5369639
,consulate general,France,Paris,,,http://www.consulatcolombie.com,http://www.wikidata.org/entity/Q16507557
,embassy,Germany,Mitte,,,https://alemania.embajada.gov.co/,http://www.wikidata.org/entity/Q5369613
,embassy,Ghana,Accra,,,https://ghana.embajada.gov.co,http://www.wikidata.org/entity/Q110822477
