email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q110271018
,embassy,Australia,Canberra,,,,http://www.wikidata.org/entity/Q106456796
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104630177
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69390033
,embassy,Bolivia,La Paz,,,,http://www.wikidata.org/entity/Q110583604
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105691451
,embassy,Canada,Ottawa,,,https://costaricaembassy.com,http://www.wikidata.org/entity/Q106771920
,embassy,Chile,Las Condes,,,https://costarica.cl/,http://www.wikidata.org/entity/Q110414940
,embassy,Colombia,Bogotá,,,,http://www.wikidata.org/entity/Q110846363
embcr-cu@rree.go.cr,embassy,Cuba,Havana,,+537 204-0991,,http://www.wikidata.org/entity/Q111079913
,embassy,Dominican Republic,Santo Domingo,,,,http://www.wikidata.org/entity/Q111083487
embcr-ec@rree.go.cr,embassy,Ecuador,Quito,,+593-2-2247219,,http://www.wikidata.org/entity/Q107465145
,embassy,El Salvador,San Salvador,,,,http://www.wikidata.org/entity/Q111079966
,embassy,France,7th arrondissement of Paris,,,,http://www.wikidata.org/entity/Q20127464
,embassy,Germany,Berlin,,,http://www.botschaft-costarica.de,http://www.wikidata.org/entity/Q73154196
,embassy,Guatemala,Guatemala City,,,,http://www.wikidata.org/entity/Q111080555
,embassy,Honduras,Tegucigalpa,,,,http://www.wikidata.org/entity/Q111080796
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q111080901
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107567474
,embassy,Israel,Ramat Gan,,,,http://www.wikidata.org/entity/Q111081585
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q56337794
,embassy,Italy,Rome,,,http://www.embajadacostaricaitalia.it,http://www.wikidata.org/entity/Q103813467
,embassy,Jamaica,Kingston,,,,http://www.wikidata.org/entity/Q111081639
embcr-jp@rree.go.cr,embassy,Japan,Minato,,+81-3-6434-0426,,http://www.wikidata.org/entity/Q61911621
,embassy,Kenya,Nairobi,,,,http://www.wikidata.org/entity/Q111081705
,embassy,Mexico,Mexico City,,,http://embajadadecostarica.com.mx/,http://www.wikidata.org/entity/Q111081789
,embassy,Netherlands,The Hague,,,https://www.embacr.nl/,http://www.wikidata.org/entity/Q100568896
,embassy,Nicaragua,Managua,,,,http://www.wikidata.org/entity/Q111081922
,embassy,Panama,Panama City,,,https://www.embajadacostaricaenpanama.com,http://www.wikidata.org/entity/Q111083117
,embassy,Paraguay,Asunción,,,,http://www.wikidata.org/entity/Q110539761
,embassy,People's Republic of China,Beijing,,,http://www.emb-costarica.cn/,http://www.wikidata.org/entity/Q111057613
,embassy,Peru,San Isidro,,,http://www.embajadacostaricaenperu.org/,http://www.wikidata.org/entity/Q110659086
,embassy,Qatar,Doha,,,,http://www.wikidata.org/entity/Q111080741
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q110111733
,embassy,Singapore,Singapore,,,https://www.embassycrsg.com,http://www.wikidata.org/entity/Q111083503
,embassy,South Korea,Seoul,,,,http://www.wikidata.org/entity/Q111062584
,embassy,Spain,Madrid,,,http://www.embajadacostarica.es/,http://www.wikidata.org/entity/Q105204208
costa.rica@bluewin.ch,embassy,Switzerland,Bern,,+41-31-372-78-87,,http://www.wikidata.org/entity/Q24944164
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q110969621
,embassy,United Arab Emirates,Abu Dhabi,,,http://embcr-uae.org,http://www.wikidata.org/entity/Q111080604
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16972984
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369658
,embassy,Uruguay,Montevideo,,,,http://www.wikidata.org/entity/Q110491703
