email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Angola,Luanda,,,http://misiones.minrex.gob.cu/es/angola,http://www.wikidata.org/entity/Q106030092
,embassy,Argentina,Buenos Aires,,,http://misiones.minrex.gob.cu/argentina,http://www.wikidata.org/entity/Q110271646
,embassy,Australia,Canberra,,,http://misiones.minrex.gob.cu/australia,http://www.wikidata.org/entity/Q106457453
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104638930
,embassy,Belarus,Minsk,,,,http://www.wikidata.org/entity/Q33117298
,embassy,Belgium,Forest,,,,http://www.wikidata.org/entity/Q69390454
,embassy,Belize,Belmopan,,,https://misiones.minrex.gob.cu/es/belice,http://www.wikidata.org/entity/Q111132217
,embassy,Bolivia,La Paz,,,http://www.cubadiplomatica.cu/bolivia,http://www.wikidata.org/entity/Q110583704
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105693732
,embassy,Bulgaria,Stolichna Municipality,,,http://misiones.minrex.gob.cu/bulgaria,http://www.wikidata.org/entity/Q108982694
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q5369662
,embassy,Chile,Providencia,,,http://www.cubadiplomatica.cu/es/chile,http://www.wikidata.org/entity/Q110415366
,embassy,Colombia,Bogotá,,,http://misiones.minrex.gob.cu/es/colombia,http://www.wikidata.org/entity/Q110846418
,embassy,Costa Rica,San José,,,https://misiones.minrex.gob.cu/es/costa-rica,http://www.wikidata.org/entity/Q111079881
,embassy,Cyprus,Strovolos,,,http://misiones.minrex.gob.cu/es/chipre,http://www.wikidata.org/entity/Q109717731
,embassy,Czech Republic,Prague,,,http://misiones.minrex.gob.cu/es/republica-checa/embajada-de-cuba-en-republica-checa,http://www.wikidata.org/entity/Q107124100
,embassy,Ecuador,Quito,,,http://www.cubadiplomatica.cu/ecuador,http://www.wikidata.org/entity/Q110739742
,embassy,Finland,Helsinki,,,http://misiones.minrex.gob.cu/finlandia,http://www.wikidata.org/entity/Q106205698
,embassy,France,,,,http://misiones.cubaminrex.cu/fr/france/ambassade-de-cuba-en-france,http://www.wikidata.org/entity/Q2841604
,embassy,Germany,Berlin,,,http://www.cubadiplomatica.cu/alemania/EN/Home.aspx,http://www.wikidata.org/entity/Q21042005
,embassy,Greece,Filothei-Psychiko Municipality,,,http://misiones.minrex.gob.cu/es/grecia/embajada-de-cuba-en-grecia,http://www.wikidata.org/entity/Q109659438
,embassy,Guinea,Kaloum,,,https://misiones.cubaminrex.cu/es/guinea-conakry,http://www.wikidata.org/entity/Q109180027
,embassy,Hungary,Budapest District XII,,+36-1-438-5950,,http://www.wikidata.org/entity/Q66420649
,embassy,India,New Delhi,,,http://misiones.cubaminrex.cu/es/india,http://www.wikidata.org/entity/Q112112695
,embassy,Indonesia,Jakarta,,,http://www.cubadiplomatica.cu/en/indonesia/embassy-cuba-indonesia,http://www.wikidata.org/entity/Q107567604
,embassy,Ireland,Dublin,,,http://misiones.minrex.gob.cu/es/irlanda/embajada-de-cuba-en-irlanda,http://www.wikidata.org/entity/Q104764066
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q65168021
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103813646
,embassy,Japan,Minato,,,http://misiones.minrex.gob.cu/ja/ri-ben/zhu-ri-kiyu-bagong-he-guo-da-shi-guan,http://www.wikidata.org/entity/Q61925879
