email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Afghanistan,Kabul,,,https://www.mzv.cz/kabul,http://www.wikidata.org/entity/Q107028839
,embassy,Albania,Tirana,,,https://www.mzv.cz/tirana,http://www.wikidata.org/entity/Q107029337
,embassy,Algeria,Algiers,,,https://www.mzv.cz/algiers,http://www.wikidata.org/entity/Q107029422
,embassy,Argentina,Buenos Aires,,,https://www.mzv.cz/buenosaires,http://www.wikidata.org/entity/Q107029871
,embassy,Armenia,Yerevan,,,https://www.mzv.cz/yerevan,http://www.wikidata.org/entity/Q31194204
,embassy,Australia,Canberra,,,https://www.mzv.cz/canberra,http://www.wikidata.org/entity/Q106457574
,embassy,Austria,Vienna,,,https://www.mzv.cz/vienna,http://www.wikidata.org/entity/Q54168990
,embassy,Azerbaijan,Baku,,,https://www.mzv.cz/baku,http://www.wikidata.org/entity/Q107030058
,embassy,Belarus,Minsk,,,https://www.mzv.cz/minsk,http://www.wikidata.org/entity/Q33113431
,embassy,Belgium,Ixelles - Elsene,,,https://www.mzv.cz/brussels,http://www.wikidata.org/entity/Q67204994
,embassy,Bosnia and Herzegovina,Sarajevo,,,https://www.mzv.cz/sarajevo/cz/index.html,http://www.wikidata.org/entity/Q93500120
,embassy,Brazil,Brasília,,,https://www.mzv.cz/brasilia,http://www.wikidata.org/entity/Q105716528
,embassy,Bulgaria,Stolichna Municipality,,,https://www.mzv.cz/sofia,http://www.wikidata.org/entity/Q41588706
,embassy,Canada,Ottawa,,,https://www.mzv.cz/ottawa,http://www.wikidata.org/entity/Q5369927
,embassy,Chile,Las Condes,,,https://www.mzv.cz/santiago,http://www.wikidata.org/entity/Q107033705
,embassy,Colombia,Bogotá,,,https://www.mzv.cz/bogota,http://www.wikidata.org/entity/Q107030760
,embassy,Croatia,Zagreb,,,https://www.mzv.cz/zagreb,http://www.wikidata.org/entity/Q107036117
,embassy,Cuba,Havana,,,https://www.mzv.cz/havana,http://www.wikidata.org/entity/Q107030513
,embassy,Egypt,Giza,,,https://www.mzv.cz/cairo,http://www.wikidata.org/entity/Q107051207
