email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69419776
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q105694721
okar2001@hotmail.com,embassy,Egypt,,,+20 2 3336 6436,,http://www.wikidata.org/entity/Q115111299
,embassy,France,Paris,,,,http://www.wikidata.org/entity/Q2841608
,embassy,Germany,Berlin,,,https://www.dschibuti-botschaft.de/,http://www.wikidata.org/entity/Q60854872
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112112860
,embassy,Japan,Tokyo,,,http://djiboutiembassy.jp/,http://www.wikidata.org/entity/Q55342231
,embassy,Kenya,Nairobi,,,http://www.ken-djiboutiembassy.com/,http://www.wikidata.org/entity/Q106673165
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q79077353
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q106191815
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68169971
,embassy,Switzerland,Geneva,,,http://www.djibouti.ch,http://www.wikidata.org/entity/Q100959579
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q110970730
,embassy,United States of America,"Washington, D.C.",,,https://www.djiboutiembassyus.org,http://www.wikidata.org/entity/Q106772048
