email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q110271691
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104630345
,embassy,Belgium,City of Brussels,,,http://dominicanembassy.be,http://www.wikidata.org/entity/Q60854871
,embassy,Brazil,Brasília,,,https://www.republicadominicana.org.br,http://www.wikidata.org/entity/Q105716466
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q106776708
,embassy,Chile,Vitacura,,,https://www.embajadadominicana.cl/,http://www.wikidata.org/entity/Q110484355
,embassy,Colombia,Bogotá,,,http://www.embajadardcolombia.gob.do/,http://www.wikidata.org/entity/Q110892061
,embassy,Costa Rica,San José,,,,http://www.wikidata.org/entity/Q111103095
,embassy,Ecuador,Quito,,,https://embajadadominicanaecuador.com/,http://www.wikidata.org/entity/Q110797347
,consulate general,France,Marseille,,,http://www.consuladordmarsella.com,http://www.wikidata.org/entity/Q16543720
,embassy,France,Paris,,,https://www.embajadadominicanaenfrancia.com/,http://www.wikidata.org/entity/Q20669704
,consulate general,France,Paris,,,,http://www.wikidata.org/entity/Q16507647
,consulate general,France,Pointe-à-Pitre,,,,http://www.wikidata.org/entity/Q16543724
,embassy,Germany,Berlin,,,http://www.dr-botschaft.de/,http://www.wikidata.org/entity/Q17149764
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q107567811
,embassy,Israel,Tel Aviv,,,,http://www.wikidata.org/entity/Q109717765
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q86675199
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103905813
,consulate general,Japan,Minato,,,https://jpn.mirex.gob.do/consular/tokio/,http://www.wikidata.org/entity/Q117662372
,embassy,Japan,Tokyo,,,https://embadomjp.gob.do,http://www.wikidata.org/entity/Q61911649
,embassy,Mexico,Mexico City,,,http://embadom.org,http://www.wikidata.org/entity/Q111698635
,embassy,Netherlands,The Hague,,,http://www.embajadadominicana.nl,http://www.wikidata.org/entity/Q100700735
,embassy,Panama,Panama City,,,,http://www.wikidata.org/entity/Q111109470
,embassy,Paraguay,Asunción,,,,http://www.wikidata.org/entity/Q110540229
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q119142513
,embassy,Peru,San Isidro,,,https://republicadominicana.pe,http://www.wikidata.org/entity/Q110728970
,embassy,Portugal,Lisbon,,,http://www.embajadadominicana.pt,http://www.wikidata.org/entity/Q105414927
,embassy,Russia,Moscow,,,http://embajadadom.ru,http://www.wikidata.org/entity/Q110114042
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106673257
,embassy,Spain,Madrid,,,https://www.embajadadominicana.es,http://www.wikidata.org/entity/Q105338138
,embassy,Sweden,Stockholm,,,,http://www.wikidata.org/entity/Q18288535
info@embajadadominicana.ch,embassy,Switzerland,Bern,,+41-31-351-15-85,,http://www.wikidata.org/entity/Q26979974
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16956542
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369929
,embassy,Uruguay,Montevideo,,,,http://www.wikidata.org/entity/Q110493804
