email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Australia,Canberra,,,,http://www.wikidata.org/entity/Q106511239
,embassy,Belgium,Etterbeek,,,http://www.timor-leste.be/,http://www.wikidata.org/entity/Q60861245
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105725590
,consulate general,Indonesia,Denpasar,,,,http://www.wikidata.org/entity/Q25388845
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107637578
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q56326521
,embassy,Japan,Tokyo,,,,http://www.wikidata.org/entity/Q52215240
,embassy,New Zealand,Wellington,,,,http://www.wikidata.org/entity/Q111899107
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q119212097
,embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q105344740
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106715269
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q101069836
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16941218
,embassy,United States of America,"Washington, D.C.",,,http://www.timorlesteembassy.org,http://www.wikidata.org/entity/Q5369890
