email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Uccle - Ukkel,,,https://embajada-guinea-ecuatorial.com/,http://www.wikidata.org/entity/Q69520107
,embassy,Brazil,Brasília,,,http://gequatorial.org.br,http://www.wikidata.org/entity/Q105672986
,embassy,Egypt,Giza,,,,http://www.wikidata.org/entity/Q111610126
,embassy,France,Paris,,,,http://www.wikidata.org/entity/Q16303660
,embassy,Germany,Berlin,,,http://www.guinea-ecuatorial.de/,http://www.wikidata.org/entity/Q60855264
,embassy,Guinea,,,,,http://www.wikidata.org/entity/Q111207241
,embassy,India,New Delhi,,,https://egembassyindia.com,http://www.wikidata.org/entity/Q112118211
,embassy,Israel,Herzliya,,,,http://www.wikidata.org/entity/Q112036217
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q65166814
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103831559
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100275124
,embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q105443341
embajada1968@mail.ru,embassy,Russia,Moscow,,+7-495-953-35-63,https://www.mid.ru/en/maps/gq/?currentpage=main-country,http://www.wikidata.org/entity/Q4374088
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106673538
,embassy,Spain,Madrid,,,https://www.embajadadeguineaecuatorialenespaña.com/,http://www.wikidata.org/entity/Q105242368
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q100983790
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q109289268
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16835141
,consulate general,United States of America,Texas,,,,http://www.wikidata.org/entity/Q5164548
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369675
,embassy,Venezuela,Municipio Chacao,,,https://embajada-guineaecuatorial.com.ve,http://www.wikidata.org/entity/Q110749011
