email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Uccle - Ukkel,,,,http://www.wikidata.org/entity/Q69424491
eritembacai@yahoo.com,embassy,Egypt,,,+20 2 3344 7093,https://erembassy.com/ti/,http://www.wikidata.org/entity/Q115111611
,embassy,France,Paris,,,,http://www.wikidata.org/entity/Q16303648
,embassy,Germany,Pankow,,,http://botschaft-eritrea.de/,http://www.wikidata.org/entity/Q16735620
,embassy,India,New Delhi,,,http://eritreaembindia.com,http://www.wikidata.org/entity/Q107568140
,embassy,Israel,Tel Aviv,,,,http://www.wikidata.org/entity/Q112043113
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103813861
,embassy,Japan,Minato,,,http://www.eritreaembassy-japan.org/,http://www.wikidata.org/entity/Q52097223
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100557412
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q106462781
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374089
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68169976
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106673612
,embassy,South Sudan,,,,,http://www.wikidata.org/entity/Q16083273
,embassy,Sweden,Lidingö Municipality,,,http://eritrean-embassy.se/,http://www.wikidata.org/entity/Q19977662
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q100982845
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16974710
,embassy,United States of America,"Washington, D.C.",,,http://www.embassyeritrea.org,http://www.wikidata.org/entity/Q5369677
