email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Australia,Canberra,,,http://www.ethiopianembassy.net/,http://www.wikidata.org/entity/Q106463027
,embassy,Belgium,Etterbeek,,,,http://www.wikidata.org/entity/Q69427129
,embassy,Brazil,Brasília,,,https://www.ethiopianembassy.org.br,http://www.wikidata.org/entity/Q105695330
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q5369680
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q110748744
,embassy,France,,,,https://www.ambassade-ethiopie.fr/,http://www.wikidata.org/entity/Q16303650
,honorary consulate,France,1st arrondissement of Lyon,,,,http://www.wikidata.org/entity/Q97011134
,embassy,Germany,Steglitz-Zehlendorf,,,http://www.berlin.mfa.gov.et/,http://www.wikidata.org/entity/Q33061055
,embassy,Guinea,,,,,http://www.wikidata.org/entity/Q125551362
,embassy,India,New Delhi,,,http://www.ethiopianembassy.org.in,http://www.wikidata.org/entity/Q112118227
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107568180
,embassy,Ireland,Dublin,,,http://www.ethiopianembassy.ie/,http://www.wikidata.org/entity/Q104767546
,embassy,Ireland,Dublin,,,,http://www.wikidata.org/entity/Q127797680
,embassy,Israel,Tel Aviv,,,,http://www.wikidata.org/entity/Q112043108
,embassy,Italy,Rome,,,http://www.ethiopianembassy.it/,http://www.wikidata.org/entity/Q103814697
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q112899720
,embassy,Japan,,,,,http://www.wikidata.org/entity/Q11668250
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100534070
,embassy,People's Republic of China,Beijing,,008601065325258,,http://www.wikidata.org/entity/Q119081918
,consulate general,People's Republic of China,Guangzhou,,,,http://www.wikidata.org/entity/Q119312896
,honorary consulate,People's Republic of China,Hong Kong,,,,http://www.wikidata.org/entity/Q28408736
,consulate general,People's Republic of China,Yuzhong District,,,,http://www.wikidata.org/entity/Q119153845
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374096
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68169978
,embassy,South Africa,Pretoria,,,http://www.pretoria.mfa.gov.et,http://www.wikidata.org/entity/Q106673643
,embassy,South Sudan,,,,,http://www.wikidata.org/entity/Q16083359
jpf@cwicf.com,honorary consulate,Spain,L'Antiga Esquerra de l'Eixample,,+34932413141,,http://www.wikidata.org/entity/Q108741339
,honorary consulate,Spain,Madrid,,,http://conshonetiopia-madrid.org/,http://www.wikidata.org/entity/Q111150132
,embassy,Sweden,Stockholm Municipality,,,http://ethemb.se/,http://www.wikidata.org/entity/Q60968598
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q100982919
,embassy,Turkey,Ankara,,,http://www.ankara.mfa.gov.et,http://www.wikidata.org/entity/Q109038540
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16974718
,embassy,United States of America,"Washington, D.C.",,,http://www.ethiopianembassy.org/,http://www.wikidata.org/entity/Q5369681
