email,mission_type,host_country,city,address,phone,website,wikidata_qid
,representation office of the European Commission,Austria,Vienna,,,https://austria.representation.ec.europa.eu/index_de,http://www.wikidata.org/entity/Q108268053
,representation office of the European Commission,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q122287345
,representation office of the European Commission,Bulgaria,Sofia,,,,http://www.wikidata.org/entity/Q12291351
,representation office of the European Commission,Denmark,Copenhagen Municipality,,,http://ec.europa.eu/denmark/,http://www.wikidata.org/entity/Q12310712
,representation office of the European Commission,Estonia,Estonia,,,,http://www.wikidata.org/entity/Q16408771
,representation office of the European Commission,France,7th arrondissement of Paris,,,https://france.representation.ec.europa.eu/index_fr,http://www.wikidata.org/entity/Q115857257
,representation office of the European Commission,France,Paris,,,https://france.representation.ec.europa.eu/index_fr,http://www.wikidata.org/entity/Q3427410
,representation office of the European Commission,Germany,Berlin,,,,http://www.wikidata.org/entity/Q2519108
,representation office of the European Commission,Germany,Bonn,,,,http://www.wikidata.org/entity/Q20824136
,representation office of the European Commission,Ireland,Ireland,,,,http://www.wikidata.org/entity/Q5412402
,representation office of the European Commission,Poland,Wrocław,,,https://poland.representation.ec.europa.eu/index_en,http://www.wikidata.org/entity/Q24943570
,representation office of the European Commission,Poland,Śródmieście,,,http://ec.europa.eu/polska/index_pl.htm,http://www.wikidata.org/entity/Q11828399
,representation office of the European Commission,Slovakia,Bratislava,,,,http://www.wikidata.org/entity/Q47514052
,representation office of the European Commission,Spain,,,,,http://www.wikidata.org/entity/Q6105918
