email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Uccle - Ukkel,,,,http://www.wikidata.org/entity/Q69509929
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105702241
,embassy,Canada,Ottawa,,,https://ambassadegabon.ca/,http://www.wikidata.org/entity/Q106775777
ambaga.egypte@diplomatie.gouv.ga,embassy,Egypt,,,+20 2 3304 3973,,http://www.wikidata.org/entity/Q115136176
,embassy,France,,,,https://amba-france.ga,http://www.wikidata.org/entity/Q16303688
,embassy,Germany,Berlin,,,http://www.botschaft-gabun.de/,http://www.wikidata.org/entity/Q16879052
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112134575
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q86668881
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103822082
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q112877693
,embassy,Japan,Meguro-ku,,,,http://www.wikidata.org/entity/Q61877234
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4373984
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68169984
,embassy,South Africa,Pretoria,,,http://affaires-etrangeres.gouv.ga/ambassade/south_africa/,http://www.wikidata.org/entity/Q106673642
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105235091
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q110972214
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16835146
,embassy,United States of America,"Washington, D.C.",,,http://www.gabonembassyusa.org/,http://www.wikidata.org/entity/Q5369689
