email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Afghanistan,Kabul District,,+93-20-210-1512,https://afghanistan.diplo.de/,http://www.wikidata.org/entity/Q58205703
,embassy,Albania,Tirana,,,https://tirana.diplo.de/,http://www.wikidata.org/entity/Q15109295
,embassy,Algeria,Algiers Province,,,https://algier.diplo.de,http://www.wikidata.org/entity/Q58212405
,embassy,Angola,Luanda,,,http://www.luanda.diplo.de/,http://www.wikidata.org/entity/Q21042235
,embassy,Argentina,Buenos Aires,,+54-11-4778-2500,,http://www.wikidata.org/entity/Q58270639
,embassy,Armenia,Kentron District,,,https://eriwan.diplo.de,http://www.wikidata.org/entity/Q31193882
,embassy,Australia,Canberra,,,https://australien.diplo.de/,http://www.wikidata.org/entity/Q5369695
perth@hk-diplo.de,honorary consulate,Australia,City of Nedlands,,+61 8 6319 2870,https://australien.diplo.de/au-en/service/consulate-finder,http://www.wikidata.org/entity/Q117742314
info@wien.diplo.de,embassy,Austria,Vienna,,+43-1-711540,https://www.wien.diplo.de/,http://www.wikidata.org/entity/Q1202238
,embassy,Azerbaijan,Baku,,,,http://www.wikidata.org/entity/Q16415875
,embassy,Bahrain,Capital Governorate,,,,http://www.wikidata.org/entity/Q58282782
,embassy,Bangladesh,Dhaka District,,,http://www.dhaka.diplo.de/,http://www.wikidata.org/entity/Q24948072
,embassy,Belarus,Partyzanski District,,,,http://www.wikidata.org/entity/Q33113461
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q58294115
,embassy,Benin,Cotonou,,,,http://www.wikidata.org/entity/Q58288867
,embassy,Bolivia,La Paz,,,https://la-paz.diplo.de,http://www.wikidata.org/entity/Q58488069
,embassy,Bosnia and Herzegovina,Sarajevo,,,https://sarajewo.diplo.de/,http://www.wikidata.org/entity/Q58488501
,embassy,Botswana,South-East District,,,,http://www.wikidata.org/entity/Q58490877
,embassy,Brazil,Brasília,,,http://www.brasilia.diplo.de/,http://www.wikidata.org/entity/Q5369693
,embassy,Brunei,Bandar Seri Begawan,,,https://bandar-seri-begawan.diplo.de,http://www.wikidata.org/entity/Q58491304
,embassy,Bulgaria,Sofia,,,https://sofia.diplo.de,http://www.wikidata.org/entity/Q58491509
,embassy,Burkina Faso,Ouagadougou Department,,,,http://www.wikidata.org/entity/Q58492031
,embassy,Burundi,Bujumbura,,,https://bujumbura.diplo.de,http://www.wikidata.org/entity/Q58492167
,embassy,Cambodia,Phnom Penh,,,https://phnom-penh.diplo.de/,http://www.wikidata.org/entity/Q58731951
,embassy,Cameroon,Centre,,,https://jaunde.diplo.de,http://www.wikidata.org/entity/Q58737314
,embassy,Canada,Ottawa,,,http://www.ottawa.diplo.de/,http://www.wikidata.org/entity/Q5369697
,embassy,Chad,N'Djamena,,,,http://www.wikidata.org/entity/Q59273683
,embassy,Chile,Vitacura,,,https://santiago.diplo.de/,http://www.wikidata.org/entity/Q58492288
,embassy,Colombia,Bogotá,,,https://bogota.diplo.de,http://www.wikidata.org/entity/Q58869927
,embassy,Costa Rica,San José,,,https://san-jose.diplo.de,http://www.wikidata.org/entity/Q58492492
,embassy,Croatia,Zagreb,,,https://zagreb.diplo.de,http://www.wikidata.org/entity/Q58876415
,embassy,Cuba,Plaza de la Libertad,,,https://havanna.diplo.de/,http://www.wikidata.org/entity/Q58888269
,embassy,Cyprus,Nicosia District,,,https://nikosia.diplo.de,http://www.wikidata.org/entity/Q31887327
,embassy,Czech Republic,Prague,,,https://prag.diplo.de/,http://www.wikidata.org/entity/Q834465
,embassy,Democratic Republic of the Congo,Gombe,,,https://kinshasa.diplo.de,http://www.wikidata.org/entity/Q58873669
,embassy,Djibouti,Djibouti,,,https://djibouti.diplo.de/,http://www.wikidata.org/entity/Q58577956
,embassy,Dominican Republic,Santo Domingo,,,https://santo-domingo.diplo.de,http://www.wikidata.org/entity/Q58563562
,embassy,Ecuador,Quito,,,https://quito.diplo.de,http://www.wikidata.org/entity/Q58581912
alexandria@hk-diplo.de,honorary consulate,Egypt,Alexandria Governorate,,+20 3 487 01 00,,http://www.wikidata.org/entity/Q111528797
info@kairo.diplo.de,embassy,Egypt,Cairo Governorate,,+20-2-27282000,https://kairo.diplo.de/eg-de,http://www.wikidata.org/entity/Q58207668
,embassy,El Salvador,San Salvador,,,,http://www.wikidata.org/entity/Q58588651
,embassy,Equatorial Guinea,Malabo,,,https://malabo.diplo.de/,http://www.wikidata.org/entity/Q58268489
,embassy,Eritrea,Asmara,,,https://asmara.diplo.de/,http://www.wikidata.org/entity/Q58605907
,embassy,Estonia,Tallinn City,,,https://tallinn.diplo.de/,http://www.wikidata.org/entity/Q42313748
,embassy,Ethiopia,Addis Ababa,,,https://addis-abeba.diplo.de,http://www.wikidata.org/entity/Q58278700
,embassy,Fiji,Suva,,,,http://www.wikidata.org/entity/Q121437207
,embassy,Finland,Helsinki,,,,http://www.wikidata.org/entity/Q25451942
,embassy,France,,,,https://allemagneenfrance.diplo.de/fr-fr/missions-allemandes/botschaft-seite,http://www.wikidata.org/entity/Q15953187
,consulate general,France,2nd arrondissement of Marseille,,,http://www.marseille.diplo.de,http://www.wikidata.org/entity/Q16010664
,consulate general,France,6th arrondissement of Lyon,,,http://www.lyon.diplo.de,http://www.wikidata.org/entity/Q16507552
,consulate general,France,Bordeaux,,,http://www.bordeaux.diplo.de,http://www.wikidata.org/entity/Q16507553
,honorary consulate,France,Brest,,,,http://www.wikidata.org/entity/Q16041017
,embassy,France,Paris,,,,http://www.wikidata.org/entity/Q2841843
,honorary consulate,France,Rouen,,,,http://www.wikidata.org/entity/Q16010287
,consulate general,France,Strasbourg,,,http://www.strassburg.diplo.de,http://www.wikidata.org/entity/Q16010285
,embassy,Gabon,Libreville,,,https://libreville.diplo.de,http://www.wikidata.org/entity/Q58608207
,embassy,Georgia,Old Tbilisi,,,,http://www.wikidata.org/entity/Q58612807
,embassy,Ghana,Greater Accra Region,,,,http://www.wikidata.org/entity/Q58613729
,embassy,Greece,Athens,,,http://www.griechenland.diplo.de,http://www.wikidata.org/entity/Q14906554
,embassy,Guatemala,Guatemala City,,,,http://www.wikidata.org/entity/Q60315412
,embassy,Guinea,Kaloum,,,,http://www.wikidata.org/entity/Q58634729
,embassy,Haiti,Pétion-Ville,,,https://port-au-prince.diplo.de,http://www.wikidata.org/entity/Q58642922
,embassy,Honduras,Francisco Morazán Department,,,,http://www.wikidata.org/entity/Q58643251
,embassy,Hungary,Budapest,,,https://budapest.diplo.de/hu-de/,http://www.wikidata.org/entity/Q5369694
,embassy,Iceland,Reykjavík,,,https://reykjavik.diplo.de/,http://www.wikidata.org/entity/Q58652656
,consulate general,India,Bengaluru,,,https://india.diplo.de/in-en/vertretungen/generalkonsulat1,http://www.wikidata.org/entity/Q5164561
,consulate general,India,Chennai,,,https://india.diplo.de/in-en/vertretungen/generalkonsulat2,http://www.wikidata.org/entity/Q5164562
,embassy,India,New Delhi,,,https://india.diplo.de,http://www.wikidata.org/entity/Q58206068
info@jakarta.diplo.de,embassy,Indonesia,Jakarta,,,https://jakarta.diplo.de,http://www.wikidata.org/entity/Q31886708
sanur@hk-diplo.de,consulate,Indonesia,Sanur,,+62-361-288826,,http://www.wikidata.org/entity/Q124472076
,embassy,Iran,District 12,,,http://www.teheran.diplo.de/Vertretung/teheran/fa/Startseite.html,http://www.wikidata.org/entity/Q20110427
,embassy,Iraq,Baghdad Governorate,,,,http://www.wikidata.org/entity/Q58644340
,embassy,Ireland,Dublin,,,https://dublin.diplo.de/,http://www.wikidata.org/entity/Q58647392
,embassy,Israel,Tel Aviv,,,https://tel-aviv.diplo.de,http://www.wikidata.org/entity/Q5369700
,honorary consulate,Italy,,,,,http://www.wikidata.org/entity/Q113651019
,embassy,Italy,Rome,,,https://heiliger-stuhl.diplo.de/va-de,http://www.wikidata.org/entity/Q1860153
,embassy,Italy,Rome,,,http://www.italien.diplo.de/,http://www.wikidata.org/entity/Q22226879
,embassy,Ivory Coast,Abidjan,,,https://abidjan.diplo.de,http://www.wikidata.org/entity/Q58603930
,embassy,Jamaica,Kingston Parish,,,https://kingston.diplo.de,http://www.wikidata.org/entity/Q58654954
,embassy,Japan,Minato,,,https://japan.diplo.de/,http://www.wikidata.org/entity/Q16061535
,consulate general,Japan,Osaka Prefecture,,,https://japan.diplo.de/ja-ja/vertretungen/gk,http://www.wikidata.org/entity/Q54556046
,embassy,Jordan,Amman,,,https://amman.diplo.de/jo-de,http://www.wikidata.org/entity/Q58699755
,embassy,Kazakhstan,Esil District,,,https://kasachstan.diplo.de,http://www.wikidata.org/entity/Q58751291
,embassy,Kenya,Nairobi,,,https://nairobi.diplo.de,http://www.wikidata.org/entity/Q58868647
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,,http://www.wikidata.org/entity/Q58494168
,embassy,Kuwait,Kuwait City,,,https://kuwait.diplo.de,http://www.wikidata.org/entity/Q58894562
,embassy,Kyrgyzstan,Bishkek,,,https://bischkek.diplo.de,http://www.wikidata.org/entity/Q58869045
,embassy,Laos,Sisattanak District,,,,http://www.wikidata.org/entity/Q58894963
,embassy,Latvia,Riga,,,https://riga.diplo.de/,http://www.wikidata.org/entity/Q1202233
,embassy,Lebanon,Matn District,,,,http://www.wikidata.org/entity/Q58895700
,embassy,Lesotho,,,,,http://www.wikidata.org/entity/Q117233570
,embassy,Liberia,Greater Monrovia District,,,http://www.monrovia.diplo.de/,http://www.wikidata.org/entity/Q1202234
,embassy,Lithuania,Vilnius,,,https://wilna.diplo.de,http://www.wikidata.org/entity/Q58898825
,embassy,Luxembourg,Luxembourg,,,https://luxemburg.diplo.de,http://www.wikidata.org/entity/Q58924865
,embassy,Madagascar,Antananarivo-Renivohitra District,,,,http://www.wikidata.org/entity/Q58925129
,embassy,Malawi,Lilongwe District,,,,http://www.wikidata.org/entity/Q58926855
,embassy,Malaysia,Bukit Bintang,,,,http://www.wikidata.org/entity/Q58944931
,embassy,Mali,Commune 5,,,,http://www.wikidata.org/entity/Q59100146
,embassy,Malta,Ta' Xbiex,,,https://valletta.diplo.de/,http://www.wikidata.org/entity/Q60300848
,embassy,Mauritania,Nouakchott,,+222-45-25-17-29,https://nouakchott.diplo.de/,http://www.wikidata.org/entity/Q60265424
goodlands@hk-diplo.de,honorary consulate,Mauritius,,,+230-283-7500,https://southafrica.diplo.de/sa-en/germanmissions/-hks/-/735980,http://www.wikidata.org/entity/Q80119090
,embassy,Mexico,Mexico City,,,https://mexiko.diplo.de,http://www.wikidata.org/entity/Q60263931
,embassy,Moldova,Chișinău,,,,http://www.wikidata.org/entity/Q5369696
,embassy,Mongolia,Ulaanbaatar,,+976-11-32-3325,http://www.ulan-bator.diplo.de/,http://www.wikidata.org/entity/Q33309283
,embassy,Montenegro,Podgorica Municipality,,,https://podgorica.diplo.de,http://www.wikidata.org/entity/Q60257621
,embassy,Morocco,Rabat,,,https://rabat.diplo.de,http://www.wikidata.org/entity/Q60298884
,embassy,Mozambique,KaMpfumo district,,,http://www.maputo.diplo.de/,http://www.wikidata.org/entity/Q20873909
,embassy,Myanmar,Bahan Township,,,,http://www.wikidata.org/entity/Q60247130
,embassy,Namibia,Khomas Region,,,https://windhuk.diplo.de/na-de,http://www.wikidata.org/entity/Q478156
,embassy,Nepal,Kathmandu,,,,http://www.wikidata.org/entity/Q60243033
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q60231056
,embassy,New Zealand,Wellington City,,,https://wellington.diplo.de,http://www.wikidata.org/entity/Q5369702
,embassy,Nicaragua,District I,,,https://managua.diplo.de/,http://www.wikidata.org/entity/Q60242456
info@niamey.diplo.de,embassy,Niger,Niamey,,+227-20-72-35-10,http://www.niamey.diplo.de/,http://www.wikidata.org/entity/Q28473843
,embassy,Nigeria,Abuja Municipal,,,https://nigeria.diplo.de,http://www.wikidata.org/entity/Q5369691
,embassy,North Korea,Taedonggang-guyok,,,https://pjoengjang.diplo.de/,http://www.wikidata.org/entity/Q1202236
,embassy,North Macedonia,Karpoš Municipality,,,,http://www.wikidata.org/entity/Q60260517
,embassy,Norway,Oslo Municipality,,,,http://www.wikidata.org/entity/Q19393656
,embassy,Oman,Muscat Governorate,,,,http://www.wikidata.org/entity/Q60228194
,embassy,Pakistan,Islamabad,,,,http://www.wikidata.org/entity/Q60168849
,de facto embassy,Palestine,,,,https://ramallah.diplo.de/,http://www.wikidata.org/entity/Q101093371
,embassy,Panama,Panama City,,,https://panama.diplo.de/,http://www.wikidata.org/entity/Q60168520
,embassy,Paraguay,Asunción,,,https://asuncion.diplo.de,http://www.wikidata.org/entity/Q60168294
,embassy,People's Republic of China,Beijing,,,https://china.diplo.de/,http://www.wikidata.org/entity/Q15916341
,consulate general,People's Republic of China,Chengdu,,,,http://www.wikidata.org/entity/Q19852561
,consulate general,People's Republic of China,Hong Kong,,+852-2105-8788,,http://www.wikidata.org/entity/Q19603937
,consulate general,People's Republic of China,Shanghai,,,http://www.shanghai.diplo.de/,http://www.wikidata.org/entity/Q1501886
,consulate,People's Republic of China,Shantou,,,,http://www.wikidata.org/entity/Q19852563
,consulate general,People's Republic of China,Shenyang,,,,http://www.wikidata.org/entity/Q19855730
,consulate general,People's Republic of China,Tianhe District,,,https://china.diplo.de/cn-zh/vertretungen/gk-kanton,http://www.wikidata.org/entity/Q15903420
,embassy,Peru,San Isidro,,,https://lima.diplo.de/,http://www.wikidata.org/entity/Q60168158
,embassy,Philippines,Makati,,,,http://www.wikidata.org/entity/Q60167779
,consulate,Poland,,,,https://polen.diplo.de/pl-pl/01-vertretungen/01-5-gk-oppeln,http://www.wikidata.org/entity/Q9556653
,consulate general,Poland,Wrocław,,,https://polen.diplo.de/pl-de/01-vertretungen/01-2-gk-breslau,http://www.wikidata.org/entity/Q86679825
,consulate general,Poland,Wrzeszcz Górny,,,https://polen.diplo.de/pl-de/01-vertretungen/01-4-gk-danzig-,http://www.wikidata.org/entity/Q11743070
,embassy,Poland,Śródmieście,,,https://polen.diplo.de,http://www.wikidata.org/entity/Q9149551
,embassy,Portugal,Lisbon,,,https://lissabon.diplo.de/,http://www.wikidata.org/entity/Q105364823
,embassy,Qatar,Doha,,,https://doha.diplo.de,http://www.wikidata.org/entity/Q58754429
,embassy,Republic of the Congo,Brazzaville,,,https://brazzaville.diplo.de,http://www.wikidata.org/entity/Q58874225
,embassy,Romania,Bucharest,,,https://rumaenien.diplo.de,http://www.wikidata.org/entity/Q60165016
,embassy,Russia,Moscow,,,https://germania.diplo.de/ru-de,http://www.wikidata.org/entity/Q4373990
,embassy,Rwanda,Kigali,,,,http://www.wikidata.org/entity/Q60165363
,consulate,Samoa,Apia,,,,http://www.wikidata.org/entity/Q64498775
,embassy,Saudi Arabia,Riyadh,,,https://saudiarabien.diplo.de/,http://www.wikidata.org/entity/Q60150742
,embassy,Senegal,Dakar,,,https://dakar.diplo.de/,http://www.wikidata.org/entity/Q58003162
,embassy,Serbia,Prishtina Municipality,,,https://pristina.diplo.de,http://www.wikidata.org/entity/Q58874705
,embassy,Serbia,Savski Venac,,,https://belgrad.diplo.de/,http://www.wikidata.org/entity/Q60149042
,embassy,Sierra Leone,Western Area,,,,http://www.wikidata.org/entity/Q58639128
,embassy,Singapore,Singapore,,,https://singapur.diplo.de,http://www.wikidata.org/entity/Q60143853
,embassy,Slovakia,Bratislava I,,,https://pressburg.diplo.de,http://www.wikidata.org/entity/Q53205257
,embassy,Slovenia,Ljubljana,,,,http://www.wikidata.org/entity/Q60044496
,embassy,South Africa,Pretoria,,,https://southafrica.diplo.de,http://www.wikidata.org/entity/Q60043850
,embassy,South Korea,Jung District,,,https://seoul.diplo.de/,http://www.wikidata.org/entity/Q60036416
,embassy,South Sudan,Juba,,,,http://www.wikidata.org/entity/Q12748290
,consulate general,Spain,Barcelona,,+34 932 92 10 00,https://spanien.diplo.de/es-de/vertretungen/generalkonsulat1,http://www.wikidata.org/entity/Q108765617
,embassy,Spain,Madrid,,,http://www.spanien.diplo.de/,http://www.wikidata.org/entity/Q26839065
,embassy,Sri Lanka,Colombo,,,https://colombo.diplo.de,http://www.wikidata.org/entity/Q59127103
,embassy,Sudan,Khartoum,,,,http://www.wikidata.org/entity/Q60036494
