email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,https://www.mfa.gr/albania,http://www.wikidata.org/entity/Q109370774
,embassy,Algeria,El Biar,,,https://www.mfa.gr/missionsabroad/algeria.html,http://www.wikidata.org/entity/Q109370789
,embassy,Argentina,Buenos Aires,,,https://www.mfa.gr/missionsabroad/argentina.html,http://www.wikidata.org/entity/Q109370875
,embassy,Armenia,Yerevan,,,https://www.mfa.gr/missionsabroad/armenia.html,http://www.wikidata.org/entity/Q31193881
,embassy,Australia,Canberra,,,https://www.mfa.gr/australia/,http://www.wikidata.org/entity/Q55639649
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168824
,embassy,Azerbaijan,Baku,,,https://www.mfa.gr/missionsabroad/azerbaijan.html,http://www.wikidata.org/entity/Q16418288
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69515919
,embassy,Bosnia and Herzegovina,Sarajevo,,,https://www.mfa.gr/missionsabroad/en/bosnia-herzegovina-en,http://www.wikidata.org/entity/Q92084790
,embassy,Brazil,Brasília,,,https://www.mfa.gr/missionsabroad/brazil.html,http://www.wikidata.org/entity/Q105702520
,embassy,Bulgaria,Sofia,,,https://www.mfa.gr/bulgaria,http://www.wikidata.org/entity/Q109040251
,embassy,Canada,Ottawa,,,https://www.mfa.gr/canada/en/the-embassy/,http://www.wikidata.org/entity/Q14875142
,embassy,Chile,Las Condes,,,https://www.mfa.gr/missionsabroad/chile,http://www.wikidata.org/entity/Q109464338
,embassy,Croatia,Zagreb,,,https://www.mfa.gr/missionsabroad/croatia.html,http://www.wikidata.org/entity/Q107410999
,embassy,Cuba,Havana,,,https://www.mfa.gr/missionsabroad/cuba.html,http://www.wikidata.org/entity/Q109418736
,embassy,Czech Republic,Prague,,,https://www.mfa.gr/missionsabroad/czech.html,http://www.wikidata.org/entity/Q107127781
,embassy,Democratic Republic of the Congo,Kinshasa,,,https://www.mfa.gr/missionsabroad/congo.html,http://www.wikidata.org/entity/Q109370802
grgencon.ale@mfa.gr,consulate general,Egypt,Alexandria,,+20 3 487 8455,https://www.mfa.gr/missionsabroad/en/egypt-en/about-us/consulate-general-in-alexandria.html,http://www.wikidata.org/entity/Q111530178
,embassy,Egypt,Cairo,,,https://www.mfa.gr/missionsabroad/egypt.html,http://www.wikidata.org/entity/Q109479087
,embassy,Estonia,Tallinn City,,,https://www.mfa.gr/missionsabroad/estonia.html,http://www.wikidata.org/entity/Q65262191
,embassy,Ethiopia,Addis Ababa,,,https://www.mfa.gr/missionsabroad/ethiopia.html,http://www.wikidata.org/entity/Q109478939
,embassy,Finland,Helsinki,,,https://www.mfa.gr/missionsabroad/finland.html,http://www.wikidata.org/entity/Q106193516
,consulate general,France,Marseille,,,,http://www.wikidata.org/entity/Q16507621
,embassy,France,Paris,,,https://www.mfa.gr/france/fr/,http://www.wikidata.org/entity/Q17346973
