email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,https://argentina.minex.gob.gt,http://www.wikidata.org/entity/Q110271911
,embassy,Australia,Canberra,,,https://australia.minex.gob.gt,http://www.wikidata.org/entity/Q106463480
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104630541
,embassy,Belgium,Uccle - Ukkel,,,,http://www.wikidata.org/entity/Q69518605
,embassy,Brazil,Brasília,,,https://brasil.minex.gob.gt,http://www.wikidata.org/entity/Q105702877
,embassy,Canada,Ottawa,,,https://canada.minex.gob.gt,http://www.wikidata.org/entity/Q5369707
,embassy,Chile,Las Condes,,,,http://www.wikidata.org/entity/Q110416070
,embassy,Colombia,Bogotá,,,,http://www.wikidata.org/entity/Q110874435
,embassy,Costa Rica,San José,,,,http://www.wikidata.org/entity/Q111080431
,embassy,Ecuador,Quito,,,,http://www.wikidata.org/entity/Q110749176
,embassy,France,,,,https://francia.minex.gob.gt,http://www.wikidata.org/entity/Q20669716
,embassy,Germany,Berlin,,,http://www.botschaft-guatemala.de/,http://www.wikidata.org/entity/Q24944365
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112440080
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107578838
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q56338586
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103830614
,embassy,Japan,Higashi-Azabu,,,,http://www.wikidata.org/entity/Q62042923
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q111669332
,embassy,Morocco,Rabat,,,https://www.marruecos.minex.gob.gt,http://www.wikidata.org/entity/Q106675779
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100700791
,embassy,Palestine,Jerusalem,,,,http://www.wikidata.org/entity/Q109780306
,embassy,Peru,Jesús María,,,http://www.embajadadeguatemalaenperu.org/,http://www.wikidata.org/entity/Q110667863
,embassy,Russia,Moscow,,,http://www.embaguate.ru,http://www.wikidata.org/entity/Q4373987
,embassy,Spain,Madrid,,,https://embajadaguatemala.es/,http://www.wikidata.org/entity/Q105239404
,embassy,Sweden,Stockholm,,,,http://www.wikidata.org/entity/Q18290281
,embassy,Taiwan,Taipei,,,http://www.taiwan.minex.gob.gt/,http://www.wikidata.org/entity/Q89042220
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q110972502
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16982846
,embassy,United States of America,,,,https://estadosunidos.minex.gob.gt/,http://www.wikidata.org/entity/Q5369708
,embassy,Uruguay,Montevideo,,,,http://www.wikidata.org/entity/Q110492358
