email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Woluwe-Saint-Lambert - Sint-Lambrechts-Woluwe,,,,http://www.wikidata.org/entity/Q69521213
,embassy,Brazil,Brasília,,,https://embaguibrasil.blogspot.com/,http://www.wikidata.org/entity/Q105703443
,embassy,Cape Verde,Praia,,,,http://www.wikidata.org/entity/Q106314438
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q111130515
,embassy,France,,,,https://ambaguineebxo.com,http://www.wikidata.org/entity/Q16303662
,embassy,Germany,Berlin,,,http://www.botschaft-guinea-bissau-berlin.de/,http://www.wikidata.org/entity/Q16782015
,embassy,Guinea,,,,,http://www.wikidata.org/entity/Q111207244
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q106438355
,embassy,Portugal,Lisbon,,,http://embaixadaguinebissau.pt/,http://www.wikidata.org/entity/Q103831175
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q86675428
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105241993
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q110972615
