email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Woluwe-Saint-Lambert - Sint-Lambrechts-Woluwe,,,https://www.embassyofguyana.be,http://www.wikidata.org/entity/Q69522937
,embassy,Brazil,Brasília,,,http://embguyana.org.br/,http://www.wikidata.org/entity/Q105703119
,high commission,Canada,Ottawa,,,https://mission.gov.gy/ottawa,http://www.wikidata.org/entity/Q106463533
,high commission,India,New Delhi,,,http://mission.gov.gy/newdelhi/,http://www.wikidata.org/entity/Q107579026
,embassy,People's Republic of China,Beijing,,,http://www.guyanaembassybeijing.cn,http://www.wikidata.org/entity/Q111821527
,honorary consulate,Peru,Lima,,447-6688 / 447-6627,,http://www.wikidata.org/entity/Q124879188
,high commission,South Africa,Pretoria,,,https://www.minfor.gov.gy/mission/south-africa/,http://www.wikidata.org/entity/Q106675004
,embassy,Suriname,Paramaribo,,,,http://www.wikidata.org/entity/Q108510973
,high commission,United Kingdom,City of Westminster,,,http://guyanahclondon.co.uk/,http://www.wikidata.org/entity/Q16842985
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369710
,embassy,Venezuela,Caracas,,,,http://www.wikidata.org/entity/Q110749937
