email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,http://www.embajadahonduras.com.ar,http://www.wikidata.org/entity/Q110271977
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104634158
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q67526502
,embassy,Brazil,Brasília,,,http://embaixadahondurasbrasil.com/,http://www.wikidata.org/entity/Q105704078
,embassy,Canada,Ottawa,,,https://embajadahondurasencanada.hn,http://www.wikidata.org/entity/Q106776658
,embassy,Chile,Las Condes,,,,http://www.wikidata.org/entity/Q110427025
,embassy,Colombia,Bogotá,,,https://www.embajadadehonduras.org.co,http://www.wikidata.org/entity/Q110874671
,embassy,Costa Rica,San José,,,,http://www.wikidata.org/entity/Q111089463
,embassy,Ecuador,Quito,,,,http://www.wikidata.org/entity/Q110757350
,embassy,France,,,,https://www.ambhonduras.fr/,http://www.wikidata.org/entity/Q20127465
,embassy,Germany,Berlin,,,http://www.embajada-honduras.de,http://www.wikidata.org/entity/Q72630734
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q56338439
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103832222
info@hnembassyjp.com,embassy,Japan,,,+81-3-3409-1150,https://hnembassyjp.wordpress.com/,http://www.wikidata.org/entity/Q61911680
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q111669561
,embassy,Palestine,Jerusalem,,,https://ehondurasisrael.net,http://www.wikidata.org/entity/Q107356102
,embassy,Panama,Panama City,,,https://www.embahn-panama.com,http://www.wikidata.org/entity/Q111107332
,embassy,Peru,San Isidro,,,https://embhondurasperu.com,http://www.wikidata.org/entity/Q110686538
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q110141798
,embassy,Spain,Madrid,,,https://www.embajadahondurases.com/,http://www.wikidata.org/entity/Q105275262
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q101023546
,embassy,Taiwan,Taipei,,,https://embajadahondurastw.wixsite.com/hnembassytw,http://www.wikidata.org/entity/Q88689598
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16947085
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369715
