email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,+355-4-223-2238,https://tirana.mfa.gov.hu/,http://www.wikidata.org/entity/Q63750932
,embassy,Algeria,Algiers,,,https://algir.mfa.gov.hu/,http://www.wikidata.org/entity/Q126722354
,embassy,Angola,Luanda,,,https://luanda.mfa.gov.hu/,http://www.wikidata.org/entity/Q113025152
mission.bue@mfa.gov.hu,embassy,Argentina,Buenos Aires,,+54 11 4312 6830,https://buenosaires.mfa.gov.hu/,http://www.wikidata.org/entity/Q108012536
,embassy,Australia,Canberra,,,https://canberra.mfa.gov.hu,http://www.wikidata.org/entity/Q106463586
,embassy,Austria,Innere Stadt,,+43-1-53780300,https://becs.mfa.gov.hu/,http://www.wikidata.org/entity/Q54168997
,embassy,Azerbaijan,Baku,,,https://baku.mfa.gov.hu/,http://www.wikidata.org/entity/Q67796350
,embassy,Belarus,Minsk,,+375-17-233-91-68,https://minszk.mfa.gov.hu/,http://www.wikidata.org/entity/Q33117413
,embassy,Belgium,City of Brussels,,+32-2-348-18-00,https://brusszel.mfa.gov.hu/,http://www.wikidata.org/entity/Q63247384
,embassy,Bosnia and Herzegovina,Sarajevo Canton,,,https://szarajevo.mfa.gov.hu/,http://www.wikidata.org/entity/Q63633740
,embassy,Brazil,Brasília,,+55-61-3443-0836,https://braziliavaros.mfa.gov.hu/,http://www.wikidata.org/entity/Q64004410
,consulate general,Brazil,São Paulo,,,https://saopaulo.mfa.gov.hu/,http://www.wikidata.org/entity/Q113025787
,embassy,Bulgaria,Stolichna Municipality,,+359-2-963-1135,https://szofia.mfa.gov.hu/,http://www.wikidata.org/entity/Q41589158
,embassy,Canada,Ottawa,,+1-613-230-2717,https://ottawa.mfa.gov.hu/,http://www.wikidata.org/entity/Q5369719
,embassy,Chile,Providencia,,,https://santiago.mfa.gov.hu/,http://www.wikidata.org/entity/Q63616745
,embassy,Colombia,Bogotá,,+57-1-5418465,https://bogota.mfa.gov.hu/,http://www.wikidata.org/entity/Q63852485
,consulate general,Croatia,Osijek,,,https://eszek.mfa.gov.hu/,http://www.wikidata.org/entity/Q95204977
,embassy,Croatia,Zagreb,,+385-1-4890-900,https://zagrab.mfa.gov.hu/,http://www.wikidata.org/entity/Q63638898
,embassy,Cuba,Plaza de la Libertad,,+53-7-8333365,https://havanna.mfa.gov.hu/,http://www.wikidata.org/entity/Q63615431
,embassy,Czech Republic,Prague,,,https://praga.mfa.gov.hu/,http://www.wikidata.org/entity/Q63639169
,embassy,Ecuador,Quito,,,https://quito.mfa.gov.hu,http://www.wikidata.org/entity/Q110757436
,embassy,Egypt,Cairo,,,https://kairo.mfa.gov.hu/,http://www.wikidata.org/entity/Q63637291
,embassy,Estonia,Tallinn City,,+372 650 4300,https://tallinn.mfa.gov.hu/,http://www.wikidata.org/entity/Q67005648
,embassy,Finland,Helsinki,,+358-9-43660700,https://helsinki.mfa.gov.hu/,http://www.wikidata.org/entity/Q63618088
,embassy,France,Paris,,+33-1-45-00-94-97,https://parizs.mfa.gov.hu/,http://www.wikidata.org/entity/Q16010348
,embassy,Georgia,Tbilisi,,,https://tbiliszi.mfa.gov.hu/,http://www.wikidata.org/entity/Q86668871
,embassy,Germany,Berlin,,+49-30-203100,https://berlin.mfa.gov.hu/,http://www.wikidata.org/entity/Q2493389
,consulate general,Germany,Munich,,,http://munchen.mfa.gov.hu,http://www.wikidata.org/entity/Q70000030
,consulate general,Germany,Stuttgart,,,https://stuttgart.mfa.gov.hu/,http://www.wikidata.org/entity/Q87199108
,embassy,Greece,Athens Municipality,,+30-21-0725-6800,https://athen.mfa.gov.hu/,http://www.wikidata.org/entity/Q63637262
,embassy,India,New Delhi,,,https://newdelhi.mfa.gov.hu,http://www.wikidata.org/entity/Q112597474
,embassy,Indonesia,Jakarta,,+62-21-5203459,https://jakarta.mfa.gov.hu/,http://www.wikidata.org/entity/Q63750070
,embassy,Iraq,Baghdad,,+964-780-927-1105,https://bagdad.mfa.gov.hu/,http://www.wikidata.org/entity/Q63642409
,embassy,Ireland,Dublin,,+353 661 2903,https://dublin.mfa.gov.hu,http://www.wikidata.org/entity/Q104771288
,embassy,Israel,Tel Aviv,,,https://telaviv.mfa.gov.hu/isr,http://www.wikidata.org/entity/Q63789707
,consulate general,Italy,Milan,,,,http://www.wikidata.org/entity/Q81564865
,embassy,Italy,Rome,,+39-06-440-2167,,http://www.wikidata.org/entity/Q56326283
,embassy,Italy,Rome,,,https://roma.mfa.gov.hu/,http://www.wikidata.org/entity/Q63616060
,embassy,Japan,Tokyo,,+81-3-5730-7120,https://tokio.mfa.gov.hu/,http://www.wikidata.org/entity/Q61911520
,embassy,Kenya,Nairobi,,,https://nairobi.mfa.gov.hu/,http://www.wikidata.org/entity/Q117321884
,embassy,Kingdom of Denmark,Copenhagen Municipality,,+45-39-63-16-88,https://koppenhaga.mfa.gov.hu/,http://www.wikidata.org/entity/Q63619630
,honorary consulate,Kyrgyzstan,Bishkek,,,,http://www.wikidata.org/entity/Q79833140
