email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q124622406
,consulate,Belarus,Minsk,,,,http://www.wikidata.org/entity/Q3656243
brussels@mfa.is,embassy,Belgium,City of Brussels,,+32-2-238-50-00,https://www.stjornarradid.is/sendiskrifstofur/sendirad-islands-i-brussel/,http://www.wikidata.org/entity/Q69523942
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q5369721
,embassy,Finland,Helsinki,,,https://www.government.is/diplomatic-missions/embassy-of-iceland-in-helsinki,http://www.wikidata.org/entity/Q106117323
,embassy,France,,,,https://www.stjornarradid.is/sendiskrifstofur/sendirad-islands-i-paris/,http://www.wikidata.org/entity/Q15149867
,embassy,Germany,Berlin,,,https://www.government.is/diplomatic-missions/embassy-of-iceland-in-berlin,http://www.wikidata.org/entity/Q60855723
,embassy,India,New Delhi,,,https://www.government.is/diplomatic-missions/embassy-of-iceland-in-new-delhi/,http://www.wikidata.org/entity/Q106119019
,embassy,Japan,Tokyo,,,https://www.stjornarradid.is/sendiskrifstofur/sendirad-islands-i-tokyo/,http://www.wikidata.org/entity/Q11668248
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://www.government.is/other-languages/islands-ambassade-i-kobenhavn/,http://www.wikidata.org/entity/Q106000103
,embassy,Malawi,Lilongwe,,,https://www.government.is/diplomatic-missions/embassy-of-iceland-in-lilongwe,http://www.wikidata.org/entity/Q106118039
,embassy,Norway,Oslo Municipality,,,https://www.government.is/diplomatic-missions/embassy-of-iceland-in-oslo/,http://www.wikidata.org/entity/Q19375895
,embassy,People's Republic of China,Beijing,,,https://www.government.is/diplomatic-missions/embassy-of-iceland-in-beijing,http://www.wikidata.org/entity/Q106116699
,embassy,Poland,Warsaw,,,https://www.government.is/other-languages/ambasada-islandii-w-warszawie/o-ambasadzie/,http://www.wikidata.org/entity/Q117812368
,embassy,Russia,Presnensky District,,,http://www.utn.is/moskva,http://www.wikidata.org/entity/Q2069617
,embassy,Sweden,Stockholm,,,https://www.stjornarradid.is/sendiskrifstofur/sendirad-islands-i-stokkholmi/,http://www.wikidata.org/entity/Q10537319
,permanent mission,Switzerland,Geneva,,,https://www.mfa.is/geneva,http://www.wikidata.org/entity/Q124563652
,embassy,Uganda,Kampala,,,,http://www.wikidata.org/entity/Q105635671
,embassy,United Kingdom,London,,,https://www.government.is/diplomatic-missions/embassy-of-iceland-in-london,http://www.wikidata.org/entity/Q15378751
,embassy,United States of America,"Washington, D.C.",,,https://www.stjornarradid.is/sendiskrifstofur/sendirad-islands-i-washington-d.c/,http://www.wikidata.org/entity/Q106119711
