email,mission_type,host_country,city,address,phone,website,wikidata_qid
,consulate general,Afghanistan,Herat,,,,http://www.wikidata.org/entity/Q73087231
,consulate general,Afghanistan,Jalalabad,,,,http://www.wikidata.org/entity/Q73087323
,embassy,Afghanistan,Kabul,,+873-7630-95560,http://www.eoi.gov.in/kabul,http://www.wikidata.org/entity/Q73025357
,consulate general,Afghanistan,Kandahar,,,,http://www.wikidata.org/entity/Q73087576
,consulate general,Afghanistan,Mazar-i-Sharif,,,,http://www.wikidata.org/entity/Q73087420
,embassy,Algeria,Algiers,,+213-23-47-25-21,http://www.indianembassyalgiers.gov.in/,http://www.wikidata.org/entity/Q73026048
,embassy,Angola,Luanda,,+244-941-564-851,https://www.indembangola.gov.in/,http://www.wikidata.org/entity/Q73026445
,embassy,Argentina,Buenos Aires,,+54-11-4393-4001,http://www.indembarg.gov.in/,http://www.wikidata.org/entity/Q73026666
,consulate,Argentina,Córdoba,,+54-351-422-0023,,http://www.wikidata.org/entity/Q73027165
,embassy,Armenia,Yerevan,,+374-10-539173,https://eoiyerevan.gov.in,http://www.wikidata.org/entity/Q73035057
,consulate,Australia,Brisbane,,,,http://www.wikidata.org/entity/Q73090529
,high commission,Australia,Canberra,,+61-2-6273-3999,https://www.hcicanberra.gov.in,http://www.wikidata.org/entity/Q73035534
,consulate general,Australia,City of Perth,,+61-8-9221-4205,http://www.cgiperth.org/,http://www.wikidata.org/entity/Q73036072
,consulate general,Australia,Melbourne,,+61-3-9682-7836,http://www.cgimelbourne.gov.in,http://www.wikidata.org/entity/Q73035763
,consulate general,Australia,Sydney,,+61-2-9223-9500,http://www.cgisydney.gov.in,http://www.wikidata.org/entity/Q73036255
,embassy,Austria,Vienna,,+43-1-5058666,https://www.eoivienna.gov.in/,http://www.wikidata.org/entity/Q73036485
,embassy,Azerbaijan,Baku,,+994-12-564-63-44,http://www.indianembassybaku.in/,http://www.wikidata.org/entity/Q12840358
,embassy,Bahrain,Manama,,,https://www.eoibahrain.gov.in/,http://www.wikidata.org/entity/Q68170352
,assistant high commission,Bangladesh,Chittagong,,,,http://www.wikidata.org/entity/Q73089228
,high commission,Bangladesh,Dhaka,,,http://www.hcidhaka.gov.in,http://www.wikidata.org/entity/Q73088441
,assistant high commission,Bangladesh,Khulna,,,,http://www.wikidata.org/entity/Q73089328
,assistant high commission,Bangladesh,Rajshahi,,,,http://www.wikidata.org/entity/Q73088731
,assistant high commission,Bangladesh,Sylhet,,,,http://www.wikidata.org/entity/Q73089387
,embassy,Belarus,Minsk,,,https://www.eoiminsk.gov.in,http://www.wikidata.org/entity/Q33117569
,consulate general,Belgium,Antwerp,,,,http://www.wikidata.org/entity/Q73090785
,embassy,Belgium,Ixelles - Elsene,,,https://www.indianembassybrussels.gov.in,http://www.wikidata.org/entity/Q24949892
,consulate,Belize,Belize City,,,,http://www.wikidata.org/entity/Q73113318
,consulate general,Bhutan,Phuntsholing,,,,http://www.wikidata.org/entity/Q73089755
,embassy,Bhutan,Thimphu,,,https://www.indembthimphu.gov.in,http://www.wikidata.org/entity/Q73089647
,high commission,Botswana,Gaborone,,,http://www.hcigaborone.gov.in,http://www.wikidata.org/entity/Q73090913
,consulate,Brazil,Belo Horizonte,,,,http://www.wikidata.org/entity/Q73091134
,embassy,Brazil,Brasília,,,https://eoibrasilia.gov.in/,http://www.wikidata.org/entity/Q73091036
,consulate general,Brazil,Rio de Janeiro,,,,http://www.wikidata.org/entity/Q73091255
,consulate general,Brazil,São Paulo,,,,http://www.wikidata.org/entity/Q73091318
,high commission,Brunei,Bandar Seri Begawan,,,http://www.hcindiabrunei.gov.in,http://www.wikidata.org/entity/Q73091485
,embassy,Bulgaria,Sofia,,,https://www.indembsofia.gov.in/,http://www.wikidata.org/entity/Q73091561
,embassy,Burkina Faso,Ouagadougou,,,https://www.eoiburkinafaso.gov.in,http://www.wikidata.org/entity/Q108597505
,embassy,Cambodia,Phnom Penh,,,https://www.embindpp.gov.in,http://www.wikidata.org/entity/Q73091706
,high commission,Cameroon,Yaoundé,,,http://hciyaounde.gov.in,http://www.wikidata.org/entity/Q112684734
,high commission,Canada,Ottawa,,,https://www.hciottawa.gov.in,http://www.wikidata.org/entity/Q5755079
,consulate general,Canada,Toronto,,,,http://www.wikidata.org/entity/Q73091960
,consulate general,Canada,Vancouver,,,,http://www.wikidata.org/entity/Q73092067
,embassy,Chile,Las Condes,,,https://www.indianembassysantiago.gov.in/,http://www.wikidata.org/entity/Q73092191
,embassy,Colombia,Bogotá,,,https://www.eoibogota.gov.in/,http://www.wikidata.org/entity/Q73092900
,embassy,Croatia,Zagreb,,,https://www.indianembassyzagreb.gov.in/,http://www.wikidata.org/entity/Q73093247
,embassy,Cuba,Havana,,,https://eoi.gov.in/havana/,http://www.wikidata.org/entity/Q73093349
,embassy,Czech Republic,Prague,,,https://www.eoiprague.gov.in,http://www.wikidata.org/entity/Q73093582
,embassy,Democratic Republic of the Congo,Kinshasa,,,https://eoi.gov.in/kinshasa/,http://www.wikidata.org/entity/Q73093005
,embassy,Djibouti,Djibouti,,,https://www.eoidjibouti.gov.in,http://www.wikidata.org/entity/Q108502024
,embassy,Dominican Republic,Santo Domingo,,,,http://www.wikidata.org/entity/Q108415364
,consulate,Egypt,Alexandria,,,,http://www.wikidata.org/entity/Q73099038
,embassy,Egypt,Cairo,,,https://www.eoicairo.gov.in/,http://www.wikidata.org/entity/Q73094312
,embassy,Equatorial Guinea,Malabo,,,https://www.eoimalabo.gov.in,http://www.wikidata.org/entity/Q108532326
,embassy,Eritrea,Asmara,,,http://eoiasmara.gov.in,http://www.wikidata.org/entity/Q112685559
,embassy,Estonia,Tallinn City,,,,http://www.wikidata.org/entity/Q108044330
,high commission,Eswatini,Mbabane,,,https://www.hcimbabane.gov.in,http://www.wikidata.org/entity/Q112713732
,embassy,Ethiopia,Addis Ababa,,,https://eoiaddisababa.gov.in,http://www.wikidata.org/entity/Q73094577
,high commission,Fiji,Suva,,,http://www.indiainfiji.gov.in,http://www.wikidata.org/entity/Q73098299
,embassy,Finland,Helsinki,,,https://www.indembhelsinki.gov.in,http://www.wikidata.org/entity/Q73098896
,embassy,France,Paris,,,https://www.eoiparis.gov.in/,http://www.wikidata.org/entity/Q20669700
,consulate general,France,Saint-Denis,,,http://www.cgireunion.com,http://www.wikidata.org/entity/Q2995351
,consulate general,Germany,Frankfurt,,,,http://www.wikidata.org/entity/Q73099996
,consulate general,Germany,Hamburg,,,,http://www.wikidata.org/entity/Q73100094
,embassy,Germany,Mitte,,+49-30-257950,https://www.indianembassyberlin.gov.in/,http://www.wikidata.org/entity/Q1661513
,consulate general,Germany,Munich,,,https://cgimunich.gov.in/,http://www.wikidata.org/entity/Q73100199
,consulate,Germany,Stuttgart,,,,http://www.wikidata.org/entity/Q73100289
,high commission,Ghana,Accra,,,http://www.hciaccra.gov.in,http://www.wikidata.org/entity/Q73099231
