email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Afghanistan,Kabul,,,https://kemlu.go.id/kabul,http://www.wikidata.org/entity/Q107517128
,embassy,Algeria,El Mouradia,,,https://kemlu.go.id/algiers,http://www.wikidata.org/entity/Q107521109
,embassy,Argentina,Buenos Aires,,,https://kemlu.go.id/buenosaires,http://www.wikidata.org/entity/Q74151151
,embassy,Australia,Canberra,,,https://kemlu.go.id/canberra,http://www.wikidata.org/entity/Q48816312
,consulate general,Australia,City of Perth,,,,http://www.wikidata.org/entity/Q111047776
,consulate general,Australia,Melbourne,,,,http://www.wikidata.org/entity/Q111047743
,embassy,Austria,Vienna,,,https://kemlu.go.id/vienna,http://www.wikidata.org/entity/Q104634176
,embassy,Azerbaijan,Baku,,,https://kemlu.go.id/baku,http://www.wikidata.org/entity/Q107521316
,embassy,Bahrain,Manama,,,,http://www.wikidata.org/entity/Q68170703
,embassy,Bangladesh,Dhaka,,,https://kemlu.go.id/dhaka,http://www.wikidata.org/entity/Q107526574
,embassy,Belgium,Woluwe-Saint-Lambert - Sint-Lambrechts-Woluwe,,,https://www.kemlu.go.id/brussels​,http://www.wikidata.org/entity/Q69523812
,embassy,Bosnia and Herzegovina,Centar Municipality,,,https://kemlu.go.id/sarajevo/en,http://www.wikidata.org/entity/Q95630193
,embassy,Brazil,Brasília,,,https://kemlu.go.id/brasilia/,http://www.wikidata.org/entity/Q76380784
,embassy,Brunei,Bandar Seri Begawan,,,https://www.kemlu.go.id/bandarseribegawan,http://www.wikidata.org/entity/Q75776673
,embassy,Bulgaria,Stolichna Municipality,,,https://kemlu.go.id/sofia,http://www.wikidata.org/entity/Q41588872
,embassy,Cambodia,Phnom Penh,,,https://kemlu.go.id/phnompenh,http://www.wikidata.org/entity/Q107527067
,embassy,Canada,Ottawa,,,https://kemlu.go.id/ottawa,http://www.wikidata.org/entity/Q5369729
,embassy,Chile,Providencia,,,https://kemlu.go.id/santiago,http://www.wikidata.org/entity/Q107529064
,embassy,Colombia,Bogotá,,,https://kemlu.go.id/bogota,http://www.wikidata.org/entity/Q73962992
,embassy,Croatia,Zagreb,,,https://kemlu.go.id/zagreb,http://www.wikidata.org/entity/Q107411000
,embassy,Cuba,Havana,,,https://kemlu.go.id/havana,http://www.wikidata.org/entity/Q107521361
,embassy,Czech Republic,Smíchov,,,,http://www.wikidata.org/entity/Q65464931
,embassy,East Timor,Dili,,,https://kemlu.go.id/dili,http://www.wikidata.org/entity/Q107553039
,embassy,Ecuador,Quito,,,https://kemlu.go.id/quito,http://www.wikidata.org/entity/Q107529687
,embassy,Egypt,Cairo,,,https://kemlu.go.id/cairo,http://www.wikidata.org/entity/Q12490407
,embassy,Ethiopia,Addis Ababa,,,https://kemlu.go.id/addisababa,http://www.wikidata.org/entity/Q75070819
,embassy,Fiji,Suva,,,https://kemlu.go.id/suva,http://www.wikidata.org/entity/Q107529929
,embassy,Finland,Helsinki,,,https://kemlu.go.id/helsinki,http://www.wikidata.org/entity/Q106194136
,embassy,France,,,,https://kemlu.go.id/paris/,http://www.wikidata.org/entity/Q2841589
,consulate general,France,Marseille,,,http://consulat.indonesie.pagesperso-orange.fr,http://www.wikidata.org/entity/Q16507543
,consulate general,France,Noumea,,,,http://www.wikidata.org/entity/Q16507544
,embassy,Germany,Berlin,,,https://kemlu.go.id/berlin,http://www.wikidata.org/entity/Q31172970
,embassy,Greece,Psychiko,,,https://kemlu.go.id/athens,http://www.wikidata.org/entity/Q75401840
,embassy,Guinea,Conakry,,,,http://www.wikidata.org/entity/Q114350157
,embassy,Hungary,Budapest District VI,,+36-1-413-3800,https://kemlu.go.id/budapest/,http://www.wikidata.org/entity/Q74464631
,embassy,India,New Delhi,,,https://kemlu.go.id/newdelhi,http://www.wikidata.org/entity/Q107530767
,embassy,Iran,Tehran,,,https://kemlu.go.id/tehran,http://www.wikidata.org/entity/Q107530829
baghdad.kbri@kemlu.go.id,embassy,Iraq,Baghdad,,+964-538-2828,https://kemlu.go.id/baghdad/id,http://www.wikidata.org/entity/Q84758425
,embassy,Italy,Rome,,,https://www.kemlu.go.id/vatican/,http://www.wikidata.org/entity/Q56326678
,embassy,Italy,Rome,,,https://kemlu.go.id/rome,http://www.wikidata.org/entity/Q103832567
,consulate general,Japan,Osaka,,,http://www.indonesia-osaka.org/ja/,http://www.wikidata.org/entity/Q50344678
,embassy,Japan,Shinagawa-ku,,,https://kemlu.go.id/tokyo,http://www.wikidata.org/entity/Q45380967
,embassy,Jordan,Amman,,,https://kemlu.go.id/amman,http://www.wikidata.org/entity/Q75201413
,embassy,Kazakhstan,Astana,,,https://kemlu.go.id/nur-sultan,http://www.wikidata.org/entity/Q107530991
