email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,https://albania.mfa.gov.ir,http://www.wikidata.org/entity/Q113232351
,embassy,Argentina,Buenos Aires,,,https://argentina.mfa.gov.ir,http://www.wikidata.org/entity/Q110272058
,embassy,Armenia,Yerevan,,,https://armenia.mfa.gov.ir,http://www.wikidata.org/entity/Q109561205
,embassy,Australia,Canberra,,,https://australia.mfa.gov.ir,http://www.wikidata.org/entity/Q106463928
,embassy,Austria,Vienna,,,https://austria.mfa.gov.ir/,http://www.wikidata.org/entity/Q15820387
,embassy,Azerbaijan,Baku,,,,http://www.wikidata.org/entity/Q12849136
,embassy,Belarus,Minsk,,,,http://www.wikidata.org/entity/Q33116997
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69523839
,embassy,Bolivia,La Paz,,,https://bolivia.mfa.gov.ir/,http://www.wikidata.org/entity/Q110588156
,embassy,Bosnia and Herzegovina,Sarajevo,,,https://bosniaherzegovina.mfa.gov.ir/,http://www.wikidata.org/entity/Q92074548
,embassy,Brazil,Brasília,,,https://brazil.mfa.gov.ir/,http://www.wikidata.org/entity/Q105704584
,embassy,Bulgaria,Stolichna Municipality,,,,http://www.wikidata.org/entity/Q41589202
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q94502707
,embassy,Chile,Las Condes,,,https://chile.mfa.gov.ir,http://www.wikidata.org/entity/Q110429643
,embassy,Colombia,Bogotá,,,https://colombia.mfa.gov.ir/,http://www.wikidata.org/entity/Q110874954
,embassy,Croatia,Zagreb,,,https://croatia.mfa.gov.ir,http://www.wikidata.org/entity/Q107412385
,embassy,Cyprus,Strovolos,,,https://nicosia.mfa.ir/,http://www.wikidata.org/entity/Q109780720
,embassy,Czech Republic,Prague,,,https://czech.mfa.gov.ir,http://www.wikidata.org/entity/Q107119058
,embassy,Ecuador,Quito,,,https://quito.mfa.ir/,http://www.wikidata.org/entity/Q110735661
,embassy,Finland,Helsinki,,,https://finland.mfa.gov.ir,http://www.wikidata.org/entity/Q106194789
,embassy,France,,,,https://paris.mfa.gov.ir/fr,http://www.wikidata.org/entity/Q30055556
,embassy,Germany,Steglitz-Zehlendorf,,,http://de.berlin.mfa.ir/,http://www.wikidata.org/entity/Q1672381
,embassy,Greece,Psychiko,,,https://greece.mfa.gov.ir,http://www.wikidata.org/entity/Q109660379
,embassy,Guinea,Dixinn,,,https://conakry.mfa.ir/,http://www.wikidata.org/entity/Q111207207
iranemb.bud@mfa.gov.ir,embassy,Hungary,Zugló,,+36-1 460-9260,https://hungary.mfa.gov.ir/,http://www.wikidata.org/entity/Q104617636
,embassy,India,New Delhi,,,https://india.mfa.ir,http://www.wikidata.org/entity/Q112597874
,embassy,Indonesia,Jakarta,,,https://indonesia.mfa.gov.ir,http://www.wikidata.org/entity/Q107579223
,embassy,Ireland,Blackrock,,,https://dublin.mfa.gov.ir/,http://www.wikidata.org/entity/Q104771345
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q96435839
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103832762
,embassy,Ivory Coast,Abidjan,,,https://cotedivoire.mfa.gov.ir,http://www.wikidata.org/entity/Q112876515
,embassy,Japan,,,,https://japan.mfa.gov.ir/jp,http://www.wikidata.org/entity/Q46994693
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://denmark.mfa.gov.ir,http://www.wikidata.org/entity/Q106030992
