email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Australia,Canberra,,,http://www.mofa.gov.iq/canberra/,http://www.wikidata.org/entity/Q106463986
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168828
,embassy,Azerbaijan,Baku,,,,http://www.wikidata.org/entity/Q20586913
,embassy,Bahrain,,,,,http://www.wikidata.org/entity/Q68170369
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69523859
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105705403
,embassy,Bulgaria,Sofia,,,,http://www.wikidata.org/entity/Q109289363
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q5369734
,embassy,Croatia,Zagreb,,,https://www.mofa.gov.iq/zagreb,http://www.wikidata.org/entity/Q107412386
,embassy,Czech Republic,Prague,,,,http://www.wikidata.org/entity/Q107117724
,embassy,Finland,Helsinki,,,,http://www.wikidata.org/entity/Q24052754
,embassy,France,,,,https://mofa.gov.iq/paris/?lang=fr,http://www.wikidata.org/entity/Q2841590
,embassy,Germany,,,,,http://www.wikidata.org/entity/Q50416083
,embassy,Germany,Berlin,,,,http://www.wikidata.org/entity/Q1465249
,embassy,Germany,Berlin,,,,http://www.wikidata.org/entity/Q73161744
,embassy,Greece,Psychiko,,,https://www.mofa.gov.iq/athens,http://www.wikidata.org/entity/Q109661202
,embassy,Hungary,Budapest District II,,,http://www.mofa.gov.iq/budapest/,http://www.wikidata.org/entity/Q106468788
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112598745
,embassy,Indonesia,Jakarta,,,https://www.mofa.gov.iq/jakarta/,http://www.wikidata.org/entity/Q107590865
,embassy,Iran,,,,,http://www.wikidata.org/entity/Q25425126
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q56326320
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103832988
,embassy,Japan,,,,http://www.iraqi-japan.com/,http://www.wikidata.org/entity/Q11668249
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://mofa.gov.iq/copenhagen/,http://www.wikidata.org/entity/Q106031492
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q111669624
,embassy,Morocco,,,,https://www.mofa.gov.iq/rabat/ar/,http://www.wikidata.org/entity/Q68608266
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100542629
,embassy,Norway,Oslo Municipality,,,,http://www.wikidata.org/entity/Q19375813
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q119402946
,embassy,Poland,Warsaw,,+48-22-617-57-73,,http://www.wikidata.org/entity/Q9149509
,embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q105443782
,embassy,Romania,Bucharest,,,,http://www.wikidata.org/entity/Q106939437
,embassy,Russia,Khamovniki District,,,,http://www.wikidata.org/entity/Q265896
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170011
,embassy,Serbia,Belgrade,,,https://www.mofa.gov.iq/belgrade,http://www.wikidata.org/entity/Q108063907
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106676942
,embassy,Spain,Madrid,,,https://www.mofa.gov.iq/madrid/,http://www.wikidata.org/entity/Q68607969
,embassy,Sweden,Stockholm,,,,http://www.wikidata.org/entity/Q10536621
,consulate general,Sweden,Stockholm,,,,http://www.wikidata.org/entity/Q116200545
bernemb@iraqmfamail.com,embassy,Switzerland,Bern,,+41-31-351-40-43,,http://www.wikidata.org/entity/Q26979892
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q110973265
iraqiembassy.ua@gmail.com,embassy,Ukraine,Kyiv,,+380-44-286-0440,http://www.iraqiembassy.com.ua/,http://www.wikidata.org/entity/Q16712423
adbemb@mofa.gov.iq,embassy,United Arab Emirates,,,+971-2-441-8022,https://www.mofa.gov.iq/abudhabi/,http://www.wikidata.org/entity/Q79845587
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16836819
,embassy,United States of America,"Washington, D.C.",,,http://www.iraqiembassy.us/,http://www.wikidata.org/entity/Q5369735
,embassy,Venezuela,Municipio Baruta,,,,http://www.wikidata.org/entity/Q110735479
