email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,https://www.dfa.ie/irish-embassy/argentina/,http://www.wikidata.org/entity/Q104793506
,embassy,Australia,Canberra,,,https://www.dfa.ie/irish-embassy/australia,http://www.wikidata.org/entity/Q104796212
,embassy,Austria,Vienna,,,https://www.dfa.ie/irish-embassy/austria/,http://www.wikidata.org/entity/Q104634440
,embassy,Belgium,Etterbeek,,,https://www.ireland.ie/en/belgium/brussels/,http://www.wikidata.org/entity/Q69523885
,embassy,Brazil,Brasília,,,https://www.dfa.ie/irish-embassy/brazil/,http://www.wikidata.org/entity/Q104836488
,embassy,Bulgaria,Stolichna Municipality,,,https://www.dfa.ie/irish-embassy/bulgaria/,http://www.wikidata.org/entity/Q104794672
,embassy,Canada,Ottawa,,,https://www.dfa.ie/irish-embassy/canada/,http://www.wikidata.org/entity/Q5369736
,embassy,Chile,Las Condes,,,https://www.dfa.ie/irish-embassy/chile,http://www.wikidata.org/entity/Q104842428
,embassy,Colombia,Bogotá,,,https://www.dfa.ie/irish-embassy/colombia,http://www.wikidata.org/entity/Q104844242
,embassy,Croatia,Zagreb,,,https://www.dfa.ie/irish-embassy/croatia/,http://www.wikidata.org/entity/Q104844762
,embassy,Czech Republic,Prague,,,https://www.dfa.ie/irish-embassy/czech-republic/,http://www.wikidata.org/entity/Q104845574
,embassy,Egypt,Cairo,,,https://www.dfa.ie/irish-embassy/egypt/,http://www.wikidata.org/entity/Q104849432
,embassy,Estonia,Tallinn City,,,https://www.dfa.ie/irish-embassy/estonia/,http://www.wikidata.org/entity/Q65262040
,embassy,Ethiopia,Addis Ababa,,,https://www.dfa.ie/irish-embassy/ethiopia/,http://www.wikidata.org/entity/Q104847540
,embassy,Finland,Helsinki,,,https://www.dfa.ie/irish-embassy/finland/,http://www.wikidata.org/entity/Q104865297
,embassy,France,,,,https://www.dfa.ie/irish-embassy/france/,http://www.wikidata.org/entity/Q18164757
,embassy,Germany,Mitte,,,https://www.dfa.ie/irish-embassy/germany/,http://www.wikidata.org/entity/Q21041983
,embassy,Greece,Athens,,,https://www.dfa.ie/irish-embassy/greece/,http://www.wikidata.org/entity/Q104782523
,embassy,Hungary,Budapest District V,,,https://www.dfa.ie/irish-embassy/hungary/,http://www.wikidata.org/entity/Q104866049
,embassy,India,New Delhi,,,https://www.dfa.ie/irish-embassy/india,http://www.wikidata.org/entity/Q104833518
,embassy,Indonesia,Jakarta,,,https://www.dfa.ie/irish-embassy/indonesia/,http://www.wikidata.org/entity/Q104876790
,embassy,Israel,Ramat Gan,,,https://www.dfa.ie/irish-embassy/israel/,http://www.wikidata.org/entity/Q104870027
,embassy,Italy,Rome,,,https://www.dfa.ie/irish-embassy/holy-see/,http://www.wikidata.org/entity/Q60855817
,embassy,Italy,Rome,,,https://www.dfa.ie/irish-embassy/italy/,http://www.wikidata.org/entity/Q103833212
,embassy,Japan,Kōjimachi,,,https://www.dfa.ie/irish-embassy/japan/,http://www.wikidata.org/entity/Q48814432
,embassy,Jordan,Amman,,,https://www.dfa.ie/irish-embassy/jordan/,http://www.wikidata.org/entity/Q104870215
,embassy,Kenya,Nairobi,,,https://www.dfa.ie/irish-embassy/kenya/,http://www.wikidata.org/entity/Q104850201
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://www.dfa.ie/irish-embassy/denmark/,http://www.wikidata.org/entity/Q104846620
,embassy,Latvia,Riga,,,https://www.dfa.ie/irish-embassy/latvia/,http://www.wikidata.org/entity/Q104871917
,embassy,Liberia,Monrovia,,,https://www.dfa.ie/irish-embassy/liberia/,http://www.wikidata.org/entity/Q104872293
vilniusembassy@dfa.ie,embassy,Lithuania,Vilnius,,,https://www.dfa.ie/irish-embassy/lithuania,http://www.wikidata.org/entity/Q104833618
,embassy,Luxembourg,Luxembourg,,,,http://www.wikidata.org/entity/Q100785044
,embassy,Malawi,Lilongwe,,,https://www.dfa.ie/irish-embassy/malawi/,http://www.wikidata.org/entity/Q104875138
,embassy,Malaysia,Kuala Lumpur,,,https://www.dfa.ie/irish-embassy/cyprus/,http://www.wikidata.org/entity/Q104875508
,embassy,Malta,Ta' Xbiex,,,https://www.dfa.ie/irish-embassy/malta/,http://www.wikidata.org/entity/Q104875825
,embassy,Mexico,Mexico City,,,https://www.dfa.ie/irish-embassy/mexico,http://www.wikidata.org/entity/Q104834799
,embassy,Mozambique,Maputo,,,https://www.dfa.ie/irish-embassy/mozambique/,http://www.wikidata.org/entity/Q104864275
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100700841
,embassy,New Zealand,Wellington,,,https://www.dfa.ie/irish-embassy/new-zealand/,http://www.wikidata.org/entity/Q104889488
,embassy,Nigeria,Abuja,,,https://www.dfa.ie/irish-embassy/nigeria,http://www.wikidata.org/entity/Q104836201
,embassy,Northern Cyprus,Nicosia,,,https://www.dfa.ie/irish-embassy/cyprus/,http://www.wikidata.org/entity/Q104845460
,embassy,Norway,Oslo,,,https://www.dfa.ie/irish-embassy/norway/,http://www.wikidata.org/entity/Q19375840
osman.khan@honoraryconsul.ie,honorary consulate,Pakistan,Karachi,,+92-21-35891181,https://www.dfa.ie/embassies/irish-embassies-abroad/asia-and-oceania/pakistan/,http://www.wikidata.org/entity/Q107419303
,embassy,People's Republic of China,Beijing,,,https://www.dfa.ie/irish-embassy/china,http://www.wikidata.org/entity/Q104843552
,embassy,Poland,Warsaw,,+48-22-849-66-33,https://www.dfa.ie/irish-embassy/poland/,http://www.wikidata.org/entity/Q11685568
,embassy,Portugal,Lisbon,,,https://www.dfa.ie/irish-embassy/portugal/,http://www.wikidata.org/entity/Q104792936
,embassy,Romania,Bucharest,,,https://www.dfa.ie/irish-embassy/romania/,http://www.wikidata.org/entity/Q104876141
,embassy,Russia,Moscow,,,https://www.dfa.ie/irish-embassy/russia,http://www.wikidata.org/entity/Q4374000
,embassy,Saudi Arabia,Riyadh,,,https://www.dfa.ie/irish-embassy/saudi-arabia/,http://www.wikidata.org/entity/Q68170014
,embassy,Sierra Leone,Freetown,,,https://www.dfa.ie/irish-embassy/sierra-leone/,http://www.wikidata.org/entity/Q104865624
,embassy,Singapore,Singapore,,,https://www.dfa.ie/irish-embassy/singapore,http://www.wikidata.org/entity/Q104836669
,embassy,Slovakia,Bratislava,,,https://www.dfa.ie/irish-embassy/slovak-republic/,http://www.wikidata.org/entity/Q104889734
,embassy,Slovenia,Ljubljana,,,https://www.dfa.ie/irish-embassy/slovenia,http://www.wikidata.org/entity/Q104836432
,embassy,South Africa,Pretoria,,,https://www.dfa.ie/irish-embassy/south-africa,http://www.wikidata.org/entity/Q104836445
,embassy,South Korea,Seoul,,,https://www.dfa.ie/irish-embassy/republic-of-korea/,http://www.wikidata.org/entity/Q104870793
,embassy,Spain,Madrid,,,https://www.dfa.ie/irish-embassy/spain/,http://www.wikidata.org/entity/Q104782626
,embassy,Sweden,Stockholm,,,https://www.ireland.ie/en/sweden/stockholm/,http://www.wikidata.org/entity/Q10536768
berne@dfa.ie,embassy,Switzerland,Bern,,+41-31-352-14-42,https://www.dfa.ie/irish-embassy/switzerland/,http://www.wikidata.org/entity/Q26979593
