email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Afghanistan,Kabul,,,,http://www.wikidata.org/entity/Q3613756
,embassy,Albania,Tirana,,,https://ambtirana.esteri.it,http://www.wikidata.org/entity/Q15040986
,embassy,Algeria,El Biar,,,https://ambalgeri.esteri.it,http://www.wikidata.org/entity/Q104906585
,embassy,Angola,Luanda,,,https://ambluanda.esteri.it,http://www.wikidata.org/entity/Q104906781
,embassy,Argentina,Buenos Aires,,,https://ambbuenosaires.esteri.it,http://www.wikidata.org/entity/Q15820507
,embassy,Armenia,Yerevan,,,https://ambjerevan.esteri.it,http://www.wikidata.org/entity/Q104923412
,embassy,Australia,Canberra,,,https://ambcanberra.esteri.it,http://www.wikidata.org/entity/Q104923551
,embassy,Austria,Vienna,,,http://ambvienna.esteri.it,http://www.wikidata.org/entity/Q3613757
,embassy,Azerbaijan,Baku,,,https://ambbaku.esteri.it,http://www.wikidata.org/entity/Q20587002
,embassy,Bahrain,Manama,,,https://ambmanama.esteri.it/,http://www.wikidata.org/entity/Q68170698
,embassy,Bangladesh,Dhaka,,,https://ambdhaka.esteri.it,http://www.wikidata.org/entity/Q104927442
,embassy,Belarus,Minsk,,,https://ambminsk.esteri.it,http://www.wikidata.org/entity/Q33113454
,diplomatic mission,Belgium,Ixelles - Elsene,,,https://ambbruxelles.esteri.it,http://www.wikidata.org/entity/Q42305132
,embassy,Bolivia,La Paz,,,https://amblapaz.esteri.it,http://www.wikidata.org/entity/Q104972309
,embassy,Bosnia and Herzegovina,Sarajevo,,,https://ambsarajevo.esteri.it,http://www.wikidata.org/entity/Q92204982
,consulate,Brazil,Belo Horizonte,,,https://consbelohorizonte.esteri.it/consolato_belohorizonte/pt/,http://www.wikidata.org/entity/Q87749345
,embassy,Brazil,Brasília,,,https://ambbrasilia.esteri.it,http://www.wikidata.org/entity/Q97162724
,consulate general,Brazil,Rio de Janeiro,,+55-21-3534-1315,https://consriodejaneiro.esteri.it/consolato_riodejaneiro/pt/,http://www.wikidata.org/entity/Q115910303
,embassy,Bulgaria,Stolichna Municipality,,,https://ambsofia.esteri.it/,http://www.wikidata.org/entity/Q3891389
,embassy,Burkina Faso,Ouagadougou,,,,http://www.wikidata.org/entity/Q105755089
,embassy,Cameroon,Yaoundé,,,https://ambyaounde.esteri.it,http://www.wikidata.org/entity/Q104982322
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q5369746
,embassy,Chile,Providencia,,,https://ambsantiago.esteri.it,http://www.wikidata.org/entity/Q104983784
,embassy,Colombia,Bogotá,,,https://ambbogota.esteri.it,http://www.wikidata.org/entity/Q105022183
ambasciata.sanjose@esteri.it,embassy,Costa Rica,San José,,,https://ambsanjose.esteri.it,http://www.wikidata.org/entity/Q105061818
amb.zagabria@esteri.it,embassy,Croatia,Zagreb,,,https://ambzagabria.esteri.it,http://www.wikidata.org/entity/Q105061819
ambasciata.avana@esteri.it,embassy,Cuba,Havana,,,https://amblavana.esteri.it,http://www.wikidata.org/entity/Q105061820
,embassy,Cyprus,Egkomi Lefkosias,,,https://ambnicosia.esteri.it,http://www.wikidata.org/entity/Q105021371
,embassy,Czech Republic,Prague 1,,,,http://www.wikidata.org/entity/Q5369747
ambkins.mail@esteri.it,embassy,Democratic Republic of the Congo,Kinshasa,,,https://ambkinshasa.esteri.it,http://www.wikidata.org/entity/Q105061865
antodomingo.amb@esteri.it,embassy,Dominican Republic,Santo Domingo,,,https://ambsantodomingo.esteri.it,http://www.wikidata.org/entity/Q105061866
archivio.quito@esteri.it,embassy,Ecuador,Quito,,+593-2-321-1322,https://ambquito.esteri.it,http://www.wikidata.org/entity/Q79951919
,consulate general,Egypt,Alexandria,,+20 3 484 7292,,http://www.wikidata.org/entity/Q113001756
ambasciata.cairo@esteri.it,embassy,Egypt,Cairo,,,https://ambilcairo.esteri.it,http://www.wikidata.org/entity/Q105061822
egreteria.sansalvador@esteri.it,embassy,El Salvador,San Salvador,,,https://ambsansalvador.esteri.it,http://www.wikidata.org/entity/Q105061823
ambasciata.asmara@esteri.it,embassy,Eritrea,Asmara,,,https://ambasmara.esteri.it,http://www.wikidata.org/entity/Q105061825
,embassy,Estonia,Tallinn City,,,https://ambtallinn.esteri.it,http://www.wikidata.org/entity/Q65262062
,embassy,Ethiopia,Addis Ababa,,,https://ambaddisabeba.esteri.it,http://www.wikidata.org/entity/Q97162423
ambasciata.helsinki@esteri.it,embassy,Finland,Helsinki,,,https://ambhelsinki.esteri.it,http://www.wikidata.org/entity/Q105061827
ambasciata.parigi@esteri.it,embassy,France,,,,https://ambparigi.esteri.it,http://www.wikidata.org/entity/Q15149869
,consulate general,France,16th arrondissement of Paris,,,http://www.consparigi.esteri.it/Consolato_Parigi,http://www.wikidata.org/entity/Q16507551
,consulate general,France,6th arrondissement of Lyon,,,http://www.conslione.esteri.it/Consolato_Lione,http://www.wikidata.org/entity/Q16507549
,consulate general,France,Marseille,,,http://www.consmarsiglia.esteri.it/Consolato_Marsiglia,http://www.wikidata.org/entity/Q16507546
,consulate general,France,Metz,,,http://www.consmetz.esteri.it/Consolato_Metz,http://www.wikidata.org/entity/Q16507550
,consulate general,France,Nice,,,http://www.consnizza.esteri.it/Consolato_Nizza,http://www.wikidata.org/entity/Q16507548
amb.libreville@esteri.it,embassy,Gabon,Libreville,,,https://amblibreville.esteri.it,http://www.wikidata.org/entity/Q105061828
embassy.tbilisi@esteri.it,embassy,Georgia,Tbilisi,,,https://ambtbilisi.esteri.it,http://www.wikidata.org/entity/Q105061829
,embassy,Germany,Mitte,,,http://www.ambberlino.esteri.it,http://www.wikidata.org/entity/Q831633
ambasciata.accra@esteri.it,embassy,Ghana,Accra,,,https://ambaccra.esteri.it,http://www.wikidata.org/entity/Q105061830
,embassy,Greece,Athens Municipality,,,https://ambatene.esteri.it,http://www.wikidata.org/entity/Q16331961
ambasciata.guatemala@esteri.it,embassy,Guatemala,Guatemala City,,,https://ambguatemala.esteri.it,http://www.wikidata.org/entity/Q105061834
,embassy,Guinea,Dixinn,,,https://ambconakry.esteri.it,http://www.wikidata.org/entity/Q105027652
,embassy,Hungary,Zugló,,,https://ambbudapest.esteri.it/ambasciata_budapest/hu,http://www.wikidata.org/entity/Q104619459
,embassy,India,New Delhi,,+91-11-2611-4355,https://ambnewdelhi.esteri.it,http://www.wikidata.org/entity/Q80116050
ambasciata.jakarta@esteri.it,embassy,Indonesia,Jakarta,,,https://ambjakarta.esteri.it,http://www.wikidata.org/entity/Q105061836
,embassy,Iran,Tehran,,,https://ambteheran.esteri.it,http://www.wikidata.org/entity/Q5905841
ambasciata.baghdad@esteri.it,embassy,Iraq,Baghdad,,,https://ambbaghdad.esteri.it,http://www.wikidata.org/entity/Q105061838
ambasciata.dublino@esteri.it,embassy,Ireland,Dublin,,,https://ambdublino.esteri.it,http://www.wikidata.org/entity/Q101641665
,embassy,Israel,Tel Aviv,,,https://ambtelaviv.esteri.it/,http://www.wikidata.org/entity/Q54834137
,embassy,Italy,Rome,,,http://www.ambsantasedevaticano.esteri.it,http://www.wikidata.org/entity/Q16744674
ambasciata.abidjan@esteri.it,embassy,Ivory Coast,Abidjan,,,https://ambabidjan.esteri.it,http://www.wikidata.org/entity/Q105061817
,embassy,Japan,Minato,,+81-3-3453-5291,https://ambtokyo.esteri.it/it/,http://www.wikidata.org/entity/Q24479841
,consulate general,Japan,Osaka,,,https://consosaka.esteri.it/consolato_osaka/,http://www.wikidata.org/entity/Q56033327
info.amman@esteri.it,embassy,Jordan,Amman,,,https://ambamman.esteri.it,http://www.wikidata.org/entity/Q105061833
ursultan.ambasciata@esteri.it,embassy,Kazakhstan,Astana,,,https://ambastana.esteri.it,http://www.wikidata.org/entity/Q105061839
ambasciata.nairobi@esteri.it,embassy,Kenya,Nairobi,,,https://ambnairobi.esteri.it,http://www.wikidata.org/entity/Q105061840
info.copenaghen@esteri.it,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://ambcopenaghen.esteri.it,http://www.wikidata.org/entity/Q105061821
ambasciata.alkuwait@esteri.it,embassy,Kuwait,Kuwait City,,,https://ambalkuwait.esteri.it,http://www.wikidata.org/entity/Q105061842
ambitalia.riga@esteri.it,embassy,Latvia,Riga,,,https://ambriga.esteri.it,http://www.wikidata.org/entity/Q105061843
amba.beirut@esteri.it,embassy,Lebanon,Baabda,,,https://ambbeirut.esteri.it,http://www.wikidata.org/entity/Q105061844
,consulate,Libya,Benghazi,,,,http://www.wikidata.org/entity/Q55317550
ambasciata.tripoli@esteri.it,embassy,Libya,Tripoli,,,https://ambtripoli.esteri.it,http://www.wikidata.org/entity/Q105061845
ambasciata.vilnius@esteri.it,embassy,Lithuania,Vilnius,,,https://ambvilnius.esteri.it,http://www.wikidata.org/entity/Q105061846
,embassy,Luxembourg,Luxembourg,,,https://amblussemburgo.esteri.it,http://www.wikidata.org/entity/Q100785487
ambasciata.kualalumpur@esteri.it,embassy,Malaysia,Kuala Lumpur,,,https://ambkualalumpur.esteri.it,http://www.wikidata.org/entity/Q105061847
ambasciata.lavalletta@esteri.it,embassy,Malta,Floriana,,,https://amblavalletta.esteri.it,http://www.wikidata.org/entity/Q105061848
,embassy,Mexico,Mexico City,,,https://ambcittadelmessico.esteri.it,http://www.wikidata.org/entity/Q104930857
amb.chisinau@esteri.it,embassy,Moldova,Chișinău,,,https://ambchisinau.esteri.it,http://www.wikidata.org/entity/Q105061849
,embassy,Monaco,Commune of Monaco,,,https://ambprincipatomonaco.esteri.it,http://www.wikidata.org/entity/Q95148155
mongolia.segreteria@esteri.it,embassy,Mongolia,Ulaanbaatar,,,https://ambulaanbaatar.esteri.it,http://www.wikidata.org/entity/Q105061850
egreteria.podgorica@esteri.it,embassy,Montenegro,Podgorica,,,https://ambpodgorica.esteri.it,http://www.wikidata.org/entity/Q105061851
,embassy,Morocco,Rabat,,,https://ambrabat.esteri.it,http://www.wikidata.org/entity/Q2841595
,embassy,Mozambique,Maputo,,,https://ambmaputo.esteri.it,http://www.wikidata.org/entity/Q104972555
ambyang.mail@esteri.it,embassy,Myanmar,Yangon,,,https://ambyangon.esteri.it,http://www.wikidata.org/entity/Q105061853
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100699914
wellington.embassy@esteri.it,embassy,New Zealand,Wellington,,,https://ambwellington.esteri.it,http://www.wikidata.org/entity/Q104113561
ambasciata.managua@esteri.it,embassy,Nicaragua,Managua,,,https://ambmanagua.esteri.it,http://www.wikidata.org/entity/Q105061856
iamey.ambasciata@esteri.it,embassy,Niger,Niamey,,,https://ambniamey.esteri.it,http://www.wikidata.org/entity/Q105061857
,embassy,Nigeria,Abuja,,,https://ambabuja.esteri.it,http://www.wikidata.org/entity/Q104931672
,consulate,North Macedonia,Bitola,,,,http://www.wikidata.org/entity/Q107558023
,embassy,North Macedonia,Skopje,,,https://ambskopje.esteri.it,http://www.wikidata.org/entity/Q105063862
,embassy,Norway,Oslo Municipality,,,https://amboslo.esteri.it/ambasciata_oslo/it/,http://www.wikidata.org/entity/Q24259427
ambasciata.mascate@esteri.it,embassy,Oman,Muscat,,,https://ambmascate.esteri.it,http://www.wikidata.org/entity/Q105061859
egreteria.islamabad@esteri.it,embassy,Pakistan,Islamabad,,,https://ambislamabad.esteri.it,http://www.wikidata.org/entity/Q105061860
,consulate general,Palestine,,,,https://consgerusalemme.esteri.it,http://www.wikidata.org/entity/Q106670429
,embassy,Panama,Panama City,,,https://ambpanama.esteri.it,http://www.wikidata.org/entity/Q104906987
archivio.assunzione@esteri.it,embassy,Paraguay,Asunción,,,https://ambassunzione.esteri.it,http://www.wikidata.org/entity/Q105061861
,embassy,People's Republic of China,Beijing,,,https://ambpechino.esteri.it,http://www.wikidata.org/entity/Q100276517
,consulate general,People's Republic of China,Hong Kong,,,,http://www.wikidata.org/entity/Q28408768
ambasciata.lima@esteri.it,embassy,Peru,Jesús María,,,https://amblima.esteri.it,http://www.wikidata.org/entity/Q105061862
