email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Auderghem - Oudergem,,,https://jamaica-brussels.be/,http://www.wikidata.org/entity/Q69694767
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q110410069
,high commission,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q5755083
,embassy,Colombia,Bogotá,,,,http://www.wikidata.org/entity/Q110412995
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q110411175
,embassy,Dominican Republic,Santo Domingo,,,,http://www.wikidata.org/entity/Q110413980
,embassy,Egypt,,,,,http://www.wikidata.org/entity/Q125496179
,embassy,Germany,Berlin,,,,http://www.wikidata.org/entity/Q57515856
,high commission,India,New Delhi,,,,http://www.wikidata.org/entity/Q112598836
,embassy,Japan,Tokyo,,,http://jamaicaembassy.jp/,http://www.wikidata.org/entity/Q61925887
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q110411295
,high commission,Nigeria,Abuja,,,,http://www.wikidata.org/entity/Q110410312
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q110410637
,high commission,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106677231
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q101023754
,high commission,Trinidad and Tobago,Port of Spain,,,,http://www.wikidata.org/entity/Q110412099
,high commission,United Kingdom,London,,,http://www.jhcuk.org,http://www.wikidata.org/entity/Q6127424
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369751
