email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Australia,Canberra,,,https://jordanembassy.org.au,http://www.wikidata.org/entity/Q106464286
,embassy,Austria,Vienna,,,http://jordanembassy.at/,http://www.wikidata.org/entity/Q54168842
,embassy,Bahrain,,,,,http://www.wikidata.org/entity/Q68171836
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69698540
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105710157
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q5369757
,embassy,Chile,Providencia,,,,http://www.wikidata.org/entity/Q110463057
,embassy,Cyprus,Strovolos,,,,http://www.wikidata.org/entity/Q109781121
,embassy,Egypt,,,,,http://www.wikidata.org/entity/Q125496191
,embassy,Ethiopia,,,,,http://www.wikidata.org/entity/Q68170819
,embassy,France,,,,,http://www.wikidata.org/entity/Q2841811
,embassy,Germany,Berlin,,,http://www.jordanembassy.de/index.html,http://www.wikidata.org/entity/Q60855816
,embassy,Greece,Filothei-Psychiko Municipality,,,https://jordanembassy.gr/,http://www.wikidata.org/entity/Q68170814
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112633687
,embassy,Indonesia,Jakarta,,,https://www.jordanembassy.or.id,http://www.wikidata.org/entity/Q107593551
,embassy,Israel,Ramat Gan,,,,http://www.wikidata.org/entity/Q100383920
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103828394
,embassy,Japan,,,,,http://www.wikidata.org/entity/Q61925155
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q111094706
,embassy,Netherlands,The Hague,,,http://www.jordanembassy.nl/,http://www.wikidata.org/entity/Q100605175
,embassy,Norway,Oslo,,,,http://www.wikidata.org/entity/Q68170824
,embassy,Pakistan,Islamabad,,,,http://www.wikidata.org/entity/Q68170815
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100273149
,embassy,Romania,Bucharest,,,,http://www.wikidata.org/entity/Q106939310
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4373998
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170023
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106677232
,embassy,Spain,Madrid,,,http://www.consuladojordania.com,http://www.wikidata.org/entity/Q105281301
info@jordanembassy.ch,embassy,Switzerland,Muri bei Bern,,+41-31-384-04-04,,http://www.wikidata.org/entity/Q26979899
,embassy,Tunisia,Tunis,,,,http://www.wikidata.org/entity/Q107736280
,embassy,Turkey,Ankara,,,https://mfa.gov.jo/en/embassy/ankara,http://www.wikidata.org/entity/Q68170817
,embassy,United Arab Emirates,,,,,http://www.wikidata.org/entity/Q68170811
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16941281
,embassy,United States of America,"Washington, D.C.",,,http://jordanembassyus.org/,http://www.wikidata.org/entity/Q5369758
