email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Angola,Luanda,,,https://kenyaembassyangola.com/,http://www.wikidata.org/entity/Q106462888
,high commission,Australia,Canberra,,,https://www.kenya.asn.au/,http://www.wikidata.org/entity/Q106464547
,embassy,Austria,Vienna,,,https://kenyaembassyvienna.at/,http://www.wikidata.org/entity/Q104638825
,embassy,Belgium,Uccle - Ukkel,,,http://www.kenyabrussels.com/,http://www.wikidata.org/entity/Q69518913
,embassy,Brazil,Brasília,,,https://kenyaembassybrazil.com.br/,http://www.wikidata.org/entity/Q105716183
,high commission,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q5755087
,embassy,France,Paris,,,https://kenyaembassyparis.fr/,http://www.wikidata.org/entity/Q16303692
,embassy,Germany,Berlin,,,http://kenyaembassyberlin.de/,http://www.wikidata.org/entity/Q1414462
,high commission,India,New Delhi,,,,http://www.wikidata.org/entity/Q112634031
,embassy,Ireland,Dublin,,,http://www.kenyaembassyireland.net/,http://www.wikidata.org/entity/Q104771444
,embassy,Israel,Ramat Gan,,,https://kenyaembassyisrael.com/,http://www.wikidata.org/entity/Q112056781
,embassy,Italy,Rome,,,http://www.embassyofkenya.it/,http://www.wikidata.org/entity/Q60855931
,embassy,Japan,Yakumo 3-chōme,,,http://www.kenyarep-jp.com/en_index.html,http://www.wikidata.org/entity/Q61877275
,embassy,Netherlands,The Hague,,,http://www.kenyaembassy.nl/,http://www.wikidata.org/entity/Q100497917
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100278048
,embassy,Russia,Khamovniki District,,,http://kenemb.ru/,http://www.wikidata.org/entity/Q16687382
,embassy,Rwanda,Kigali,,,https://kenyahighcomkigali.org/,http://www.wikidata.org/entity/Q106314570
,embassy,Saudi Arabia,Riyadh,,,http://kenyaembassy.org.sa,http://www.wikidata.org/entity/Q68170029
,high commission,South Africa,Pretoria,,,http://kenya.org.za/,http://www.wikidata.org/entity/Q106683155
,embassy,South Sudan,,,,,http://www.wikidata.org/entity/Q12748289
,embassy,Spain,Madrid,,,http://www.kenyaembassyspain.es/,http://www.wikidata.org/entity/Q105282266
,embassy,Sweden,Stockholm,,,https://kenyaembassystockholm.com/,http://www.wikidata.org/entity/Q18291207
info@kenyaembassy.org.tr,embassy,Turkey,Ankara,,+90-312-491-45-08,https://kenyaembassy.org.tr/,http://www.wikidata.org/entity/Q80170559
,high commission,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16842996
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369761
,high commission,Zimbabwe,Harare,,,,http://www.wikidata.org/entity/Q104761814
