email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,,http://www.wikidata.org/entity/Q113234206
,embassy,Argentina,Buenos Aires,,,http://www.embajadadekuwait.com.ar/,http://www.wikidata.org/entity/Q110288833
,embassy,Armenia,Yerevan,,,,http://www.wikidata.org/entity/Q31193991
,embassy,Australia,Canberra,,,http://www.kuwaitemb-australia.com/,http://www.wikidata.org/entity/Q106464632
,embassy,Austria,Vienna,,,http://www.kuwaitembassy.at,http://www.wikidata.org/entity/Q104638964
,embassy,Bahrain,,,,,http://www.wikidata.org/entity/Q68170341
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69700985
,embassy,Bosnia and Herzegovina,Sarajevo,,,,http://www.wikidata.org/entity/Q108064194
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105710280
,embassy,Bulgaria,Stolichna Municipality,,,http://www.kuwaitembassy.bg/,http://www.wikidata.org/entity/Q41588514
,embassy,Canada,Ottawa,,,https://kuwaitembassy.ca,http://www.wikidata.org/entity/Q106784882
,embassy,Chile,Las Condes,,,http://www.embajadadekuwait.cl,http://www.wikidata.org/entity/Q110463259
,embassy,Cyprus,Strovolos,,,,http://www.wikidata.org/entity/Q109781379
,embassy,Czech Republic,Prague,,,,http://www.wikidata.org/entity/Q107124170
,embassy,France,,,,,http://www.wikidata.org/entity/Q2841872
,embassy,Germany,Berlin,,,http://kuwait-botschaft.de,http://www.wikidata.org/entity/Q73258692
,embassy,Greece,Psychiko,,,,http://www.wikidata.org/entity/Q109663227
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112635595
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107605561
,embassy,Italy,Rome,,,http://www.kuwaitembassy.it/,http://www.wikidata.org/entity/Q103842938
info@kuwait-embassy.or.jp,embassy,Japan,Minato,,+81-3-3455-0361,http://kuwait-embassy.or.jp/,http://www.wikidata.org/entity/Q11668252
,embassy,Malta,Balzan,,,,http://www.wikidata.org/entity/Q107736332
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q111692196
,embassy,Mongolia,Ulaanbaatar,,+976-7744444,,http://www.wikidata.org/entity/Q33309421
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100545055
,embassy,New Zealand,Wellington,,,,http://www.wikidata.org/entity/Q111884821
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q119404617
,consulate general,People's Republic of China,Shanghai,,,,http://www.wikidata.org/entity/Q119270601
,embassy,Poland,Warsaw,,,,http://www.wikidata.org/entity/Q9149529
,embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q105451611
,embassy,Romania,Bucharest,,,,http://www.wikidata.org/entity/Q106941098
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q106205945
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170034
,embassy,Serbia,Belgrade,,,,http://www.wikidata.org/entity/Q108159527
,embassy,Slovakia,Bratislava,,,,http://www.wikidata.org/entity/Q53205353
,embassy,South Africa,Pretoria,,,https://kuwaitembassy.co.za,http://www.wikidata.org/entity/Q106683154
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105282567
,embassy,Sweden,Stockholm,,,http://kuwaitembassy.se/,http://www.wikidata.org/entity/Q18291483
info@kuwaitembassy.ch,embassy,Switzerland,Bern,,+41-31-356-70-00,http://kuwaitembassy.ch,http://www.wikidata.org/entity/Q26979901
,embassy,Turkey,Ankara,,,http://kuwaitembassy.org.tr,http://www.wikidata.org/entity/Q110990388
kuwait_embassy@ukr.net,embassy,Ukraine,Kyiv,,+380-44-391-5160,http://www.mofa.gov.kw/MOFA/index.php/missions/31-europe/987-2009-03-19-07-00-09,http://www.wikidata.org/entity/Q12142663
,embassy,United Kingdom,City of Westminster,,,,http://www.wikidata.org/entity/Q15216567
,embassy,United States of America,"Washington, D.C.",,,http://www.kuwaitembassy.us/,http://www.wikidata.org/entity/Q5369764
,embassy,Venezuela,Caracas,,,,http://www.wikidata.org/entity/Q111130969
