email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Austria,Vienna,,,https://www.mfa.gov.kg/vienna,http://www.wikidata.org/entity/Q104638848
,embassy,Belarus,Minsk,,,https://mfa.gov.kg/kg/dm/belarus-en,http://www.wikidata.org/entity/Q33113706
,embassy,Belgium,Ixelles - Elsene,,,,http://www.wikidata.org/entity/Q20669718
,embassy,Germany,Berlin,,,http://botschaft-kirgisien.de,http://www.wikidata.org/entity/Q19962078
,embassy,Hungary,Budapest,,,,http://www.wikidata.org/entity/Q108802024
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112637446
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103842995
,embassy,Japan,Tokyo,,,https://mfa.gov.kg/en/dm/tokyo,http://www.wikidata.org/entity/Q61925498
,embassy,Malaysia,Kuala Lumpur,,,https://mfa.gov.kg/dm/Embassy-of-the-Kyrgyz-Republic-in-the-Malaysia,http://www.wikidata.org/entity/Q107605628
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q119259374
,embassy,Russia,Moscow,,,https://mfa.gov.kg/ru/dm/pkr-v-rf,http://www.wikidata.org/entity/Q4374014
,embassy,Saudi Arabia,Riyadh,,,https://mfa.gov.kg/ru/dm/Embassy-of-the-Kyrgyz-Republic-to-the-Kingdom-of-Saudi-Arabia,http://www.wikidata.org/entity/Q68170036
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q101064715
,embassy,Tajikistan,Dushanbe,,,https://mfa.gov.kg/en/dm/tadzhikistan-en,http://www.wikidata.org/entity/Q104768644
,embassy,Turkey,Ankara,,,https://mfa.gov.kg/en/dm/Embassy-of-the-Kyrgyz-Republic-to-the-Republic-of-Turkey,http://www.wikidata.org/entity/Q110990435
,consulate general,Turkey,Istanbul,,,,http://www.wikidata.org/entity/Q111584951
kgembassy.ua@gmail.com,embassy,Ukraine,Kyiv,,+380-44-524-0924,http://kyrgyzembassy.com.ua/,http://www.wikidata.org/entity/Q12142661
,embassy,United Kingdom,City of Westminster,,,https://mfa.gov.kg/ru/dm/vb,http://www.wikidata.org/entity/Q16969075
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369765
