email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Australia,Canberra,,,http://www.laosembassy.net/,http://www.wikidata.org/entity/Q106457339
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104639005
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69871341
,embassy,France,Paris,,,https://www.ambalaos-france.com/home/,http://www.wikidata.org/entity/Q20127466
,embassy,Germany,Berlin,,,http://www.laos-botschaft.de,http://www.wikidata.org/entity/Q23786683
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112637562
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107605839
,embassy,Japan,,,,,http://www.wikidata.org/entity/Q61925568
,embassy,Mongolia,Ulaanbaatar,,+976-11-32-6440,,http://www.wikidata.org/entity/Q33309436
,embassy,North Korea,Pyongyang,,,,http://www.wikidata.org/entity/Q118920762
,consulate general,People's Republic of China,Changsha,,,,http://www.wikidata.org/entity/Q119293951
,embassy,People's Republic of China,Chaoyang District,,,,http://www.wikidata.org/entity/Q59344286
,consulate general,People's Republic of China,Shanghai,,,,http://www.wikidata.org/entity/Q119293857
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374016
,embassy,Sweden,Stockholm,,,http://www.laosembassystockholm.egnaverk.se,http://www.wikidata.org/entity/Q19977996
,embassy,Switzerland,Le Grand-Saconnex,,,,http://www.wikidata.org/entity/Q101064816
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q29378865
,embassy,United States of America,"Washington, D.C.",,,http://www.laoembassy.com/,http://www.wikidata.org/entity/Q5369766
