email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,https://www.ellibano.com.ar,http://www.wikidata.org/entity/Q110288892
,embassy,Australia,Canberra,,,http://www.canberra.mfa.gov.lb,http://www.wikidata.org/entity/Q106465150
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104639156
,embassy,Bahrain,Manama,,,,http://www.wikidata.org/entity/Q68170386
,consulate,Belarus,,,,,http://www.wikidata.org/entity/Q104813203
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69872578
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q10272289
,embassy,Bulgaria,Sofia,,,http://www.sofia.mfa.gov.lb,http://www.wikidata.org/entity/Q109289795
,embassy,Canada,Ottawa,,,http://www.lebanonembassy.ca/,http://www.wikidata.org/entity/Q5369769
,embassy,Chile,Las Condes,,,,http://www.wikidata.org/entity/Q110463854
,embassy,Colombia,Bogotá,,,http://bogota.mfa.gov.lb,http://www.wikidata.org/entity/Q110736916
,embassy,Cyprus,Agios Dometios,,,http://www.nicosia.mfa.gov.lb/cyprus,http://www.wikidata.org/entity/Q109781480
,embassy,Czech Republic,Prague,,,,http://www.wikidata.org/entity/Q107125554
,embassy,Ecuador,Quito,,,,http://www.wikidata.org/entity/Q110770019
,consulate general,Egypt,Alexandria,,+20 3 484 6589,,http://www.wikidata.org/entity/Q111528894
,consulate general,France,Marseille,,,,http://www.wikidata.org/entity/Q16507626
,embassy,France,Paris,,,http://www.paris.mfa.gov.lb,http://www.wikidata.org/entity/Q2841874
,embassy,Germany,Berlin,,,http://www.libanesische-botschaft.de,http://www.wikidata.org/entity/Q18023364
,embassy,Greece,Psychiko,,,http://www.athens.mfa.gov.lb/greece,http://www.wikidata.org/entity/Q109663373
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112637760
,embassy,Indonesia,Jakarta,,,http://www.jakarta.mfa.gov.lb/indonesia,http://www.wikidata.org/entity/Q107605987
,embassy,Italy,Rome,,,http://mfa.gov.lb/vatican/,http://www.wikidata.org/entity/Q56326310
,embassy,Italy,Rome,,,http://www.liban.it/,http://www.wikidata.org/entity/Q103843608
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q112878357
,embassy,Japan,Higashiyama 2-chome,,,http://tokyo.mfa.gov.lb,http://www.wikidata.org/entity/Q105540473
,embassy,Mexico,Mexico City,,,http://mexico.mfa.gov.lb/mexico,http://www.wikidata.org/entity/Q111692240
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100700061
,embassy,Paraguay,Asunción,,,,http://www.wikidata.org/entity/Q110551581
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100272918
,embassy,Poland,Warsaw,,+48-22-844-50-65,http://pl.lebanon.pl/,http://www.wikidata.org/entity/Q9149530
,embassy,Qatar,Doha,,+974-449-33330,https://www.lebaneseembassyqatar.com,http://www.wikidata.org/entity/Q107428863
,embassy,Romania,Bucharest,,,,http://www.wikidata.org/entity/Q106947383
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q110184784
,embassy,Saudi Arabia,Riyadh,,,http://riyadh.mfa.gov.lb/saudiarabia,http://www.wikidata.org/entity/Q68170040
,embassy,Serbia,Belgrade,,,,http://www.wikidata.org/entity/Q108159649
,embassy,South Africa,Pretoria,,,http://www.pretoria.mfa.gov.lb,http://www.wikidata.org/entity/Q106684095
,embassy,Spain,Madrid,,,http://www.madrid.mfa.gov.lb/spain,http://www.wikidata.org/entity/Q105240072
,embassy,Sweden,Stockholm,,,http://www.lebanonembassy.se/,http://www.wikidata.org/entity/Q18747087
ambalibch@hotmail.com,embassy,Switzerland,Muri bei Bern,,+41-31-950-65-65,http://berne.mfa.gov.lb/,http://www.wikidata.org/entity/Q26979902
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q111027346
kyiv.leb@gmail.com,embassy,Ukraine,Kyiv,,+380-44-528-8048,http://www.lebanonembassy.org.ua/,http://www.wikidata.org/entity/Q12142665
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16991723
,embassy,United States of America,"Washington, D.C.",,,http://www.lebanonembassyus.org/,http://www.wikidata.org/entity/Q5369770
,embassy,Uruguay,Montevideo,,,,http://www.wikidata.org/entity/Q110492808
