email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Schaerbeek,,,,http://www.wikidata.org/entity/Q69871573
,high commission,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q106785114
,embassy,Germany,Teltow,,,http://www.lesothoembassy.de,http://www.wikidata.org/entity/Q16303694
,high commission,India,New Delhi,,,,http://www.wikidata.org/entity/Q112638762
,embassy,Ireland,Dublin,,,http://www.lesothoembassy.ie/,http://www.wikidata.org/entity/Q101642230
,embassy,Italy,Rome,,,http://www.lesothoembassyrome.it,http://www.wikidata.org/entity/Q103843115
,embassy,Japan,,,,http://www.lesothotokyo.com/jpn/top/,http://www.wikidata.org/entity/Q61877276
,high commission,Malaysia,Kuala Lumpur,,,,http://www.wikidata.org/entity/Q106465673
,high commission,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106684096
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q100984701
,high commission,United Kingdom,London,,,http://www.lesotholondon.org.uk/,http://www.wikidata.org/entity/Q16843493
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369771
