email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69872790
,embassy,France,,,,http://embassyofliberia-paris.org/,http://www.wikidata.org/entity/Q16303697
,embassy,Germany,Mitte,,,http://www.liberiaembassygermany.de/,http://www.wikidata.org/entity/Q49959075
,embassy,Guinea,Ratoma,,,,http://www.wikidata.org/entity/Q110843595
,embassy,Italy,Rome,,,http://liberianembassyit.org/,http://www.wikidata.org/entity/Q103843895
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q112898600
,embassy,Japan,Shinjuku,,,https://www.liberianembassyjp.org/,http://www.wikidata.org/entity/Q61877277
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170041
,embassy,South Africa,Pretoria,,,https://liberiaembassypretoria.co.za/,http://www.wikidata.org/entity/Q106684097
,embassy,United Kingdom,London,,,http://www.embassyofliberia.org.uk/,http://www.wikidata.org/entity/Q16979410
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369772
