email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,,http://www.wikidata.org/entity/Q113236284
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q110289074
,embassy,Australia,Canberra,,,,http://www.wikidata.org/entity/Q106465706
,embassy,Austria,Döbling,,,,http://www.wikidata.org/entity/Q104639642
,embassy,Azerbaijan,Baku,,,,http://www.wikidata.org/entity/Q16418558
,embassy,Bahrain,,,,,http://www.wikidata.org/entity/Q68170362
,embassy,Belarus,Minsk,,,,http://www.wikidata.org/entity/Q106675162
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69875222
,embassy,Bosnia and Herzegovina,Centar Municipality,,,,http://www.wikidata.org/entity/Q96147555
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105710331
,embassy,Bulgaria,Sofia,,,,http://www.wikidata.org/entity/Q109289854
,embassy,Canada,Ottawa,,,https://embassyoflibya.ca,http://www.wikidata.org/entity/Q106785195
,embassy,Chile,Vitacura,,,,http://www.wikidata.org/entity/Q110463951
,embassy,Croatia,Zagreb,,,,http://www.wikidata.org/entity/Q107415408
,embassy,Czech Republic,Prague,,,,http://www.wikidata.org/entity/Q107125674
,consulate general,Egypt,Alexandria,,+20 3 494 0808,,http://www.wikidata.org/entity/Q113001768
,embassy,Egypt,Zamalek,,+20 2 2735 5439,,http://www.wikidata.org/entity/Q113001876
,embassy,France,,,,,http://www.wikidata.org/entity/Q15149886
,consulate general,France,Marseille,,,,http://www.wikidata.org/entity/Q16507622
,embassy,Greece,Psychiko,,,,http://www.wikidata.org/entity/Q109676063
,embassy,Guinea,Kaloum,,,,http://www.wikidata.org/entity/Q110710312
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112655662
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q65168024
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103844316
,embassy,Japan,Shibuya-ku,,,,http://www.wikidata.org/entity/Q61925231
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://libyanembassy.dk,http://www.wikidata.org/entity/Q106033212
ambassadelibyebamako@gmail.com,embassy,Mali,,,+223-20-22-25-18,,http://www.wikidata.org/entity/Q79956134
,embassy,Malta,Balzan,,,,http://www.wikidata.org/entity/Q107736463
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q111692313
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100700862
amblibye@intnet.ne,embassy,Niger,Niamey I,,+227-20-72-40-19,,http://www.wikidata.org/entity/Q28477577
,embassy,North Korea,Pyongyang,,,,http://www.wikidata.org/entity/Q118920767
,embassy,Northern Cyprus,Nicosia,,,,http://www.wikidata.org/entity/Q109781613
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100274303
,embassy,Poland,,,+48 22 56 66 500,http://ambasadalibii.pl,http://www.wikidata.org/entity/Q11685570
,embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q105451706
,embassy,Romania,Bucharest,,,,http://www.wikidata.org/entity/Q106876374
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374013
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170044
,embassy,Serbia,Belgrade,,,,http://www.wikidata.org/entity/Q108159721
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106684098
,embassy,Spain,Madrid,,,http://www.embajadadelibia.com/,http://www.wikidata.org/entity/Q105275828
,embassy,Sweden,Stockholm,,,,http://www.wikidata.org/entity/Q10561148
libya_bern@bluewin.ch,embassy,Switzerland,Bern,,+41-31-350-01-22,,http://www.wikidata.org/entity/Q26979968
,embassy,Turkey,Ankara,,,http://libembtr.ly,http://www.wikidata.org/entity/Q111027523
libyan-embassy_kiev@ukr.net,embassy,Ukraine,Kyiv,,+380-44-238-6070,http://www.mfa.gov.ua/mfa/ua/publication/content/1784.htm,http://www.wikidata.org/entity/Q12142667
,embassy,United Kingdom,City of Westminster,,,,http://www.wikidata.org/entity/Q16991725
,embassy,United States of America,"Washington, D.C.",,,https://www.embassyoflibyadc.org/,http://www.wikidata.org/entity/Q5369773
