email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Algeria,,,,,http://www.wikidata.org/entity/Q104212392
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,,http://www.wikidata.org/entity/Q69876791
,embassy,Canada,Ottawa,,,http://www.madagascar-embassy.ca/,http://www.wikidata.org/entity/Q106785858
,embassy,France,,,,https://ambamad-paris.fr/,http://www.wikidata.org/entity/Q2841813
,consulate general,France,Marseille,,,http://www.consulmada-marseille.com,http://www.wikidata.org/entity/Q16507624
,consulate general,France,Saint-Denis,,,http://www.consmadrun.com,http://www.wikidata.org/entity/Q2995347
,embassy,Germany,Falkensee,,,http://www.botschaft-madagaskar.de/,http://www.wikidata.org/entity/Q1883121
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q104738151
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q92096573
,embassy,Japan,Minato,,,,http://www.wikidata.org/entity/Q56754458
,embassy,Mauritius,Vacoas-Phoenix,,,,http://www.wikidata.org/entity/Q106466067
,embassy,Morocco,Rabat,,,,http://www.wikidata.org/entity/Q106684799
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100272695
,embassy,Russia,Moscow,,,http://www.ambamadagascar.ru/,http://www.wikidata.org/entity/Q2841820
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170047
,embassy,Senegal,Dakar,,,http://ambadak.org/,http://www.wikidata.org/entity/Q106684841
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106684532
,honorary consulate,Spain,Dreta de l'Eixample,,,https://www.consuladomadagascar.org/es/,http://www.wikidata.org/entity/Q108740963
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q100984271
,embassy,United Kingdom,London,,,https://www.mdg-london.org/,http://www.wikidata.org/entity/Q106144297
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369777
