email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,,,,http://www.embassymalawi.be,http://www.wikidata.org/entity/Q15639459
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105710880
,embassy,Germany,Berlin,,,http://www.malawiembassy.de/,http://www.wikidata.org/entity/Q55518167
,high commission,India,New Delhi,,,http://malawi-india.org,http://www.wikidata.org/entity/Q112655819
,embassy,Japan,Tokyo,,,http://www.malawiembassy.org,http://www.wikidata.org/entity/Q11668256
,embassy,Kuwait,Kuwait City,,,https://malawigulf.com,http://www.wikidata.org/entity/Q111647803
,high commission,Mozambique,Maputo,,,https://www.malawihcmz.com/,http://www.wikidata.org/entity/Q104768279
,high commission,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106684526
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q100984927
,high commission,United Kingdom,London,,,http://www.malawihighcommission.co.uk/,http://www.wikidata.org/entity/Q16843500
,embassy,United States of America,"Washington, D.C.",,,http://www.malawiembassy-dc.org/embassy.html,http://www.wikidata.org/entity/Q5369778
