email,mission_type,host_country,city,address,phone,website,wikidata_qid
,high commission,Bangladesh,Dhaka,,,,http://www.wikidata.org/entity/Q101887010
,embassy,Belgium,City of Brussels,,,http://www.maldivesembassy.be/,http://www.wikidata.org/entity/Q60856171
,embassy,Germany,Berlin,,,https://www.maldivesembassy.de,http://www.wikidata.org/entity/Q73263329
,high commission,India,New Delhi,,,https://foreign.gov.mv/index.php/en/dipco?view=topic&id=14,http://www.wikidata.org/entity/Q99539192
,high commission,India,New Delhi,,,https://www.maldiveshighcom.in,http://www.wikidata.org/entity/Q112657114
,embassy,Japan,Chiyoda-ku,,,https://jp.mdvmission.gov.mv/,http://www.wikidata.org/entity/Q55096462
,high commission,Malaysia,Kuala Lumpur,,,,http://www.wikidata.org/entity/Q100295036
,high commission,Pakistan,Islamabad,,,,http://www.wikidata.org/entity/Q99613792
,embassy,People's Republic of China,Beijing,,,http://maldivesembassy.cn/en/,http://www.wikidata.org/entity/Q59661568
,embassy,Saudi Arabia,Riyadh,,,https://maldivesembassy.sa,http://www.wikidata.org/entity/Q59591860
,high commission,Singapore,Singapore,,,https://maldivesmission.sg,http://www.wikidata.org/entity/Q101500098
,high commission,Sri Lanka,Colombo,,,,http://www.wikidata.org/entity/Q101085491
info@maldiveshighcom.lk,high commission,Sri Lanka,Colombo,,+94-112-580076,http://maldiveshighcom.lk,http://www.wikidata.org/entity/Q107420489
,embassy,Switzerland,Geneva,,,http://maldivesmission.ch,http://www.wikidata.org/entity/Q101065783
,embassy,Thailand,Bangkok,,,,http://www.wikidata.org/entity/Q99568873
,embassy,United Arab Emirates,Abu Dhabi,,,https://maldivesembassy.ae/,http://www.wikidata.org/entity/Q102356360
,high commission,United Kingdom,City of Westminster,,,https://www.maldiveshighcommission.uk/,http://www.wikidata.org/entity/Q16843131
