email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Ixelles - Elsene,,,,http://www.wikidata.org/entity/Q69878585
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105710970
,embassy,Canada,Ottawa,,,https://ambamali.ca/,http://www.wikidata.org/entity/Q106786139
,consulate,Czech Republic,Libuš,,,,http://www.wikidata.org/entity/Q107383811
,embassy,Egypt,Giza,,,,http://www.wikidata.org/entity/Q109782003
,embassy,France,,,,,http://www.wikidata.org/entity/Q16303699
,consulate general,France,6th arrondissement of Lyon,,,https://consulat-mali-lyon.fr/,http://www.wikidata.org/entity/Q63146823
,consulate general,France,Bagnolet,,,http://www.consulatdumalienfrance.fr/,http://www.wikidata.org/entity/Q16507645
,embassy,Germany,Berlin,,,http://ambassademali.de,http://www.wikidata.org/entity/Q16577410
,embassy,Guinea,Conakry,,,,http://www.wikidata.org/entity/Q110710384
,embassy,India,New Delhi,,,http://maliembassy.co.in/,http://www.wikidata.org/entity/Q107607711
,embassy,Italy,Rome,,,https://www.ambassademali.it,http://www.wikidata.org/entity/Q103848214
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q112898764
,embassy,Japan,Tokyo,,,http://www.ambamali-jp.org,http://www.wikidata.org/entity/Q61877294
,embassy,Libya,Tripoli,,,,http://www.wikidata.org/entity/Q107736595
consmali@intenet.ne,consulate general,Niger,Niamey,,+227-20-75-42-90,,http://www.wikidata.org/entity/Q28477604
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100275852
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374025
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170056
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106684533
,embassy,Spain,Madrid,,,http://www.embajadademali.es,http://www.wikidata.org/entity/Q105304463
,embassy,Switzerland,Meyrin,,,http://www.missionmali.ch/,http://www.wikidata.org/entity/Q100985043
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q111027845
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369781
